Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Current - Leakage","Dissipation Factor","Mounting Type","Package / Case","Manufacturer Size Code","Height - Seated (Max)","Features","Operating Temperature","Supplier Device Package","Size / Dimension"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-4919-2-ND,NOJB107M006RWJ,AVX Corporation,CAP NIOB OXI 100UF 20% 6.3V 1210,12000,0,"0.22271","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","100µF","±20%","6.3V","1.7 Ohms","60µA","20%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-4919-1-ND,NOJB107M006RWJ,AVX Corporation,CAP NIOB OXI 100UF 20% 6.3V 1210,12293,0,"0.93000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","100µF","±20%","6.3V","1.7 Ohms","60µA","20%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-4919-6-ND,NOJB107M006RWJ,AVX Corporation,CAP NIOB OXI 100UF 20% 6.3V 1210,12293,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","100µF","±20%","6.3V","1.7 Ohms","60µA","20%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3121-2-ND,NOJA106M010RWJ,AVX Corporation,CAP NIOB OXIDE 10UF 20% 10V 1206,110000,0,"0.10800","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","10µF","±20%","10V","2.2 Ohms","2µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3121-1-ND,NOJA106M010RWJ,AVX Corporation,CAP NIOB OXIDE 10UF 20% 10V 1206,111803,0,"0.50000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","10µF","±20%","10V","2.2 Ohms","2µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3121-6-ND,NOJA106M010RWJ,AVX Corporation,CAP NIOB OXIDE 10UF 20% 10V 1206,111803,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","10µF","±20%","10V","2.2 Ohms","2µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1821-2-ND,NOJA106M006RWJ,AVX Corporation,CAP NIOB OXID 10UF 20% 6.3V 1206,14000,0,"0.12800","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","10µF","±20%","6.3V","2.2 Ohms","1.2µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1821-1-ND,NOJA106M006RWJ,AVX Corporation,CAP NIOB OXID 10UF 20% 6.3V 1206,15567,0,"0.53000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","10µF","±20%","6.3V","2.2 Ohms","1.2µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1821-6-ND,NOJA106M006RWJ,AVX Corporation,CAP NIOB OXID 10UF 20% 6.3V 1206,15567,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","10µF","±20%","6.3V","2.2 Ohms","1.2µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3122-2-ND,NOJB106M010RWJ,AVX Corporation,CAP NIOB OXIDE 10UF 20% 10V 1210,16000,0,"0.15120","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","10µF","±20%","10V","2.2 Ohms","2µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3122-1-ND,NOJB106M010RWJ,AVX Corporation,CAP NIOB OXIDE 10UF 20% 10V 1210,17683,0,"0.63000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","10µF","±20%","10V","2.2 Ohms","2µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3122-6-ND,NOJB106M010RWJ,AVX Corporation,CAP NIOB OXIDE 10UF 20% 10V 1210,17683,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","10µF","±20%","10V","2.2 Ohms","2µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-8862-2-ND,NOJB476M006RWJ,AVX Corporation,CAP NIOB OXID 47UF 20% 6.3V 1210,8000,0,"0.19500","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","47µF","±20%","6.3V","800 mOhms","5.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-8862-1-ND,NOJB476M006RWJ,AVX Corporation,CAP NIOB OXIDE 47UF 6.3V 1210,8855,0,"0.71000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","47µF","±20%","6.3V","800 mOhms","5.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-8862-6-ND,NOJB476M006RWJ,AVX Corporation,CAP NIOB OXIDE 47UF 6.3V 1210,8855,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","47µF","±20%","6.3V","800 mOhms","5.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOS.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-5984-2-ND,NOSB476M006R0500,AVX Corporation,CAP NIOB OXID 47UF 20% 6.3V 1210,2000,0,"0.31175","0","2000","Tape & Reel (TR)","OxiCap® NOS","Active","47µF","±20%","6.3V","500 mOhms","5.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 125°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOS.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-5984-1-ND,NOSB476M006R0500,AVX Corporation,CAP NIOB OXID 47UF 20% 6.3V 1210,3810,0,"1.06000","0","1","Cut Tape (CT)","OxiCap® NOS","Active","47µF","±20%","6.3V","500 mOhms","5.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 125°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOS.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-5984-6-ND,NOSB476M006R0500,AVX Corporation,CAP NIOB OXID 47UF 20% 6.3V 1210,3810,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOS","Active","47µF","±20%","6.3V","500 mOhms","5.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 125°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCapNOJ,NOS%20SERIES%202.9H,7.3L,4.3W.jpg",478-1827-2-ND,NOJE227M006RWJ,AVX Corporation,CAP NIOB OXI 220UF 20% 6.3V 2917,5600,0,"0.94500","0","400","Tape & Reel (TR)","OxiCap® NOJ","Active","220µF","±20%","6.3V","400 mOhms","26.4µA","12%","Surface Mount","2917 (7343 Metric)","E","0.169"" (4.30mm)","-","-55°C ~ 105°C","2917 (7343 Metric)","0.287"" L x 0.169"" W (7.30mm x 4.30mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCapNOJ,NOS%20SERIES%202.9H,7.3L,4.3W.jpg",478-1827-1-ND,NOJE227M006RWJ,AVX Corporation,CAP NIOB OXI 220UF 20% 6.3V 2917,5969,0,"2.35000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","220µF","±20%","6.3V","400 mOhms","26.4µA","12%","Surface Mount","2917 (7343 Metric)","E","0.169"" (4.30mm)","-","-55°C ~ 105°C","2917 (7343 Metric)","0.287"" L x 0.169"" W (7.30mm x 4.30mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCapNOJ,NOS%20SERIES%202.9H,7.3L,4.3W.jpg",478-1827-6-ND,NOJE227M006RWJ,AVX Corporation,CAP NIOB OXI 220UF 20% 6.3V 2917,5969,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","220µF","±20%","6.3V","400 mOhms","26.4µA","12%","Surface Mount","2917 (7343 Metric)","E","0.169"" (4.30mm)","-","-55°C ~ 105°C","2917 (7343 Metric)","0.287"" L x 0.169"" W (7.30mm x 4.30mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3120-2-ND,NOJA475M010RWJ,AVX Corporation,CAP NIOB OXID 4.7UF 20% 10V 1206,22000,18000,"0.11664","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","4.7µF","±20%","10V","3.1 Ohms","1µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3120-1-ND,NOJA475M010RWJ,AVX Corporation,CAP NIOB OXID 4.7UF 20% 10V 1206,22282,18000,"0.49000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","4.7µF","±20%","10V","3.1 Ohms","1µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3120-6-ND,NOJA475M010RWJ,AVX Corporation,CAP NIOB OXID 4.7UF 20% 10V 1206,22282,18000,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","4.7µF","±20%","10V","3.1 Ohms","1µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3213-2-ND,NOJA475M006RWJ,AVX Corporation,CAP NIOB OXI 4.7UF 20% 6.3V 1206,2000,0,"0.12160","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","4.7µF","±20%","6.3V","3.2 Ohms","1.1µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3213-1-ND,NOJA475M006RWJ,AVX Corporation,CAP NIOB OXI 4.7UF 20% 6.3V 1206,2920,0,"0.51000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","4.7µF","±20%","6.3V","3.2 Ohms","1.1µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3213-6-ND,NOJA475M006RWJ,AVX Corporation,CAP NIOB OXI 4.7UF 20% 6.3V 1206,2920,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","4.7µF","±20%","6.3V","3.2 Ohms","1.1µA","6%","Surface Mount","1206 (3216 Metric)","A","0.071"" (1.80mm)","-","-55°C ~ 105°C","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-1823-2-ND,NOJB226M006RWJ,AVX Corporation,CAP NIOB OXID 22UF 20% 6.3V 1210,14000,6000,"0.16000","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","22µF","±20%","6.3V","1.9 Ohms","2.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-1823-1-ND,NOJB226M006RWJ,AVX Corporation,CAP NIOB OXID 22UF 20% 6.3V 1210,17120,6000,"0.67000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","22µF","±20%","6.3V","1.9 Ohms","2.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-1823-6-ND,NOJB226M006RWJ,AVX Corporation,CAP NIOB OXID 22UF 20% 6.3V 1210,17120,6000,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","22µF","±20%","6.3V","1.9 Ohms","2.6µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3123-2-ND,NOJB226M010RWJ,AVX Corporation,CAP NIOB OXIDE 22UF 20% 10V 1210,8000,500000,"0.20250","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","22µF","±20%","10V","1.8 Ohms","4.4µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3123-1-ND,NOJB226M010RWJ,AVX Corporation,CAP NIOB OXIDE 22UF 20% 10V 1210,9645,500000,"0.74000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","22µF","±20%","10V","1.8 Ohms","4.4µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3123-6-ND,NOJB226M010RWJ,AVX Corporation,CAP NIOB OXIDE 22UF 20% 10V 1210,9645,500000,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","22µF","±20%","10V","1.8 Ohms","4.4µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
