Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Breakdown","ESR (Equivalent Series Resistance)","ESL (Equivalent Series Inductance)","Applications","Features","Operating Temperature","Package / Case","Height","Size / Dimension"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1618-ND,SC01000912,Skyworks Solutions Inc.,CAP SILICON 10PF 20% SMD,9500,0,"1.14590","0","100","Tray","SC","Active","10pF","±20%","-","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard","0.006"" (0.15mm)","0.012"" L x 0.012"" W (0.30mm x 0.30mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1224-ND,SC04701518,Skyworks Solutions Inc.,CAP SILICON 47PF 20% SMD,8400,0,"1.19070","0","100","Bulk","SC","Active","47pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.018"" L x 0.018"" W (0.46mm x 0.46mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1222-ND,SC02201518,Skyworks Solutions Inc.,CAP SILICON 22PF 20% SMD,5300,0,"1.19070","0","100","Bulk","SC","Active","22pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.018"" L x 0.018"" W (0.46mm x 0.46mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1226-ND,SC10002430,Skyworks Solutions Inc.,CAP SILICON 100PF 20% SMD,5400,0,"1.48890","0","100","Bulk","SC","Active","100pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.030"" L x 0.030"" W (0.76mm x 0.76mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1214-ND,SC00180912,Skyworks Solutions Inc.,CAP SILICON 1.8PF 20% SMD,5400,0,"1.14590","0","100","Bulk","SC","Active","1.8pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.012"" L x 0.012"" W (0.30mm x 0.30mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1212-ND,SC00080912,Skyworks Solutions Inc.,CAP SILICON 0.80PF 20% SMD,2300,0,"1.14590","0","100","Bulk","SC","Active","0.8pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.012"" L x 0.012"" W (0.30mm x 0.30mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1225-ND,SC06801518,Skyworks Solutions Inc.,CAP SILICON 68PF 20% SMD,7500,0,"1.19070","0","100","Bulk","SC","Active","68pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.018"" L x 0.018"" W (0.46mm x 0.46mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1619-ND,SC01001518,Skyworks Solutions Inc.,CAP SILICON 10PF 20% SMD,1400,0,"1.19070","0","100","Tray","SC","Active","10pF","±20%","-","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard","0.006"" (0.15mm)","0.018"" L x 0.018"" W (0.46mm x 0.46mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1220-ND,SC01000710,Skyworks Solutions Inc.,CAP SILICON 10PF 20% SMD,5600,0,"1.07780","0","100","Bulk","SC","Active","10pF","±20%","100V","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard Chip","0.006"" (0.15mm)","0.010"" L x 0.010"" W (0.25mm x 0.25mm)"
http://www.skyworksinc.com/uploads/documents/200136G.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SC-Series-Silicon-Capacitors.jpg,863-1617-ND,SC00820710,Skyworks Solutions Inc.,CAP SILICON 8.2PF 20% SMD,2900,0,"1.07780","0","100","Tray","SC","Active","8.2pF","±20%","-","-","-","High Temperature","High Reliability","-65°C ~ 200°C","Nonstandard","0.006"" (0.15mm)","0.010"" L x 0.010"" W (0.25mm x 0.25mm)"
