Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Type","ESR (Equivalent Series Resistance)","Operating Temperature","Lifetime @ Temp.","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Lead Spacing","Manufacturer Size Code","Ratings","Features"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200603.jpg,478-9527-2-ND,F381A106MMA,AVX Corporation,CAP TANT POLY 10UF 10V SMD,36000,0,"0.18908","0","4000","Tape & Reel (TR)","F38","Active","10µF","±20%","10V","Molded","500mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.035"" (0.90mm)","-","M","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200603.jpg,478-9527-1-ND,F381A106MMA,AVX Corporation,CAP TANT POLY 10UF 10V SMD,38820,0,"0.71000","0","1","Cut Tape (CT)","F38","Active","10µF","±20%","10V","Molded","500mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.035"" (0.90mm)","-","M","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200603.jpg,478-9527-6-ND,F381A106MMA,AVX Corporation,CAP TANT POLY 10UF 10V SMD,38820,0,"Digi-Reel","0","1","Digi-Reel®","F38","Active","10µF","±20%","10V","Molded","500mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.035"" (0.90mm)","-","M","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200805.jpg,478-9701-2-ND,F381A106MMAAH1,AVX Corporation,CAP TANT POLY 10UF 10V SMD,20000,0,"0.20155","0","4000","Tape & Reel (TR)","F38","Active","10µF","±20%","10V","Molded","300mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.035"" (0.90mm)","-","M","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200805.jpg,478-9701-1-ND,F381A106MMAAH1,AVX Corporation,CAP TANT POLY 10UF 10V SMD,23025,0,"0.76000","0","1","Cut Tape (CT)","F38","Active","10µF","±20%","10V","Molded","300mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.035"" (0.90mm)","-","M","-","General Purpose"
http://datasheets.avx.com/f38.pdf,//media.digikey.com/Renders/AVX%20Renders/F38%20Series%200805.jpg,478-9701-6-ND,F381A106MMAAH1,AVX Corporation,CAP TANT POLY 10UF 10V SMD,23025,0,"Digi-Reel","0","1","Digi-Reel®","F38","Active","10µF","±20%","10V","Molded","300mOhm @ 100kHz","-55°C ~ 105°C","1000 Hrs @ 85°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.035"" (0.90mm)","-","M","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4009-2-ND,T520B107M006ATE070,KEMET,CAP TANT POLY 100UF 6.3V 3528,34000,0,"0.20700","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4009-1-ND,T520B107M006ATE070,KEMET,CAP TANT POLY 100UF 6.3V 3528,36609,0,"0.75000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4009-6-ND,T520B107M006ATE070,KEMET,CAP TANT POLY 100UF 6.3V 3528,36609,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","70mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1411 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)","-","B","-","General Purpose"
https://api.kemet.com/component-edge/download/specsheet/T520A107M006ATE045.pdf,-,399-18160-2-ND,T520A107M006ATE045,KEMET,POLY TA SMD 3216 100UF 6.3V 20%,68000,0,"0.21450","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","45mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://api.kemet.com/component-edge/download/specsheet/T520A107M006ATE045.pdf,-,399-18160-1-ND,T520A107M006ATE045,KEMET,POLY TA SMD 3216 100UF 6.3V 20%,69849,0,"0.78000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","45mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://api.kemet.com/component-edge/download/specsheet/T520A107M006ATE045.pdf,-,399-18160-6-ND,T520A107M006ATE045,KEMET,POLY TA SMD 3216 100UF 6.3V 20%,69849,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","100µF","±20%","6.3V","Molded","45mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 125°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4788-2-ND,T520A106M010ATE080,KEMET,CAP TANT POLY 10UF 10V 1206,126000,0,"0.21750","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","10µF","±20%","10V","Molded","80mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4788-1-ND,T520A106M010ATE080,KEMET,CAP TANT POLY 10UF 10V 1206,128212,0,"0.79000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","10µF","±20%","10V","Molded","80mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-4788-6-ND,T520A106M010ATE080,KEMET,CAP TANT POLY 10UF 10V 1206,128212,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","10µF","±20%","10V","Molded","80mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-9774-2-ND,T520A226M010ATE080,KEMET,CAP TANT POLY 22UF 10V 1206,42000,0,"0.22200","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","22µF","±20%","10V","Molded","80mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-9774-1-ND,T520A226M010ATE080,KEMET,CAP TANT POLY 22UF 10V 1206,43518,0,"0.81000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","22µF","±20%","10V","Molded","80mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-9774-6-ND,T520A226M010ATE080,KEMET,CAP TANT POLY 22UF 10V 1206,43518,0,"Digi-Reel","0","1","Digi-Reel®","KO-CAP® T520","Active","22µF","±20%","10V","Molded","80mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-5271-2-ND,T520A226M006ATE100,KEMET,CAP TANT POLY 22UF 6.3V 1206,2000,0,"0.22200","0","2000","Tape & Reel (TR)","KO-CAP® T520","Active","22µF","±20%","6.3V","Molded","100mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
https://content.kemet.com/datasheets/KEM_T2076_T52X-530.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_T520T107M006APE070.JPG,399-5271-1-ND,T520A226M006ATE100,KEMET,CAP TANT POLY 22UF 6.3V 1206,2559,0,"0.81000","0","1","Cut Tape (CT)","KO-CAP® T520","Active","22µF","±20%","6.3V","Molded","100mOhm @ 100kHz","-55°C ~ 105°C","2000 Hrs @ 105°C","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose"
