Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Type","ESR (Equivalent Series Resistance)","Operating Temperature","Lifetime @ Temp.","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Lead Spacing","Manufacturer Size Code","Ratings","Features","Failure Rate"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-5748-2-ND,TAJA105M020RNJ,AVX Corporation,CAP TANT 1UF 20% 20V 1206,90000,56000,"0.07200","0","2000","Tape & Reel (TR)","TAJ","Active","1µF","±20%","20V","Molded","9Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-5748-1-ND,TAJA105M020RNJ,AVX Corporation,CAP TANT 1UF 20% 20V 1206,91735,56000,"0.33000","0","1","Cut Tape (CT)","TAJ","Active","1µF","±20%","20V","Molded","9Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-5748-6-ND,TAJA105M020RNJ,AVX Corporation,CAP TANT 1UF 20% 20V 1206,91735,56000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","1µF","±20%","20V","Molded","9Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2353-2-ND,TAJA225K016RNJ,AVX Corporation,CAP TANT 2.2UF 10% 16V 1206,38000,166000,"0.07290","0","2000","Tape & Reel (TR)","TAJ","Active","2.2µF","±10%","16V","Molded","6.5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2353-1-ND,TAJA225K016RNJ,AVX Corporation,CAP TANT 2.2UF 10% 16V 1206,39551,166000,"0.34000","0","1","Cut Tape (CT)","TAJ","Active","2.2µF","±10%","16V","Molded","6.5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2353-6-ND,TAJA225K016RNJ,AVX Corporation,CAP TANT 2.2UF 10% 16V 1206,39551,166000,"Digi-Reel","0","1","Digi-Reel®","TAJ","Active","2.2µF","±10%","16V","Molded","6.5Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://www.vishay.com/docs/40002/293d.pdf,//media.digikey.com/Photos/Vishay%20Sprague%20Photos/Tantamount%20293D%20Series%20A.JPG,718-1118-2-ND,293D106X0010A2TE3,Vishay Sprague,CAP TANT 10UF 20% 10V 1206,142000,0,"0.07360","0","2000","Tape & Reel (TR)","TANTAMOUNT®, 293D","Active","10µF","±20%","10V","Molded","3.4Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://www.vishay.com/docs/40002/293d.pdf,//media.digikey.com/Photos/Vishay%20Sprague%20Photos/Tantamount%20293D%20Series%20A.JPG,718-1118-1-ND,293D106X0010A2TE3,Vishay Sprague,CAP TANT 10UF 20% 10V 1206,142108,0,"0.30000","0","1","Cut Tape (CT)","TANTAMOUNT®, 293D","Active","10µF","±20%","10V","Molded","3.4Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://www.vishay.com/docs/40002/293d.pdf,//media.digikey.com/Photos/Vishay%20Sprague%20Photos/Tantamount%20293D%20Series%20A.JPG,718-1118-6-ND,293D106X0010A2TE3,Vishay Sprague,CAP TANT 10UF 20% 10V 1206,142108,0,"Digi-Reel","0","1","Digi-Reel®","TANTAMOUNT®, 293D","Active","10µF","±20%","10V","Molded","3.4Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
http://datasheets.avx.com/TAJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1653-2-ND,TAJA106K006RNJ,AVX Corporation,CAP TANT 10UF 10% 6.3V 1206,162000,572000,"0.07396","0","2000","Tape & Reel (TR)","TAJ","Active","10µF","±10%","6.3V","Molded","4Ohm","-55°C ~ 125°C","-","Surface Mount","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)","-","A","-","General Purpose","-"
