Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Mounting Type","Package / Case","Operating Temperature","Features","Size / Dimension","Height - Seated (Max)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4430-2-ND,04023J6R8BBSTR,AVX Corporation,CAP THIN FILM 6.8PF 25V 0402,15000,10000,"0.19800","0","5000","Tape & Reel (TR)","Accu-P®","Active","6.8pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4430-1-ND,04023J6R8BBSTR,AVX Corporation,CAP THIN FILM 6.8PF 25V 0402,22375,10000,"0.72000","0","1","Cut Tape (CT)","Accu-P®","Active","6.8pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4430-6-ND,04023J6R8BBSTR,AVX Corporation,CAP THIN FILM 6.8PF 25V 0402,22375,10000,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","6.8pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4397-2-ND,04023J0R7PBSTR,AVX Corporation,CAP THIN FILM 0.7PF 25V 0402,5000,0,"0.24640","0","5000","Tape & Reel (TR)","Accu-P®","Active","0.7pF","±0.02pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4397-1-ND,04023J0R7PBSTR,AVX Corporation,CAP THIN FILM 0.7PF 25V 0402,6324,0,"1.94000","0","1","Cut Tape (CT)","Accu-P®","Active","0.7pF","±0.02pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4397-6-ND,04023J0R7PBSTR,AVX Corporation,CAP THIN FILM 0.7PF 25V 0402,6324,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","0.7pF","±0.02pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4405-2-ND,04023J1R5ABSTR,AVX Corporation,CAP THIN FILM 1.5PF 25V 0402,5000,0,"0.26100","0","5000","Tape & Reel (TR)","Accu-P®","Active","1.5pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4405-1-ND,04023J1R5ABSTR,AVX Corporation,CAP THIN FILM 1.5PF 25V 0402,7440,0,"0.88000","0","1","Cut Tape (CT)","Accu-P®","Active","1.5pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4405-6-ND,04023J1R5ABSTR,AVX Corporation,CAP THIN FILM 1.5PF 25V 0402,7440,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","1.5pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-4450-2-ND,06035J1R0BBSTR,AVX Corporation,CAP THIN FILM 1PF 50V 0603,18000,0,"0.36685","0","3000","Tape & Reel (TR)","Accu-P®","Active","1pF","±0.1pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-4450-1-ND,06035J1R0BBSTR,AVX Corporation,CAP THIN FILM 1PF 50V 0603,19927,0,"1.11000","0","1","Cut Tape (CT)","Accu-P®","Active","1pF","±0.1pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-4450-6-ND,06035J1R0BBSTR,AVX Corporation,CAP THIN FILM 1PF 50V 0603,19927,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","1pF","±0.1pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-11828-2-ND,06035J1R0PBSTR,AVX Corporation,CAP THIN FILM 1PF 50V 0603,9000,0,"0.65250","0","3000","Tape & Reel (TR)","Accu-P®","Active","1pF","±0.02pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-11828-1-ND,06035J1R0PBSTR,AVX Corporation,CAP THIN FILM 1PF 50V 0603,11284,0,"1.76000","0","1","Cut Tape (CT)","Accu-P®","Active","1pF","±0.02pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/photos/AVX%20Photos/ACCU-P%200603.jpg,478-11828-6-ND,06035J1R0PBSTR,AVX Corporation,CAP THIN FILM 1PF 50V 0603,11284,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","1pF","±0.02pF","50V","Surface Mount","0603 (1608 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","0.029"" (0.73mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4392-2-ND,04023J0R2PBSTR,AVX Corporation,CAP THIN FILM 0.2PF 25V 0402,5000,0,"0.66825","0","5000","Tape & Reel (TR)","Accu-P®","Active","0.2pF","±0.02pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4392-1-ND,04023J0R2PBSTR,AVX Corporation,CAP THIN FILM 0.2PF 25V 0402,8374,0,"1.94000","0","1","Cut Tape (CT)","Accu-P®","Active","0.2pF","±0.02pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
