Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance Range","Adjustment Type","Voltage - Rated","Dielectric Material","Q @ Freq","Size / Dimension","Height - Seated (Max)","Operating Temperature","Mounting Type","Features"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1015-2-ND,JR030,Knowles Voltronics,CAP TRIMMER 1.5-3PF 125V SMD,24000,0,"0.61050","0","1000","Tape & Reel (TR)","JR","Active","1.5 ~ 3pF","Top","100V","Ceramic","500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1015-1-ND,JR030,Knowles Voltronics,CAP TRIMMER 1.5-3PF 125V SMD,25010,0,"1.78000","0","1","Cut Tape (CT)","JR","Active","1.5 ~ 3pF","Top","100V","Ceramic","500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1015-6-ND,JR030,Knowles Voltronics,CAP TRIMMER 1.5-3PF 125V SMD,25010,0,"Digi-Reel","0","1","Digi-Reel®","JR","Active","1.5 ~ 3pF","Top","100V","Ceramic","500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1016-2-ND,JR060,Knowles Voltronics,CAP TRIMMER 2-6PF 125V SMD,20000,0,"0.61050","0","1000","Tape & Reel (TR)","JR","Active","2 ~ 6pF","Top","125V","Ceramic","1000 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1016-1-ND,JR060,Knowles Voltronics,CAP TRIMMER 2-6PF 125V SMD,20595,0,"1.78000","0","1","Cut Tape (CT)","JR","Active","2 ~ 6pF","Top","125V","Ceramic","1000 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1016-6-ND,JR060,Knowles Voltronics,CAP TRIMMER 2-6PF 125V SMD,20595,0,"Digi-Reel","0","1","Digi-Reel®","JR","Active","2 ~ 6pF","Top","125V","Ceramic","1000 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1017-2-ND,JR100,Knowles Voltronics,CAP TRIMMER 2-10PF 125V SMD,35000,0,"0.61500","0","1000","Tape & Reel (TR)","JR","Active","2 ~ 10pF","Top","125V","Ceramic","1500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1017-1-ND,JR100,Knowles Voltronics,CAP TRIMMER 2-10PF 125V SMD,36657,0,"1.79000","0","1","Cut Tape (CT)","JR","Active","2 ~ 10pF","Top","125V","Ceramic","1500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1017-6-ND,JR100,Knowles Voltronics,CAP TRIMMER 2-10PF 125V SMD,36657,0,"Digi-Reel","0","1","Digi-Reel®","JR","Active","2 ~ 10pF","Top","125V","Ceramic","1500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
https://www.knowlescapacitors.com/getmedia/fae461ef-e086-4f0e-af62-725f9d523a26/Knowles-Trimmers-Catalogue-web,//media.digikey.com/Photos/Knowles-Voltronics/MFG_JR_JR_HV-SERIES.jpg,1674-1019-2-ND,JR200,Knowles Voltronics,CAP TRIMMER 4.5-20PF 125V SMD,32000,0,"0.61500","0","1000","Tape & Reel (TR)","JR","Active","4.5 ~ 20pF","Top","125V","Ceramic","1500 @ 1MHz","0.138"" L x 0.122"" W (3.50mm x 3.10mm)","0.045"" (1.15mm)","-40°C ~ 85°C","Surface Mount","General Purpose"
