Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Breaker Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Number of Poles","Actuator Type","Illumination","Illumination Voltage (Nominal)","Mounting Type","Approvals"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W57-XB7A4A10-15.JPG,PB533-ND,W57-XB7A4A10-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC,3217,0,"2.69000","0","1","W57","Active","Thermal","10A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/W57-XB1A7A10-5.JPG,PB1068-ND,W57-XB1A7A10-5,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 5A 250VAC,5790,0,"3.02000","0","1","W57","Active","Thermal","5A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/W57-XB1A7A10-15.jpg,PB1070-ND,W57-XB1A7A10-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 250VAC,3992,0,"3.24000","0","1","W57","Active","Thermal","15A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB189-ND,W28-XQ1A-8,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 8A 250VAC 32VDC,7338,0,"3.03000","0","1","W28","Active","Thermal","8A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W54&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W54-XB1A4A10-20.jpg,PB1046-ND,W54-XB1A4A10-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 250VAC,3482,0,"3.38000","0","1","W54","Active","Thermal","20A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB186-ND,W28-XQ1A-5,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 5A 250VAC 32VDC,11254,0,"3.48000","0","1","W28","Active","Thermal","5A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB184-ND,W28-XQ1A-3,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 3A 250VAC 32VDC,5641,0,"3.48000","0","1","W28","Active","Thermal","3A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB192-ND,W28-XQ1A-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 250VAC 32VDC,3670,0,"3.48000","0","1","W28","Active","Thermal","15A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB185-ND,W28-XQ1A-4,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 4A 250VAC 32VDC,3632,0,"3.48000","0","1","W28","Active","Thermal","4A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB190-ND,W28-XQ1A-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC 32VDC,1636,0,"3.48000","0","1","W28","Active","Thermal","10A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB425-ND,W28-XQ1A-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 250VAC 32VDC,342,0,"3.48000","0","1","W28","Active","Thermal","20A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W51-A152A1%20SERIES.jpg,PB1033-ND,W51-A152A1-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC 50VDC,3349,0,"3.78000","0","1","W51","Active","Thermal","10A","250V","50V","1","Rocker","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W51-A152A1%20SERIES.jpg,PB1035-ND,W51-A152A1-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 250VAC 50VDC,470,0,"3.81000","0","1","W51","Active","Thermal","20A","250V","50V","1","Rocker","-","-","Panel Mount","-"
