Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Fuse Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Response Time","Applications","Features","Class","Approvals","Operating Temperature","Breaking Capacity @ Rated Voltage","Mounting Type","Package / Case","Size / Dimension"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_461_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0461%20SERIES.jpg,F1550TR-ND,04611.25ER,Littelfuse Inc.,FUSE BRD MNT 1.25A 600VAC/80VDC,25000,0,"0.70200","0","2500","Tape & Reel (TR)","Telelink® 461","Active","Board Mount","1.25A","600V","80V","Slow Blow","Telecom","-","-","CSA, UR","-55°C ~ 125°C","60A AC, 100A DC","Surface Mount","2-SMD, Square End Block","0.398"" L x 0.123"" W x 0.123"" H (10.10mm x 3.12mm x 3.12mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_461_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0461%20SERIES.jpg,F1550CT-ND,04611.25ER,Littelfuse Inc.,FUSE BRD MNT 1.25A 600VAC/80VDC,29844,0,"1.80000","0","1","Cut Tape (CT)","Telelink® 461","Active","Board Mount","1.25A","600V","80V","Slow Blow","Telecom","-","-","CSA, UR","-55°C ~ 125°C","60A AC, 100A DC","Surface Mount","2-SMD, Square End Block","0.398"" L x 0.123"" W x 0.123"" H (10.10mm x 3.12mm x 3.12mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_461_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0461%20SERIES.jpg,F1550DKR-ND,04611.25ER,Littelfuse Inc.,FUSE BRD MNT 1.25A 600VAC/80VDC,29844,0,"Digi-Reel","0","1","Digi-Reel®","Telelink® 461","Active","Board Mount","1.25A","600V","80V","Slow Blow","Telecom","-","-","CSA, UR","-55°C ~ 125°C","60A AC, 100A DC","Surface Mount","2-SMD, Square End Block","0.398"" L x 0.123"" W x 0.123"" H (10.10mm x 3.12mm x 3.12mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_461_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0461%20SERIES.jpg,F1449TR-ND,0461.500ER,Littelfuse Inc.,FUSE BRD MNT 500MA 600VAC/80VDC,0,0,"0.70200","0","2500","Tape & Reel (TR)","Telelink® 461","Active","Board Mount","500mA","600V","80V","Slow Blow","Telecom","-","-","CSA, UR","-55°C ~ 125°C","60A AC, 100A DC","Surface Mount","2-SMD, Square End Block","0.398"" L x 0.123"" W x 0.123"" H (10.10mm x 3.12mm x 3.12mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_461_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0461%20SERIES.jpg,F1449CT-ND,0461.500ER,Littelfuse Inc.,FUSE BRD MNT 500MA 600VAC/80VDC,1972,0,"1.80000","0","1","Cut Tape (CT)","Telelink® 461","Active","Board Mount","500mA","600V","80V","Slow Blow","Telecom","-","-","CSA, UR","-55°C ~ 125°C","60A AC, 100A DC","Surface Mount","2-SMD, Square End Block","0.398"" L x 0.123"" W x 0.123"" H (10.10mm x 3.12mm x 3.12mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_461_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0461%20SERIES.jpg,F1449DKR-ND,0461.500ER,Littelfuse Inc.,FUSE BRD MNT 500MA 600VAC/80VDC,1972,0,"Digi-Reel","0","1","Digi-Reel®","Telelink® 461","Active","Board Mount","500mA","600V","80V","Slow Blow","Telecom","-","-","CSA, UR","-55°C ~ 125°C","60A AC, 100A DC","Surface Mount","2-SMD, Square End Block","0.398"" L x 0.123"" W x 0.123"" H (10.10mm x 3.12mm x 3.12mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_242_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0242.050UAT1.jpg,F1290TB-ND,0242.050UAT1,Littelfuse Inc.,FUSE CRTRDGE 50MA 250VAC/VDC AXL,7000,0,"2.22900","0","500","Tape & Box (TB)","242","Active","Cartridge","50mA","250V","250V","Fast Blow","Hazardous Locations","Intrinsically Safe","-","cURus","-40°C ~ 125°C","4kA","Through Hole","Axial","0.119"" Dia x 0.331"" L (3.02mm x 8.40mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_242_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0242.050UAT1.jpg,F1290CT-ND,0242.050UAT1,Littelfuse Inc.,FUSE CRTRDGE 50MA 250VAC/VDC AXL,7085,0,"4.74000","0","1","Cut Tape (CT)","242","Active","Cartridge","50mA","250V","250V","Fast Blow","Hazardous Locations","Intrinsically Safe","-","cURus","-40°C ~ 125°C","4kA","Through Hole","Axial","0.119"" Dia x 0.331"" L (3.02mm x 8.40mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_242_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0242.160UAT1.jpg,F1293TB-ND,0242.160UAT1,Littelfuse Inc.,FUSE CRTRDGE 160MA 250VAC/DC AXL,1000,0,"2.22900","0","500","Tape & Box (TB)","242","Active","Cartridge","160mA","250V","250V","Fast Blow","Hazardous Locations","Intrinsically Safe","-","cURus","-40°C ~ 125°C","4kA","Through Hole","Axial","0.119"" Dia x 0.331"" L (3.02mm x 8.40mm)"
https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_242_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/0242.160UAT1.jpg,F1293CT-ND,0242.160UAT1,Littelfuse Inc.,FUSE CRTRDGE 160MA 250VAC/DC AXL,1076,0,"4.74000","0","1","Cut Tape (CT)","242","Active","Cartridge","160mA","250V","250V","Fast Blow","Hazardous Locations","Intrinsically Safe","-","cURus","-40°C ~ 125°C","4kA","Through Hole","Axial","0.119"" Dia x 0.331"" L (3.02mm x 8.40mm)"
