Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Fuseholder Type","Fuse Type","For Use With/Related Products","Fuse Size","Number of Circuits","Voltage","Current Rating (Amps)","Mounting Type","Orientation","Termination Style","Contact Material","Contact Finish"
https://www.littelfuse.com/data/en/Data_Sheets/Littelfuse_fuse-clips.pdf,"//media.digikey.com/photos/Littelfuse%20Photos/01110501H,01110506H.jpg",F4189-ND,01110501Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 10A PCB,220411,0,"0.12000","0","1","111","Active","Clip","Cartridge","5mm Dia","5mm Dia","1","250V","10A","PCB","Horizontal","PC Pin","Spring Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=293,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3522.JPG,36-3522-ND,3522,Keystone Electronics,FUSE CLIP BLADE 500V 30A PCB,86302,600,"0.20000","0","1","-","Active","Clip","Blade","ATC, ATO","0.75"" L x 0.2"" W x 0.48"" H (19.1mm x 5.1mm x 12.2mm)","1","500V","30A","PCB","Vertical","PC Pin","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=1131,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3557.jpg,36-3557-ND,3557,Keystone Electronics,FUSE CLIP BLADE 500V 30A PCB,220494,2318600,"0.22000","0","1","-","Active","Clip","Blade","ATC, ATO, MINI ATC, MINI ATO","-","1","500V","30A","PCB","Vertical","PC Pin","Brass","Tin Nickel"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_102_122_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/01020071Z.JPG,F3781-ND,01020071Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 15A PCB,64658,0,"0.22000","0","1","102","Active","Clip","Cartridge","1/4"" Dia","1/4"" Dia (6.4mm)","1","250V","15A","PCB","Horizontal","PC Pin","Spring Brass","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_520_521_102071_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/10207101009.JPG,WK6253-ND,10207101009,Littelfuse Inc.,FUSE CLIP CARTRIDGE 500V 10A PCB,22335,0,"0.24000","0","1","102071","Active","Clip","Cartridge","1/4"" Dia","1/4"" Dia (6.4mm)","1","500V","10A","PCB","Horizontal","PC Pin","Brass","Tin"
https://www.littelfuse.com/data/en/Data_Sheets/Littelfuse_fuse-clips.pdf,//media.digikey.com/photos/Littelfuse%20Photos/01000056H.jpg,F3784-ND,01000056Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 10A PCB,20323,0,"0.34000","0","1","100","Active","Clip","Cartridge","5mm Dia","5mm Dia","1","250V","10A","PCB","Horizontal","PC Pin","Spring Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=361,//media.digikey.com/photos/Keystone%20Elect%20Photos/3562.jpg,36-3562-ND,3562,Keystone Electronics,FUSE CLIP CARTRIDGE 15A PCB,27188,1000,"0.35000","0","1","-","Active","Clip","Cartridge","5mm Dia","5mm Dia","1","-","15A","PCB","Horizontal","PC Pin","Brass","Tin"
http://www.memoryprotectiondevices.com/datasheets/BK-6005-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_BK-6005.jpg,BK-6005-ND,BK-6005,MPD (Memory Protection Devices),FUSE CLIP CARTRIDGE PCB,32228,20100,"0.39000","0","1","-","Active","Clip","Cartridge","5mm Dia","5mm Dia","1","-","-","PCB","Horizontal","PC Pin","Brass","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_100_102_122_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/01220090N.jpg,F4190-ND,01220090Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 30A PCB,22106,0,"0.47000","0","1","122","Active","Clip","Cartridge","1/4"" Dia","1/4"" Dia (6.4mm)","1","250V","30A","PCB","Horizontal","PC Pin","Beryllium Copper","Silver"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_100_445_030_520_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/01000020Z.JPG,F4225-ND,01000020Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 600V 20A PCB,13383,0,"0.58000","0","1","100","Active","Clip","Cartridge","5mm Dia","5mm Dia","1","600V","20A","PCB","Horizontal","PC Pin","Phosphorus Bronze","Tin"
http://www.keyelco.com/product-pdf.cfm?p=326,//media.digikey.com/photos/Keystone%20Elect%20Photos/4628.JPG,36-4628-ND,4628,Keystone Electronics,FUSE HLDR CARTRIDGE 250V 5A PCB,40140,32800,"0.62000","0","1","-","Active","Holder","Cartridge","1/4"" Dia","5mm x 20mm","1","250V","5A","PCB","Horizontal","PC Pin","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=324,//media.digikey.com/photos/Keystone%20Elect%20Photos/4527.jpg,36-4527-ND,4527,Keystone Electronics,FUSE HLDR CARTRIDGE 250V 5A PCB,39359,57900,"0.62000","0","1","-","Active","Holder","Cartridge","1/4"" Dia","5mm x 20mm","1","250V","5A","PCB","Horizontal","PC Pin","Brass","Tin"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_2131_1AXXXX_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/BK^1A5600-R.jpg,283-2604-ND,BK/1A5600,Eaton - Bussmann Electrical Division,FUSE CLIP BLADE 20A PCB,10990,0,"0.64000","0","1","1AXXXX","Active","Clip","Blade","ATC, ATO","0.76"" L x 0.207"" W x 0.752"" H (19.3mm x 5.25mm x 19.1mm)","1","-","20A","PCB","Vertical","PC Pin","Cartridge Brass","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_102_122_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/01220083Z.JPG,F3782-ND,01220083Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 30A PCB,6215,0,"0.71000","0","1","122","Active","Clip","Cartridge","1/4"" Dia","1/4"" Dia (6.4mm)","1","250V","30A","PCB","Horizontal","PC Pin","Beryllium Copper","Silver"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_102_122_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/01220088Z.JPG,F3783-ND,01220088Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 30A PCB,2525,0,"0.71000","0","1","122","Active","Clip","Cartridge","1/4"" Dia","1/4"" Dia (6.4mm)","1","250V","30A","PCB","Horizontal","PC Pin","Beryllium Copper","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_102_122_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/01220093Z.JPG,F4185-ND,01220093Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 30A PCB,10120,0,"0.72000","0","1","122","Active","Clip","Cartridge","1/4"" Dia","1/4"" Dia (6.4mm)","1","250V","30A","PCB","Horizontal","PC Pin","Beryllium Copper","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_holders/littelfuse_fuse_holder_562_564_datasheet.pdf.pdf,//media.digikey.com/photos/Wickmann%20Photos/5640000100.jpg,WK0010TR-ND,56400001009,Littelfuse Inc.,FUSE HOLDER RADIAL 250V 6.3A SMD,6000,0,"0.72050","0","1500","564","Active","Holder","Radial","TE5, TR5","Radial 0.2"" (5.08mm) pitch","1","250V","6.3A","Surface Mount","-","SMD (SMT) Tab","Copper Alloy","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_holders/littelfuse_fuse_holder_562_564_datasheet.pdf.pdf,//media.digikey.com/photos/Wickmann%20Photos/5640000100.jpg,WK0010CT-ND,56400001009,Littelfuse Inc.,FUSE HOLDER RADIAL 250V 6.3A SMD,6719,0,"1.82000","0","1","564","Active","Holder","Radial","TE5, TR5","Radial 0.2"" (5.08mm) pitch","1","250V","6.3A","Surface Mount","-","SMD (SMT) Tab","Copper Alloy","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_holders/littelfuse_fuse_holder_562_564_datasheet.pdf.pdf,//media.digikey.com/photos/Wickmann%20Photos/5640000100.jpg,WK0010DKR-ND,56400001009,Littelfuse Inc.,FUSE HOLDER RADIAL 250V 6.3A SMD,6719,0,"Digi-Reel","0","1","564","Active","Holder","Radial","TE5, TR5","Radial 0.2"" (5.08mm) pitch","1","250V","6.3A","Surface Mount","-","SMD (SMT) Tab","Copper Alloy","Tin"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/560_lf_051215.pdf,//media.digikey.com/photos/Wickmann%20Photos/56000001009.jpg,WK6235-ND,56000001009,Littelfuse Inc.,FUSE HOLDER RADIAL 250V 6.3A PCB,44040,0,"0.74000","0","1","560","Active","Holder","Radial","TE5, TR5","Radial 0.2"" (5.08mm) pitch","1","250V","6.3A","PCB","Vertical","PC Pin","Copper Alloy","Tin"
http://www.keyelco.com/product-pdf.cfm?p=340,//media.digikey.com/photos/Keystone%20Elect%20Photos/3552.JPG,36-3552-ND,3552,Keystone Electronics,FUSE HOLDER RADIAL 250V 5A PCB,15063,2400,"0.79000","0","1","-","Active","Holder","Radial","TE5","Radial 0.2"" (5.08mm) pitch","1","250V","5A","PCB","Vertical","PC Pin","Brass","Tin"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_2131_1AXXXX_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/BK^1A3400-10.JPG,283-2829-ND,BK/1A3400-09-R,Eaton - Electronics Division,FUSE CLIP CARTRIDGE 20A PCB,12611,0,"0.79000","0","1","1AXXXX","Active","Clip","Cartridge","13/32"" Dia","13/32"" Dia (10.3mm)","1","-","20A","PCB","Horizontal","PC Pin","Spring Bronze","Tin"
