Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Fuse Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Response Time","Package / Case","Mounting Type","Breaking Capacity @ Rated Voltage","Melting I²t","Approvals","Operating Temperature","Color","Size / Dimension"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P15122TR-ND,ERB-RD0R50X,Panasonic Electronic Components,FUSE BOARD MNT 500MA 32VDC 0402,10000,0,"0.09800","0","10000","Tape & Reel (TR)","ERB-RD","Active","Board Mount (Cartridge Style Excluded)","500mA","-","32V","Fast Blow","0402 (1005 Metric)","Surface Mount","35A","-","cUL, UL","-40°C ~ 125°C","-","0.040"" L x 0.020"" W x 0.019"" H (1.00mm x 0.50mm x 0.48mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P15122CT-ND,ERB-RD0R50X,Panasonic Electronic Components,FUSE BOARD MNT 500MA 32VDC 0402,21476,0,"0.27000","0","1","Cut Tape (CT)","ERB-RD","Active","Board Mount (Cartridge Style Excluded)","500mA","-","32V","Fast Blow","0402 (1005 Metric)","Surface Mount","35A","-","cUL, UL","-40°C ~ 125°C","-","0.040"" L x 0.020"" W x 0.019"" H (1.00mm x 0.50mm x 0.48mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P15122DKR-ND,ERB-RD0R50X,Panasonic Electronic Components,FUSE BOARD MNT 500MA 32VDC 0402,21476,0,"Digi-Reel","0","1","Digi-Reel®","ERB-RD","Active","Board Mount (Cartridge Style Excluded)","500mA","-","32V","Fast Blow","0402 (1005 Metric)","Surface Mount","35A","-","cUL, UL","-40°C ~ 125°C","-","0.040"" L x 0.020"" W x 0.019"" H (1.00mm x 0.50mm x 0.48mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15124TR-ND,ERB-RE1R00V,Panasonic Electronic Components,FUSE BOARD MOUNT 1A 32VDC 0603,40000,0,"0.11400","0","5000","Tape & Reel (TR)","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","1A","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15124CT-ND,ERB-RE1R00V,Panasonic Electronic Components,FUSE BOARD MOUNT 1A 32VDC 0603,43142,0,"0.29000","0","1","Cut Tape (CT)","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","1A","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15124DKR-ND,ERB-RE1R00V,Panasonic Electronic Components,FUSE BOARD MOUNT 1A 32VDC 0603,43142,0,"Digi-Reel","0","1","Digi-Reel®","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","1A","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15127TR-ND,ERB-RE0R50V,Panasonic Electronic Components,FUSE BOARD MNT 500MA 32VDC 0603,20000,0,"0.11400","0","5000","Tape & Reel (TR)","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","500mA","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15127CT-ND,ERB-RE0R50V,Panasonic Electronic Components,FUSE BOARD MNT 500MA 32VDC 0603,22427,0,"0.29000","0","1","Cut Tape (CT)","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","500mA","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15127DKR-ND,ERB-RE0R50V,Panasonic Electronic Components,FUSE BOARD MNT 500MA 32VDC 0603,22427,0,"Digi-Reel","0","1","Digi-Reel®","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","500mA","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P15118TR-ND,ERB-RE3R00V,Panasonic Electronic Components,FUSE BOARD MOUNT 3A 32VDC 0603,10000,0,"0.11400","0","5000","Tape & Reel (TR)","ERB-RE","Active","Board Mount (Cartridge Style Excluded)","3A","-","32V","Fast Blow","0603 (1608 Metric)","Surface Mount","50A","-","cUL, UL","-40°C ~ 125°C","-","0.063"" L x 0.032"" W x 0.025"" H (1.60mm x 0.81mm x 0.63mm)"
