Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","R @ 25°C","Tolerance","Current - Steady State Max","R @ Current","Diameter","Lead Spacing","Approvals"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-200D5.JPG,317-1147-ND,MF72-200D5,Cantherm,ICL 200 OHM 20% 100MA 7MM,40610,0,"0.38000","0","1","Bulk","MF72","Active","200 Ohms","±20%","100mA","18.7 Ohms","0.276"" (7.00mm)","0.098"" (2.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-010D5.JPG,317-1145-ND,MF72-010D5,Cantherm,ICL 10 OHM 20% 700MA 7MM,1425,0,"0.38000","0","1","Bulk","MF72","Active","10 Ohms","±20%","700mA","771 mOhms","0.276"" (7.00mm)","0.098"" (2.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-005D9.JPG,317-1158-ND,MF72-005D9,Cantherm,ICL 5 OHM 20% 3A 11MM,75352,0,"0.42000","0","1","Bulk","MF72","Active","5 Ohms","±20%","3A","210 mOhms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-012D9.JPG,317-1162-ND,MF72-012D9,Cantherm,ICL 12 OHM 20% 1A 11MM,39146,0,"0.42000","0","1","Bulk","MF72","Active","12 Ohms","±20%","1A","652 mOhms","0.433"" (11.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-010D9.JPG,317-1161-ND,MF72-010D9,Cantherm,ICL 10 OHM 20% 2A 11MM,12242,0,"0.42000","0","1","Bulk","MF72","Active","10 Ohms","±20%","2A","458 mOhms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-2078-ND,B57153S0330M000,EPCOS (TDK),ICL 33 OHM 20% 1.3A 8.5MM,18292,0,"0.59000","0","1","Bulk","S153","Active","33 Ohms","±20%","1.3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.ametherm.com/datasheetspdf/SL1010003.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL10.jpg,570-1082-ND,SL10 10003,Ametherm,ICL 10 OHM 20% 3A 10MM,34476,0,"0.66000","0","1","Bulk","SL10","Active","10 Ohms","±20%","3A","258 mOhms","0.394"" (10.00mm)","0.307"" (7.80mm)","CSA, UL"
https://www.ametherm.com/datasheetspdf/SL102R505.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL10.jpg,570-1098-ND,SL10 2R505,Ametherm,ICL 2.5 OHM 30% 5A 10MM,23741,0,"0.66000","0","1","Bulk","SL10","Active","2.5 Ohms","±30%","5A","120 mOhms","0.394"" (10.00mm)","0.197"" (5.00mm)","CSA, UR"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S235.pdf,//media.digikey.com/photos/Epcos%20Photos/B5723xS%20Series.jpg,495-2092-ND,B57235S0100M000,EPCOS (TDK),ICL 10 OHM 20% 3A 9.5MM,48208,0,"0.74000","0","1","Bulk","-","Active","10 Ohms","±20%","3A","-","0.374"" (9.50mm)","0.197"" (5.00mm)","CQC, UL, VDE"
https://www.ametherm.com/datasheetspdf/SL1210006.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL12%20Series.jpg,570-1078-ND,SL12 10006,Ametherm,ICL 10 OHM 20% 6A 13MM,6625,0,"0.81000","0","1","Bulk","SL12","Active","10 Ohms","±20%","6A","120 mOhms","0.512"" (13.00mm)","0.307"" (7.80mm)","UR"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-120D13.JPG,317-1206-ND,MF72-120D13,Cantherm,ICL 120 OHM 20% 1.2A 15.5MM,32871,0,"0.88000","0","1","Bulk","MF72","Active","120 Ohms","±20%","1.2A","2.124 Ohms","0.610"" (15.50mm)","0.295"" (7.50mm)","-"
https://www.ametherm.com/datasheetspdf/SL155R007.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL15_60002.jpg,570-1070-ND,SL15 5R007,Ametherm,ICL 5 OHM 20% 7A 16MM,17436,0,"0.89000","0","1","Bulk","SL15","Active","5 Ohms","±20%","7A","90 mOhms","0.630"" (16.00mm)","0.307"" (7.80mm)","CSA"
https://www.ametherm.com/datasheetspdf/SL1560002.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL15_60002.jpg,570-1069-ND,SL15 60002,Ametherm,ICL 60 OHM 20% 2A 16MM,1170,0,"0.89000","0","1","Bulk","SL15","Active","60 Ohms","±20%","2A","930 mOhms","0.630"" (16.00mm)","0.307"" (7.80mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/P11.pdf,//media.digikey.com/Photos/Epcos%20Photos/P11-SERIES.jpg,495-4457-ND,B57211P0100M301,EPCOS (TDK),ICL 10 OHM 20% 4A 13MM,4899,0,"0.93000","0","1","Bulk","P11","Active","10 Ohms","±20%","4A","203 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S236.pdf,//media.digikey.com/photos/Epcos%20Photos/B57236S0200M000.JPG,495-3047-ND,B57236S0200M000,EPCOS (TDK),ICL 20 OHM 20% 2.8A 11.5MM,9835,0,"0.96000","0","1","Bulk","S236","Active","20 Ohms","±20%","2.8A","-","0.453"" (11.50mm)","0.197"" (5.00mm)","UL"
