Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4s214,//media.digikey.com/Renders/Texas%20Instr%20Renders/TI%2012-DSBGA%20YZG.jpg,296-39348-2-ND,TPD4S214YFFR,Texas Instruments,USB OTG COMPANION DEVICE,39000,9000,"0.55440","0","3000","Tape & Reel (TR)","-","Active","-","Internal Switch","1","USB OTG","Surface Mount","12-UFBGA, DSBGA","12-DSBGA"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4s214,//media.digikey.com/Renders/Texas%20Instr%20Renders/TI%2012-DSBGA%20YZG.jpg,296-39348-1-ND,TPD4S214YFFR,Texas Instruments,USB OTG COMPANION DEVICE,39889,10001,"1.35000","0","1","Cut Tape (CT)","-","Active","-","Internal Switch","1","USB OTG","Surface Mount","12-UFBGA, DSBGA","12-DSBGA"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4s214,//media.digikey.com/Renders/Texas%20Instr%20Renders/TI%2012-DSBGA%20YZG.jpg,296-39348-6-ND,TPD4S214YFFR,Texas Instruments,USB OTG COMPANION DEVICE,39889,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","Internal Switch","1","USB OTG","Surface Mount","12-UFBGA, DSBGA","12-DSBGA"
https://datasheets.maximintegrated.com/en/ds/MAX9940.pdf,//media.digikey.com/photos/Maxim%20Photos/175-SC-70-5.jpg,MAX9940AXK+TTR-ND,MAX9940AXK+T,Maxim Integrated,IC OVERVOLTAGE PROTECTOR SC70-5,7500,0,"0.60375","0","2500","Tape & Reel (TR)","-","Active","28V","Internal Switch","1","General Purpose","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
https://datasheets.maximintegrated.com/en/ds/MAX9940.pdf,//media.digikey.com/photos/Maxim%20Photos/175-SC-70-5.jpg,MAX9940AXK+TCT-ND,MAX9940AXK+T,Maxim Integrated,IC OVERVOLTAGE PROTECTOR SC70-5,8040,0,"1.32000","0","1","Cut Tape (CT)","-","Active","28V","Internal Switch","1","General Purpose","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
https://datasheets.maximintegrated.com/en/ds/MAX9940.pdf,//media.digikey.com/photos/Maxim%20Photos/175-SC-70-5.jpg,MAX9940AXK+TDKR-ND,MAX9940AXK+T,Maxim Integrated,IC OVERVOLTAGE PROTECTOR SC70-5,8040,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","28V","Internal Switch","1","General Purpose","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA065-300-WHTR-ND,TBU-CA065-300-WH,Bourns Inc.,SURGE SUPP TBU 300MA 650VIMP SMD,24000,0,"0.74250","0","3000","Tape & Reel (TR)","TBU®","Active","650V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA065-300-WHCT-ND,TBU-CA065-300-WH,Bourns Inc.,SURGE SUPP TBU 300MA 650VIMP SMD,24055,0,"1.76000","0","1","Cut Tape (CT)","TBU®","Active","650V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA065-300-WHDKR-ND,TBU-CA065-300-WH,Bourns Inc.,SURGE SUPP TBU 300MA 650VIMP SMD,24055,0,"Digi-Reel","0","1","Digi-Reel®","TBU®","Active","650V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
https://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_TBU-CA.jpg,TBU-CA040-050-WHTR-ND,TBU-CA040-050-WH,Bourns Inc.,SURGE SUPP TBU 50MA 400VIMP SMD,21000,0,"0.74250","0","3000","Tape & Reel (TR)","TBU®","Active","400V","Internal Switch","1","General Purpose","Surface Mount","SMD 6.50mm x 4.00mm","SMD"
