Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications","For Use With/Related Products"
http://www.dlpdesign.com/usb/dlp-ior4-ds-v13.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-IOR4.JPG,813-1011-ND,DLP-IOR4,DLP Design Inc.,MODULE LATCHING-RELAY 4-CH,212,0,"44.95000","0","1","DLP-IOR4","Active","Module Latching Relay","4-Latching Relays","USB"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/5145384.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_5145384.jpg,277-5370-ND,5145384,Phoenix Contact,THERMO TRANSFER RIBBON SHEET,28,99,"146.76000","0","1","Thermomark","Active","Thermal Transfer Ribbon","-","-"
https://www.amphenol-icc.com/media/wysiwyg/files/drawing/10042618.pdf,//media.digikey.com/photos/FCI%20Photos/10042618-003lf.JPG,609-2061-ND,10042618-003LF,Amphenol ICC (FCI),CONN ACCY CARD RETENTION BLACK,33368,0,"0.37000","0","1","-","Active","Cable Assembly","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7689_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%20674.jpg,AE10179-ND,AK674,Assmann WSW Components,ADAPTER USB ON SLOTBRACKET,1206,0,"5.17000","0","1","-","Active","Cable Assembly","-","USB"
https://assets.tripplite.com/product-pdfs/en/u261001bt4.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U261-001-BT4.jpg,TL1073-ND,U261-001-BT4,Tripp Lite,MINI BLUETOOTH 4.0 (CLASS 1) US,169,0,"17.50000","0","1","-","Active","USB Mini Bluetooth 4.0 Adapter","-","-"
https://www.amphenol-icc.com/media/wysiwyg/files/drawing/10042618.pdf,//media.digikey.com/photos/FCI%20Photos/10042618-002LF.JPG,609-2060-ND,10042618-002LF,Amphenol ICC (FCI),CONN ACCY CARD RETENTION BLUE,9516,0,"0.39000","0","1","-","Active","Cable Assembly","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0827448.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0827448.jpg,277-5609-ND,0827448,Phoenix Contact,MARKER CARRIER,799,1850,"2.23000","0","1","UC-EMP","Active","Marking Tag","-","UC-EMP (27x18)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3369_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_3369.JPG,1528-1899-ND,3369,Adafruit Industries LLC,MINI EXTERNAL USB STEREO SPEAKER,224,0,"12.50000","0","1","-","Active","USB Stereo Speaker","2 X 2W, 60dB","Raspberry Pi"
https://assets.tripplite.com/product-pdfs/en/db9.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_DB9.jpg,TL151-ND,DB9,Tripp Lite,SURGE SUPPRESSOR RS-232 DB9M/F,134,0,"20.50000","0","1","-","Active","Surge Suppressor","Protection on all 9 data lines","RS-232 DB9 Serial Ports"
https://assets.tripplite.com/product-pdfs/en/u33806nsatab.pdf,-,TL2303-ND,U338-06N-SATA-B,Tripp Lite,USB 3.0 SUPERSPEED TO SATA III A,197,0,"16.01000","0","1","*","Active","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u33806nsataw.pdf,-,TL2304-ND,U338-06N-SATA-W,Tripp Lite,USB 3.0 SUPERSPEED TO SATA III A,197,0,"16.01000","0","1","*","Active","-","-","-"
-,//media.digikey.com/Photos/Molex/Molex-poster.jpg,MOLEX-POSTER-ND,MOLEX-POSTER,Molex,MOLEX ACADEMIC POSTER,198,0,"3.50000","0","1","-","Active","Poster and Signs","-","-"
-,-,KF2002-GC30L-ND,KF2002-GC30L,Rohm Semiconductor,THERMAL PRINTHEAD,120,0,"40.80000","0","1","-","Active","-","-","-"
http://www.dlpdesign.com/usb/dlp-d-dsv12.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-D-G.JPG,813-1007-ND,DLP-D-G,DLP Design Inc.,MODULE USB SECURITY DONGLE,80,0,"14.99000","0","1","DLP-D","Active","Dongle","Compact Size","USB"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,"//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_TT822OUT,TTHSTOUTSM,TT822OUTSM,TTDTHOUTSM.jpg",1436-1683-ND,TT822OUTSM,HellermannTyton,BLACK TRANSFER RIBBON 1/2"" CORE,63,0,"40.16000","0","1","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/5147421.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_5147421.jpg,277-9713-ND,5147421,Phoenix Contact,BLACK REPLACE INK-CARTRIDGE,7,38,"307.36000","0","1","Bluemark","Active","Ink Replacement Cartridge","-","-"
-,//media.digikey.com/photos/CH%20Products/REPPOT604.JPG,1040-1164-ND,REPPOT604,CH Products,POTENTIOMETER,44,0,"4.28000","0","1","-","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000682.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000682.jpg,602-1630-ND,76000682,Digi International,KIT TS DINRAIL BRACKET,18,0,"23.00000","0","1","-","Active","Bracket - DIN Rail","-","PortServer® TS 1/2/4"
https://www.digi.com/pdf/prd_ds_portserverts.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/MFG_76000641.jpg,602-1711-ND,76000641,Digi International,BRACKET REALPORT TS WALL MOUNT,28,0,"26.60000","0","1","-","Active","Bracket - Wall Mount","-","PortServer® TS 1/2/4"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/60000989-03_Dwg.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000662.jpg,602-1629-ND,76000662,Digi International,KIT SP WALL MNT BRACKET,9,0,"30.00000","0","1","-","Active","Bracket - Wall Mount","-","Digi One® SP"
http://www.panduit.com/heiler/LineCards/D-IDLC03--SA-DEU-ThermalTransferLabelsLC-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/RMEH4BL.JPG,298-10522-ND,RMEH4BL,Panduit Corp,RIBBON HYBRID 4.25 WIDE 300' L,28,0,"53.75000","0","1","Easy-Mark™","Active","Thermal Transfer Ribbon","Length 91.4m","TDP43ME Printer"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=0803343,//media.digikey.com/Photos/Phoenix%20Photos/0803343.JPG,277-15780-ND,0803343,Phoenix Contact,THERMOMARK PRIME MAGAZINE,6,14,"136.50000","0","1","Thermomark","Active","Magazine","-","Thermomark Card, Thermomark Prime Printers"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0801371.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0801371.jpg,277-5380-ND,0801371,Phoenix Contact,THERMOMARK INK RIBBON BLACK,11,91,"146.76000","0","1","Thermomark","Active","Thermal Transfer Ribbon","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=5146662,//media.digikey.com/Photos/Phoenix%20Photos/5146662.JPG,277-11180-ND,5146662,Phoenix Contact,PRINTER ACCESSORY,9,230,"218.68000","0","1","Bluemark","Active","Ink Replacement Cartridge","-","BLUEMARK CLED Printer"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3367_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_3367.JPG,1528-1898-ND,3367,Adafruit Industries LLC,MINI USB MICROPHONE,99,0,"5.95000","0","1","-","Active","USB Microphone","-","Raspberry Pi"
https://assets.tripplite.com/product-pdfs/en/u237001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U237-001.jpg,TL1072-ND,U237-001,Tripp Lite,VIRTUAL 7.1-CHANNEL USB EXTERNAL,45,0,"17.02000","0","1","-","Active","USB External Sound Card","-","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/0815211.JPG,277-5457-ND,0815211,Phoenix Contact,PEN BLACK,11,30,"18.12000","0","1","P-Pen","Active","Marker Pen","-","CMS-P1-PLOTTER"
https://assets.tripplite.com/product-pdfs/en/u357025uasp.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U357-025-UASP.jpg,TL1230-ND,U357-025-UASP,Tripp Lite,ENCLOSURE 2.5"" SATA HARD DRIVE,26,0,"23.45000","0","1","-","Active","External Storage","Data Transfer up to 5.0Gbps","2.5"" Hard Drives"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=0805009,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0805009.jpg,277-12091-ND,0805009,Phoenix Contact,THERMOFOX RECHARGEABLE BATTERY,6,16,"40.95000","0","1","ThermoFox","Active","Battery Pack, Rechargeable","-","ThermoFox Printer"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00101.pdf,"//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_TT822OUT,TTHSTOUTSM,TT822OUTSM,TTDTHOUTSM.jpg",1436-1682-ND,TT822OUT,HellermannTyton,BLACK THERMAL RIBBON ON 1"" CORE,9,0,"105.05000","0","1","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
https://assets.tripplite.com/product-pdfs/en/b1501a1hdmi.pdf,-,TL2021-ND,B150-1A1-HDMI,Tripp Lite,EXTENDER KIT FOR CAT5/CAT6,13,0,"109.89000","0","1","-","Active","Extender Kit, DisplayPort to HDMI","Receiver/Transmitter","Cat5/Cat6"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00143.pdf,"//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_TT822OUT,TTHSTOUTSM,TT822OUTSM,TTDTHOUTSM.jpg",1436-1685-ND,TTDTHOUTSM,HellermannTyton,Black Thermal Transfer Ribbon,6,0,"145.63000","0","1","-","Active","Thermal Transfer Ribbon","4.33"" x 295', 0.50"" Core, Black, DTH Resin","Thermal Transfer Printer"
