Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
https://docs.broadcom.com/docs/12352133,//media.digikey.com/photos/Broadcom/05-25444-00.jpg,516-3434-ND,05-25444-00,Broadcom Limited,MEGARAID CACHEVAULT ACCESSORY,78,0,"200.74000","0","1","-","Active","-","PCI Express","4"
https://docs.broadcom.com/docs/12352133,-,516-3432-ND,05-25420-10,Broadcom Limited,MR SAS 9361 4I SINGLE KIT 1GB,34,0,"473.35000","0","1","-","Active","SAS/SATA","PCI Express","4"
//media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/BCM5720-2P.pdf,//media.digikey.com/Photos/Broadcom/BCM95720A2003AC.jpg,1704-1045-ND,BCM95720A2003AC,Broadcom Limited,NETXTREME 5720 DUAL-PORT ETHERNE,26,0,"119.31000","0","1","-","Active","10/100/1000 Ethernet (LAN)","PCI","2"
-,//media.digikey.com/Photos/Broadcom/05-25420-08.JPG,516-3431-ND,05-25420-08,Broadcom Limited,MR SAS 9361 8I SINGLE KIT 1GB,39,0,"647.12000","0","1","-","Active","SAS/SATA","PCI Express","8"
https://docs.broadcom.com/docs/12352000,-,516-3487-ND,H5-25473-00,Broadcom Limited,SAS9300-4I SINGLE PACK,101,0,"227.25000","0","1","-","Active","SAS/SATA","PCI Express","4"
https://docs.broadcom.com/docs/12352000,//media.digikey.com/Photos/Broadcom/H5-25460-00.jpg,516-3486-ND,H5-25460-00,Broadcom Limited,SAS9300-8E SINGLE PACK,18,0,"424.20000","0","1","-","Active","SAS/SATA","PCI Express","8"
https://assets.tripplite.com/product-pdfs/en/pcid902.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_PCI-D9-02.jpg,TL1051-ND,PCI-D9-02,Tripp Lite,2-PORT DB9 (RS-232) SERIAL PCI E,48,0,"25.33000","0","1","-","Active","RS-232","PCI","2"
https://assets.tripplite.com/product-pdfs/en/pce1g01.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_PCE-1G-01.jpg,TL1048-ND,PCE-1G-01,Tripp Lite,1-PORT GIGABIT ETHERNET (GBE) PC,7,0,"25.33000","0","1","-","Active","10/100/1000 Ethernet (LAN)","PCI Express","1"
https://assets.tripplite.com/product-pdfs/en/pced904cbl.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_PCE-D9-04-CBL.jpg,TL1050-ND,PCE-D9-04-CBL,Tripp Lite,4-PORT DB9 (RS-232) SERIAL PCI E,11,0,"76.28000","0","1","-","Active","RS-232","PCI Express","4"
https://docs.broadcom.com/docs/12352000,//media.digikey.com/photos/Broadcom/H5-25573-00.jpg,516-3490-ND,H5-25573-00,Broadcom Limited,SAS9300-8I SINGLE PACK,13,0,"315.12000","0","1","-","Active","SAS/SATA","PCI Express","8"
https://docs.broadcom.com/docs/12356149,//media.digikey.com/Photos/Broadcom/OCE14102-NT.jpg,516-3560-ND,OCE14102-NT,Broadcom Limited,OCE14102-NT 10GBIT/S ETHERNET AD,21,0,"357.54000","0","1","-","Active","10G Ethernet (LAN)","PCI Express","2"
https://docs.broadcom.com/docs/BC00-0392EN,-,516-3437-ND,05-25703-00,Broadcom Limited,SAS9305-16I SINGLE KIT NA A 00 L,5,0,"472.68000","0","1","-","Active","SAS/SATA","PCI Express","16"
https://docs.broadcom.com/docs/12356151,//media.digikey.com/Photos/Broadcom/LPE16000B-M6.jpg,516-3553-ND,LPE16000B-M6,Broadcom Limited,LPE16000B-M6 16GBIT/S FC PCIE 1P,4,0,"993.84000","0","1","LPe16000B","Active","16GFC","PCI Express","1"
https://assets.tripplite.com/product-pdfs/en/pce1g01lp.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_PCE-1G-01-LP.jpg,TL1049-ND,PCE-1G-01-LP,Tripp Lite,1-PORT GIGABIT ETHERNET (GBE) PC,9,0,"25.33000","0","1","-","Active","10/100/1000 Ethernet (LAN)","PCI Express","1"
https://assets.tripplite.com/product-pdfs/en/pcid902lp.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_PCI-D9-02-LP.jpg,TL1052-ND,PCI-D9-02-LP,Tripp Lite,2-PORT DB9 (RS-232) SERIAL PCI,15,0,"29.41000","0","1","-","Active","RS-232","PCI","2"
https://docs.broadcom.com/docs/12352265,-,516-3489-ND,H5-25520-00,Broadcom Limited,SAS9300-16E SINGLE PACK,10,0,"727.20000","0","1","-","Active","SAS/SATA","PCI Express","16"
