Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Card Type","Style"
http://www.keyelco.com/product-pdf.cfm?p=2468,//media.digikey.com/Photos/Keystone%20Elect%20Photos/9203.jpg,36-9203-ND,9203,Keystone Electronics,BRACKET COMPUTER PCI,2596,5891,"2.81000","0","1","-","Active","PCI","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2475,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9231.jpg,36-9231-ND,9231,Keystone Electronics,COMPUTER BRACKET STD BLANK,6106,2038,"2.41000","0","1","-","Active","EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2465,//media.digikey.com/Photos/Keystone%20Elect%20Photos/9200.jpg,36-9200-ND,9200,Keystone Electronics,BRACKET COMPUTER EISA/ISA OR PCI,29466,0,"2.48000","0","1","-","Active","PCI, EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2466,//media.digikey.com/Photos/Keystone%20Elect%20Photos/9201.jpg,36-9201-ND,9201,Keystone Electronics,BRACKET COMPUTER W/RIB EISA/ISA,542,5070,"2.48000","0","1","-","Active","PCI, EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2490,//media.digikey.com/Photos/Keystone%20Elect%20Photos/9200-15.jpg,36-9200-15-ND,9200-15,Keystone Electronics,PC CARD COMPUTER BRACKETS,452,889,"2.48000","0","1","-","Active","EISA, ISA","D-Sub - DB-9 (2-Ports)"
http://www.keyelco.com/product-pdf.cfm?p=2483,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-4.jpg,36-9200-4-ND,9200-4,Keystone Electronics,BRACKET COMPUTER EISA/ISA 25POS,326,689,"2.48000","0","1","-","Active","EISA, ISA","D-Sub - DB-25"
http://www.keyelco.com/product-pdf.cfm?p=2484,//media.digikey.com/Photos/Keystone%20Elect%20Photos/9200-5.jpg,36-9200-5-ND,9200-5,Keystone Electronics,BRACKET COMPUTER,138,360,"2.48000","0","1","-","Active","EISA, ISA","D-Sub - DB-37"
http://www.keyelco.com/product-pdf.cfm?p=2480,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-19.jpg,36-9200-19-ND,9200-19,Keystone Electronics,BRACKET COMPUTER,92,2575,"2.48000","0","1","-","Active","EISA, ISA","-"
http://www.keyelco.com/product-pdf.cfm?p=2481,//media.digikey.com/photos/Keystone%20Elect%20Photos/9200-2.JPG,36-9200-2-ND,9200-2,Keystone Electronics,BRACKET COMPUTER PCI 9POS,87,262,"2.48000","0","1","-","Active","PCI","D-Sub - DB-9"
http://www.keyelco.com/product-pdf.cfm?p=2467,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9202.jpg,36-9202-ND,9202,Keystone Electronics,COMPUTER BRACKET,120,0,"2.81000","0","1","-","Active","EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2474,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9230.jpg,36-9230-ND,9230,Keystone Electronics,COMPUTER BRACKET STD BLANK,305,4856,"2.41000","0","1","-","Active","EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2495,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-9.jpg,36-9200-9-ND,9200-9,Keystone Electronics,BRACKET PC SCSI2/3/4 PCI 68POS,566,330,"2.48000","0","1","-","Active","SCSI","SCSI 2, 3, and 4 - SCSI-68"
http://www.keyelco.com/product-pdf.cfm?p=2482,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-3.jpg,36-9200-3-ND,9200-3,Keystone Electronics,BRACKET COMPUTER EISA/ISA 15POS,299,379,"2.48000","0","1","-","Active","EISA, ISA","D-Sub - DB-15"
http://www.keyelco.com/product-pdf.cfm?p=2476,//media.digikey.com/photos/Keystone%20Elect%20Photos/9200-1.JPG,36-9200-1-ND,9200-1,Keystone Electronics,BRACKET COMPUTER EISA/ISA 9POS,217,0,"2.48000","0","1","-","Active","EISA, ISA","D-Sub - DB-9"
http://www.keyelco.com/product-pdf.cfm?p=2491,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-17.jpg,36-9200-17-ND,9200-17,Keystone Electronics,BRACKET COMPUTER EISA/ISA D-SUB,186,668,"2.48000","0","1","-","Active","EISA, ISA","D-Sub - DB-25, DB-9"
http://www.keyelco.com/product-pdf.cfm?p=2487,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-10.jpg,36-9200-10-ND,9200-10,Keystone Electronics,BRACKET COMPUTER USB PCI,159,0,"2.48000","0","1","-","Active","PCI, EISA, ISA","USB"
-,-,FBK-3044-00-ND,FBK-3044-00,Terasic Inc.,PCA3 HALF-HEIGHT PCIE BRACKET,2,0,"5.00000","0","1","-","Active","PCI","-"
http://www.keyelco.com/product-pdf.cfm?p=2486,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9231-1.jpg,36-9231-1-ND,9231-1,Keystone Electronics,BRACKET COMPUTER 35/37/50POS,0,823,"2.35000","0","100","-","Active","EISA, ISA","-"
http://www.keyelco.com/product-pdf.cfm?p=2492,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-6.jpg,36-9200-6-ND,9200-6,Keystone Electronics,BRACKET COMPUTER SCSI1 PCI 50POS,0,457,"2.42000","0","100","-","Active","SCSI","SCSI 1 - SCSI-50"
http://www.keyelco.com/product-pdf.cfm?p=2493,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-7.jpg,36-9200-7-ND,9200-7,Keystone Electronics,BRACKET COMPUTER SCSI1 PCI 68POS,0,119,"2.42000","0","100","-","Active","SCSI","SCSI 1 - SCSI-68"
