Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Resolution"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_402990004_A.jpg,402990004-ND,402990004,"Seeed Technology Co., Ltd",300K PIXEL USB 2.0 MINI WEBCAM,0,0,"9.07750","0","4","-","Active","Webcam","640 x 480"
//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/IN3003CAM2%20User%20Guide.pdf,//media.digikey.com/photos/Tripplite%20Photos/IN3003CAM2.JPG,IN3003CAM2-ND,IN3003CAM2,Tripp Lite,CAMERA USB W/MIC CLIP-ON,0,0,"Obsolete","0","1","-","Obsolete","Webcam","307.2 k Pixels"
https://assets.tripplite.com/product-pdfs/en/in3002cam1.pdf,-,IN3002CAM1-ND,IN3002CAM1,Tripp Lite,CAMERA USB MINI CLIP-ON,0,0,"Obsolete","0","1","-","Obsolete","Webcam","307.2 k Pixels"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Digitus%20Product.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DA-70814.jpg,DA-70814-ND,DA-70814,Assmann WSW Components,WEBCAM USB 1.1 W/MICROPHONE,0,0,"Discontinued at Digi-Key","0","128","Digitus®","Discontinued at Digi-Key","Webcam","480 k Pixels"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Digitus%20Product.pdf,//media.digikey.com/photos/Assmann%20Photos/DA-70812.jpg,DA-70812-ND,DA-70812,Assmann WSW Components,WEBCAM USB 1.1 W/O MICROPHONE,0,0,"Discontinued at Digi-Key","0","128","Digitus®","Discontinued at Digi-Key","Webcam","480 k Pixels"
//media.digikey.com/PDF/Data%20Sheets/3M%20PDFs/MPro150.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_XR-0062-3684-2.jpg,XR-0062-3684-2-ND,XR-0062-3684-2,3M,POCKET PROJECTOR MPRO150,0,0,"Obsolete","0","1","MPro150","Obsolete","Projector","-"
//media.digikey.com/PDF/Data%20Sheets/3M%20PDFs/MP160.pdf,-,HK-4000-0066-5-ND,HK-4000-0066-5,3M,POCKET PROJECTOR MPRO160,0,0,"Obsolete","0","1","MPro160","Obsolete","Projector","800 x 600"
//media.digikey.com/PDF/Data%20Sheets/3M%20PDFs/MP180.pdf,//media.digikey.com/Photos/3M%20Photos/HK-4000-0067-3.JPG,HK-4000-0067-3-ND,HK-4000-0067-3,3M,POCKET PROJECTOR MPRO180,0,0,"Obsolete","0","1","MPro180","Obsolete","Projector","800 x 600"
http://multimedia.3m.com/mws/media/687393O/3mtm-camcorder-projector-shoot-n-share-cp40-spec-sheet.pdf,-,78-6972-0036-4-ND,78-6972-0036-4,3M,CAMCORD PROJ SHOOT'N SHARE CP40,0,0,"Obsolete","0","4","Shoot 'n Share CP40","Obsolete","Projector","640 x 480"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/30025_Web.pdf,-,30025-ND,30025,Parallax Inc.,INTOVA SPORT HD CAMERA,0,0,"Obsolete","0","1","-","Obsolete","Camera","1920 x 1080"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-11957_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/SEN-11957.JPG,1568-1334-ND,SEN-11957,SparkFun Electronics,WEBCAM - USB,0,0,"Obsolete","0","1","-","Obsolete","Camera","1024 x 768"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-13873_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/SEN-13873.JPG,1568-1397-ND,SEN-13873,SparkFun Electronics,WEBCAM USB,0,0,"Obsolete","0","1","-","Obsolete","Webcam","640 x 480"
-,-,P9511-ND,GP-CX161CSP,Panasonic - DTG,CCD CAMERA COLOR CS MNT NO LENS,0,0,"Obsolete","0","25","-","Obsolete","Camera","115.5 k Pixels"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/GP-KX121%20Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/GP-KX121^45P.jpg,P9519-ND,GP-KX121/45P,Panasonic - DTG,CAMERA CCD COLOR MODULE 45 DEG,0,0,"Obsolete","0","50","-","Obsolete","Camera","115.5 k Pixels"
-,-,P9520-ND,GP-KR661US,Panasonic - DTG,CMOS CAMERA COLOR USB W/SOFTWARE,0,0,"Obsolete","0","10","-","Obsolete","Camera","35 M Pixels"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990128_B.jpg,114990128-ND,114990128,"Seeed Technology Co., Ltd",USB INFRARED CAMERA,0,0,"Obsolete","0","4","-","Obsolete","Webcam","-"
