Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface"
//media.digikey.com/pdf/Data%20Sheets/Storm%20Interface%20PDFs/2200_Series.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/2200-000203.jpg,MGR1607-ND,2200-000203,Storm Interface,TRACKBALL ROBUST PHENOLIC BALL,59,0,"107.08000","0","1","2200","Active","Trackball, Panel Mount","USB, PS/2"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-USB.pdf,"//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_54-97444,%2054-00002.jpg",1027-1012-ND,54-00002,Interlink Electronics,MICROMODULE USB - BLACK BUTTON,66,0,"174.24000","0","1","-","Active","Finger Disk Mouse, Module","USB, PS/2"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_DuraPoint.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_54-65591.jpg,1027-1019-ND,54-65591,Interlink Electronics,"DURAPOINT SA, VP2000 MSOFT COMP",25,0,"445.01000","0","1","-","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/M-5400_Series.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/M-5450.jpg,CH903-ND,M-5450,Cherry Americas LLC,MOUSE OPTICAL USB PS/2 BLK,440,0,"18.50000","0","1","M-5400","Active","Mouse","USB, PS/2"
-,-,P2001F20R00-ND,P2001F20R00,APEM Inc.,PANEL MOUNT TRACKBALL BLACK,241,0,"139.37000","0","1","P","Obsolete","Trackball, Panel Mount","-"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/DT2253X20V00.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/DT2253X20VOO.jpg,679-2294-ND,DT2253X20V00,APEM Inc.,TRACKBALL DESKTOP PS/2 GRAY,57,0,"251.83000","0","1","DT225","Obsolete","Trackball, Desktop","PS/2"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-PS2.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_54-00056.jpg,1027-1023-ND,54-00056,Interlink Electronics,"ASSY, MICROMODULE PS2, WITH MINI",8,0,"136.13000","0","1","-","Active","Joystick Mouse, Module","USB, PS/2"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-USB.pdf,"//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_54-97444,%2054-00002.jpg",1027-1017-ND,54-97444,Interlink Electronics,MICROMODULE PCB,15,0,"174.24000","0","1","-","Active","-","-"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_DuraPoint.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_54-53266.jpg,1027-1020-ND,54-53266,Interlink Electronics,"DURAPOINT, SF, VP2500 MSOFT COMP",5,0,"365.26000","0","1","-","Active","-","-"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_DuraPoint.pdf,//media.digikey.com/photos/Interlink%20Electronics%20Photos/54-23698.jpg,1027-1021-ND,54-23698,Interlink Electronics,"DURAPOINT, NF, VP2501 MSOFT COMP",10,0,"387.20000","0","1","-","Active","-","-"
https://www.cherry.de/PDF/US_GENTIX_Corded_Optical_Illuminated_Mouse.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/JM0300.jpg,CH969-ND,JM-0300,Cherry Americas LLC,MOUSE OPTICAL USB ILLUM BLUE,68,0,"20.35000","0","1","Gentix","Active","Mouse","USB"
//media.digikey.com/pdf/Data%20Sheets/Storm%20Interface%20PDFs/2200_Series.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/2200-000303.jpg,MGR1608-ND,2200-000303,Storm Interface,TRACKBALL VANDAL-RES STEEL BALL,5,0,"143.19000","0","1","2200","Active","Trackball, Panel Mount","USB, PS/2"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_DuraPoint.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_54-99125.jpg,1027-1022-ND,54-99125,Interlink Electronics,"DURAPOINT, MF, VP2502 MSOFT COMP",5,0,"392.37000","0","1","-","Active","-","-"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/LP1007EXXH00.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/LP1007EXXH00.jpg,679-2291-ND,LP1007EXXH00,APEM Inc.,TRACKBALL 1"" USB BLK,15,0,"216.93000","0","1","LP","Obsolete","Trackball, Panel Mount","USB"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/DT2257X20V00-BLK.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/DT2257X20V00-Blk.jpg,679-2295-ND,DT2257X20V00BLK,APEM Inc.,TRACKBALL DESKTOP USB-BLACK,8,0,"284.20000","0","1","DT225","Obsolete","Trackball, Desktop","USB"
-,//media.digikey.com/Photos/Cherry%20Switch%20Photos/MFG_JW-4500.jpg,1644-1001-ND,JW-4500,Cherry Americas LLC,ERGONOMIC WIRELESS MOUSE,0,0,"31.45000","0","1","-","Active","Mouse","USB (Wireless)"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-PS2.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/14-48864.jpg,1027-1036-ND,14-48864,Interlink Electronics,MINI JOYSTICK PAD,7,0,"16.17000","0","1","-","Active","Joystick Mouse, Module","USB, PS/2"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-PS2.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/54-00045-primary.jpg,1027-1037-ND,24-86695,Interlink Electronics,BLACK BUTTON MOUSE KEYPAD,7,0,"16.17000","0","1","-","Active","Finger Disk Mouse, Module","USB, PS/2"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/M-5400_Series.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/M-5400.jpg,CH902-ND,M-5400,Cherry Americas LLC,MOUSE OPTICAL USB PS/2 GRY,10,0,"18.50000","0","1","M-5400","Active","Mouse","USB, PS/2"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-MOUSERED-ND,RPI-MOUSE RED,Raspberry Pi,RASPBERRY PI MOUSE RED,8,0,"8.75000","0","1","-","Active","Mouse","USB"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-MOUSEBLK-ND,RPI-MOUSE BLK,Raspberry Pi,RASPBERRY PI MOUSE BLACK,3,0,"8.75000","0","1","-","Active","Mouse","USB"
-,-,96MS-OP2-USB-LT2-ND,96MS-OP2-USB-LT2,Advantech Corp,MOUSE OPT USB LOGITECH M100,0,0,"13.52000","0","1","-","Active","-","-"
-,-,1644-JW-8000-ND,JW-8000,Cherry Americas LLC,CHERRY MW 8 ADVANCED,0,0,"59.50000","0","1","*","Active","-","-"
-,-,R2007F20V00-ND,R2007F20V00,APEM Inc.,TRACKBALL 1.5"" USB NON-ILLUM,0,0,"268.11000","0","1","R200","Active","Trackball, Panel Mount","USB"
-,-,R2007F20V00B-ND,R2007F20V00B,APEM Inc.,TRACKBALL 1.5"" USB ILLUM BLUE,0,0,"295.76000","0","1","R200","Active","Trackball, Panel Mount","USB"
https://cherry.de/PDF/US_CHERRY_MC_1000.pdf,-,JM-0800-0-ND,JM-0800-0,Cherry Americas LLC,MOUSE CORDED USB 3 BUTTON LGT GR,0,0,"8.00000","0","10","-","Active","Mouse","USB"
https://cherry.de/PDF/US_CHERRY_MC_1000.pdf,-,JM-0800-2-ND,JM-0800-2,Cherry Americas LLC,MOUSE CORDED USB 3 BUTTON BLACK,0,0,"8.00000","0","10","-","Active","Mouse","USB"
https://cherry.de/PDF/EN_CHERRY_MW_2110.pdf,-,JW-T0210-ND,JW-T0210,Cherry Americas LLC,MOUSE WIRELESS 3BUTTON BLACK,0,0,"22.50000","0","10","-","Active","Mouse","USB (Wireless)"
https://www.cherry.de/PDF/US_CHERRY_MW_3000.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/MFG_JW-T0100.jpg,JW-T0100-ND,JW-T0100,Cherry Americas LLC,MOUSE IR ERGO 5 BTTN RH WIRELESS,0,0,"25.50000","0","10","-","Active","Mouse","USB (Wireless)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/837_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_837.jpg,1528-1273-ND,837,Adafruit Industries LLC,TRACKPAD CAP MCU-FRIENDLY PS/2,0,0,"27.50000","0","1","-","Active","-","PS/2"
https://cherry.de/PDF/US_CHERRY_MW_2900.pdf,-,MW-2900-2-ND,MW-2900-2,Cherry Americas LLC,MOUSE NEMA4 3 BTTN WSHBL,0,0,"39.15000","0","10","-","Active","Mouse","USB"
-,-,IN3001RF-ND,IN3001RF,Tripp Lite,MOUSE WIRELESS 3-BUTTON OPTO,0,0,"Obsolete","0","1","-","Obsolete","Mouse","USB (Wireless)"
https://assets.tripplite.com/product-pdfs/en/in3000wi.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_IN3000WI.jpg,IN3000WI-ND,IN3000WI,Tripp Lite,MOUSE USB OPTICAL 31 INCH,0,0,"Obsolete","0","1","-","Obsolete","Mouse","USB"
-,//media.digikey.com/photos/Parallax%20Photos/MFG_32350.jpg,32350-ND,32350,Parallax Inc.,MOUSE OPTICAL PARALLAX PS/2,0,0,"Obsolete","0","1","-","Obsolete","Mouse","PS/2"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/LP1003EXXH00.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/LP1003EXXH00.jpg,679-2290-ND,LP1003EXXH00,APEM Inc.,TRACKBALL 1"" LP100 SERIAL,0,0,"Obsolete","0","1","LP","Obsolete","Trackball, Panel Mount","PS/2"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/LP1007EXXH00-R.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/LP1007EXXH00-R.jpg,679-2292-ND,LP1007EXXH00R,APEM Inc.,TRACKBALL 1"" USB W/RED BACKLIT,0,0,"Obsolete","0","1","LP","Obsolete","Trackball, Panel Mount","USB"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/LP1003EXXH00-B.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/LP1003EXXH00-B.jpg,679-2293-ND,LP1003EXXH00B,APEM Inc.,TRACKBALL 1"" PS/2 W/BLUE BACKLIT,0,0,"Obsolete","0","1","LP","Obsolete","Trackball, Panel Mount","PS/2"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/R1507F20V00-B.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/R1507F20V00-B.jpg,679-2296-ND,R1507F20V00B,APEM Inc.,TRACKBALL 1.5"" USB ILLUM BLUE,0,0,"Obsolete","0","1","R","Obsolete","Trackball, Panel Mount","USB"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/R1507F20V00.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/R1507F20V00.jpg,679-2297-ND,R1507F20V00,APEM Inc.,TRACKBALL 1.5"" USB NON-ILLUM,0,0,"Obsolete","0","1","R","Obsolete","Trackball, Panel Mount","USB"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/LP150.pdf,-,LP1505F20V00-ND,LP1505F20V00,APEM Inc.,LOW PROFILE TRACKBALL,0,0,"Obsolete","0","1","LP150","Obsolete","Trackball, Panel Mount","USB, PS/2"
//media.digikey.com/pdf/Data%20Sheets/Schurter%20PDFs/1041Series.pdf,-,1041.5000.500-ND,1041.5000.500,Schurter Inc.,TRACKBALL UNIT PS2,0,0,"Obsolete","0","1","-","Obsolete","Trackball, Panel Mount","PS/2"
//media.digikey.com/pdf/Data%20Sheets/Schurter%20PDFs/1041Series.pdf,-,1041.5000.501-ND,1041.5000.501,Schurter Inc.,TRACKBALL UNIT USB,0,0,"Obsolete","0","1","-","Obsolete","Trackball, Panel Mount","USB"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/MW-2800.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/MW28002.JPG,CH962-ND,MW28002,Cherry Americas LLC,MOUSE WASHABLE OPTICAL USB BLACK,0,0,"Obsolete","0","10","MW-2800","Obsolete","Mouse","USB"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/MW-2800.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/MW28005.JPG,CH963-ND,MW28005,Cherry Americas LLC,MOUSE WASHABLE OPTICAL USB BLUE,0,0,"Obsolete","0","10","MW-2800","Obsolete","Mouse","USB"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/M-305.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/M-305.jpg,CH965-ND,M-305,Cherry Americas LLC,MOUSE OPTICAL AZURO WIRELESS,0,0,"Obsolete","0","10","AZURO","Obsolete","Mouse","USB (Wireless)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/M-300R.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/M-300R.jpg,CH966-ND,M-300R,Cherry Americas LLC,MOUSE LASER LIFE NANO WIRELESS,0,0,"Obsolete","0","10","LIFE NANO","Obsolete","Mouse","USB (Wireless)"
"//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/M-T3000-W,M-T3030-W.pdf",-,MT3000W-ND,MT3000W,Cherry Americas LLC,MOUSE BLACK WIRELESS TRAVELER,0,0,"Obsolete","0","10","-","Obsolete","Mouse","USB (Wireless)"
"//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/M-T3000-W,M-T3030-W.pdf",-,MT3030W-ND,MT3030W,Cherry Americas LLC,MOUSE WHITE WIRELESS TRAVELER,0,0,"Obsolete","0","10","-","Obsolete","Mouse","USB (Wireless)"
https://cherry.de/PDF/US_CHERRY_MW_2900.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/MFG_MW29002.jpg,MW29002-ND,MW29002,Cherry Americas LLC,MOUSE WASHABLE OPTICAL USB BLACK,0,0,"Obsolete","0","10","-","Obsolete","Mouse","USB"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/JW-T0200.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/MFG_JW-T0200.jpg,JW-T0200-ND,JW-T0200,Cherry Americas LLC,MOUSE IR 3 BTTN RH/LH WIRELESS,0,0,"Obsolete","0","10","-","Obsolete","Mouse","USB (Wireless)"
