Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Keys","Interface","Features","Color","Size / Dimension"
-,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_1200-35202.jpg,MGR1705-ND,1200-352023,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,26,0,"250.71000","0","1","1200","Active","Keyboard","53","PS/2, USB","Vandal Resistant, Sealed, IP65","Silver","6.900"" L x 3.300"" W x 0.800"" H (175.00mm x 85.00mm x 21.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1738_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1738.jpg,1528-1202-ND,1738,Adafruit Industries LLC,KEYBOARD&MOUSE WIRELESS BATT USB,294,0,"19.95000","0","1","-","Active","Keyboard and Mouse (Wireless)","78","USB","-","Black","11.180"" L x 4.720"" W x 0.750"" H (284.00mm x 120.00mm x 19.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/G84-4100.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/G844100LCAUS0.JPG,CH911-ND,G84-4100LCAUS-0,Cherry Americas LLC,KEYBOARD NOTEBOOK 83KEY USB GRY,131,0,"103.70000","0","1","G84-4100","Active","Keyboard","83","PS/2, USB","-","Gray","11.000"" L x 5.200"" W x 1.060"" H (282.00mm x 132.00mm x 27.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/G84-4100.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/g844100lcmus2.JPG,CH929-ND,G84-4100LCMUS-2,Cherry Americas LLC,KEYBOARD NOTEBOOK 86KEY PS/2 BLK,32,0,"103.70000","0","1","G84-4100","Active","Keyboard","86","PS/2, USB","-","Black","11.000"" L x 5.200"" W x 1.060"" H (282.00mm x 132.00mm x 27.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/6240_Series.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/g8662401euadaa.JPG,CH918-ND,G8662401EUADAA,Cherry Americas LLC,KEYBOARD 106 KEY USB BLK,38,0,"161.50000","0","1","6240","Active","Keyboard","106","USB","Touchpad, Sealed, IP54","Black","14.170"" L x 7.800"" W x 1.500"" H (360.00mm x 198.00mm x 38.00mm)"
https://www.cherry.de/PDF/US_TouchBoard_G80-11900.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/G80-11900LTMUS-0.jpg,CH888-ND,G80-11900LTMUS-0,Cherry Americas LLC,KEYBOARD COMPACT 104KY PS2 LTGRY,37,0,"184.50000","0","1","G80-11900","Active","Keyboard","104","PS/2","Touchpad","Gray","16.300"" L x 7.600"" W x 1.450"" H (414.00mm x 193.00mm x 36.80mm)"
https://www.cherry.de/PDF/US_Compact-Keyboard_G84-4420.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/g844420lpbeu0.JPG,CH913-ND,G84-4420LPBEU-0,Cherry Americas LLC,KEYBOARD NOTEBOOK 83KEY 2XPS/2 G,104,0,"201.00000","0","1","G84-4420","Active","Keyboard","83","PS/2","Trackball","Gray","14.570"" L x 5.470"" W x 0.770"" H (370.00mm x 139.00mm x 19.60mm)"
https://www.cherry.de/PDF/US_Compact-Keyboard_G84-4420.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/g844420lubeu2.JPG,CH930-ND,G84-4420LUBEU-2,Cherry Americas LLC,KEYBOARD NOTEBOOK 83KEY USB BLK,64,0,"201.00000","0","1","G84-4420","Active","Keyboard","83","USB","Trackball","Black","14.570"" L x 5.470"" W x 0.770"" H (370.00mm x 139.00mm x 19.60mm)"
https://www.cherry.de/PDF/US_Compact-Keyboard_G84-4420.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/G844420LPBEU2.JPG,CH914-ND,G84-4420LPBEU-2,Cherry Americas LLC,KEYBOARD NOTEBOOK 83KEY 2XPS/2 B,28,0,"201.00000","0","1","G84-4420","Active","Keyboard","83","PS/2","Trackball","Black","14.570"" L x 5.470"" W x 0.770"" H (370.00mm x 139.00mm x 19.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/J84-2120_Series.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/J842120LUBUS2.jpg,CH985-ND,J842120LUBUS2,Cherry Americas LLC,KEYBOARD WASHABLE 83KEY USB BLK,134,0,"270.00000","0","1","J84-2120","Active","Keyboard","83","USB","Sealed, NEMA-4","Black","11.400"" L x 6.400"" W x 1.900"" H (290.00mm x 162.00mm x 48.00mm)"
https://cherry.de/PDF/US_Keypad_G84-4700.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/G844700LUCUS2.jpg,CH981-ND,G84-4700LUCUS-2,Cherry Americas LLC,KEYPAD 21 KEYS BLACK 4"",89,0,"81.00000","0","1","G84-4700","Active","Number Pad","21","USB","Programmable","Black","3.540"" L x 5.200"" W x 1.420"" H (90.00mm x 132.00mm x 36.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/6240_Series.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/G8662401EUAEAA.JPG,CH919-ND,G8662401EUAEAA,Cherry Americas LLC,KEYBOARD 106 KEY USB GRY,31,0,"142.50000","0","1","6240","Active","Keyboard","106","USB","Touchpad, Sealed, IP54","Gray","14.170"" L x 7.800"" W x 1.500"" H (360.00mm x 198.00mm x 38.00mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1502987110.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_2210-55202.jpg,MGR1698-ND,2210-552023,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,7,0,"272.86000","0","1","2210","Active","Keyboard","61","USB","Vandal Resistant, Sealed, IP65","Black with White Keys","11.400"" L x 4.700"" W x 1.500"" H (289.50mm x 118.50mm x 38.50mm)"
