Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Card Type","Interface"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-13004_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-13004_A.jpg,1568-1414-ND,COM-13004,SparkFun Electronics,MICROSD USB READER,298,0,"4.95000","0","1","-","Active","Micro SD/SDHC","USB"
http://www.assmann-wsw.com/fileadmin/datasheets/DA-70310-2.pdf,//media.digikey.com/Photos/Assmann%20Photos/DA-70310-2.JPG,AE10713-ND,DA-70310-2,Assmann WSW Components,CARD READER USB 2.0,170,0,"11.83000","0","1","Digitus®","Active","HS MS, MS, MS Duo, MS Pro, MS Pro Duo, Micro SD, Mini SD, MMC, RS-MMC, SD","USB"
https://assets.tripplite.com/product-pdfs/en/u35206nsd.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U352-06N-SD.JPG,TL1390-ND,U352-06N-SD,Tripp Lite,USB 3.0 SUPERSPEED SD/MICRO SD M,104,0,"16.83000","0","1","-","Active","Micro SD, MMC, RS-MMC, SK, SD/SDHC","USB"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/939_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_939.JPG,1528-2582-ND,939,Adafruit Industries LLC,USB MICROSD CARD READER/WRITER -,103,0,"5.95000","0","1","-","Active","Micro SD/SDHC","USB"
https://assets.tripplite.com/product-pdfs/en/u352000sd.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U352-000-SD.jpg,TL2310-ND,U352-000-SD,Tripp Lite,USB 3.0 SUPERSPEED SD / MICRO SD,55,0,"12.67000","0","1","-","Active","Micro SD, MMC, RS-MMC, SK, SD/SDHC","USB"
https://assets.tripplite.com/product-pdfs/en/u352000sdr.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U352-000-SD-R.jpg,TL1229-ND,U352-000-SD-R,Tripp Lite,USB 3.0 SDXC CARD READ,28,0,"15.84000","0","1","-","Active","Micro SD, MMC, RS-MMC, SK, SD/SDHC","USB"
https://assets.tripplite.com/product-pdfs/en/u352000mdal.pdf,-,TL2309-ND,U352-000-MD-AL,Tripp Lite,SUPERSPEED MULTI-DRIVE MEMORY CA,31,0,"30.92000","0","1","-","Active","CF, MS, SD, Micro SD/M2","USB"
https://assets.tripplite.com/product-pdfs/en/u352000md.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U352-000-MD.jpg,TL825-ND,U352-000-MD,Tripp Lite,USB 3.0 MULTI-DRIVE SD CF MS,80,0,"39.24000","0","1","-","Active","CF, MS, SD, Micro SD/M2","USB"
https://assets.tripplite.com/product-pdfs/en/u452000sda.pdf,-,TL1951-ND,U452-000-SD-A,Tripp Lite,"USB-C MEMORY CARD READER, 2-IN-1",60,0,"23.13000","0","1","-","Active","Micro SD, SD","USB"
https://assets.tripplite.com/product-pdfs/en/u452003.pdf,-,U452-003-ND,U452-003,Tripp Lite,MULTI DRIVE FLASH MEMORY MEDIA,0,0,"34.75000","0","1","-","Active","CF, MS, SD, Micro SD/M2","USB"
http://www.services.assmann.com/download/adm/support-manual-en/220619.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DA-70316.jpg,DA-70316-1-ND,DA-70316-1,Assmann WSW Components,CARD READER 56 IN 1 USB 2.0,0,0,"Discontinued at Digi-Key","0","240","Digitus®","Discontinued at Digi-Key","CF, MS, SM, SD/SDHC, Micro SD","USB"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Da-70310.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DA-70310.jpg,AE10322-ND,DA-70310,Assmann WSW Components,CARD READER MULT USB 2.0 STICK,0,0,"Obsolete","0","20","Digitus®","Obsolete","MS, MS Duo, Micro SD, Mini SD, MMC, RS-MMC, SD","USB"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Digitus%20Product.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DA-70312.jpg,AE10323-ND,DA-70312,Assmann WSW Components,CARD READER 56IN1/USB 2.0 HUB,0,0,"Obsolete","0","10","Digitus®","Obsolete","CF, MS, SD, SM, XD","USB"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/DA-70310-1.pdf,//media.digikey.com/photos/Assmann%20Photos/DA-70310-1.JPG,AE10330-ND,DA-70310-1,Assmann WSW Components,CARD READER MULT USB 2.0 STICK,0,0,"Obsolete","0","60","Digitus®","Obsolete","MS, MS Duo, Micro SD, Mini SD, MMC, RS-MMC, SD","USB"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/DA-70318_Man.pdf,//media.digikey.com/Photos/Assmann%20Photos/MFG_DA-70318.jpg,AE10708-ND,DA-70318,Assmann WSW Components,CARD READER ALL IN ON USB 2.0,0,0,"Obsolete","0","240","Digitus®","Obsolete","CF, MS, SM, SD/SDHC, Micro SD","USB"
