Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Touchscreen","Interface","Dot Pixels","Diagonal Screen Size"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/104990363_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_104990363.jpg,1597-1576-ND,104990363,"Seeed Technology Co., Ltd",5 INCH CAPACITIVE TOUCH SCREEN &,29,0,"71.39000","0","1","-","Active","Capacitive","HDMI, USB","800 x 480 (WVGA)","5.00"" (127.00mm)"
http://wfcache.advantech.com/www/certified-peripherals/documents/96ledk-c070wv50na1_datasheet.pdf,-,96LEDK-C070WV50NA1-ND,96LEDK-C070WV50NA1,Advantech Corp,"7 WVGA, LVDS. 500 NITS, 140/120",0,0,"75.81000","0","1","-","Active","Non-Touch","LVDS","800 x 480","7.00"" (177.80mm)"
http://wfcache.advantech.com/www/certified-peripherals/documents/96ledk-a057qv80nx1_datasheet.pdf,-,96LEDK-A057QV80NX1-ND,96LEDK-A057QV80NX1,Advantech Corp,"5.7 QVGA, TTL, 800NITS, 160/140",0,0,"85.12000","0","1","-","Active","Non-Touch","CMOS","320 x 240","5.70"" (144.78mm)"
-,-,96LEDK-A057VG70NX2-ND,96LEDK-A057VG70NX2,Advantech Corp,"5.7 VGA, TTL, 700NITS, 160/140",0,0,"85.12000","0","1","-","Active","Non-Touch","CMOS","640 x 480","5.70"" (144.78mm)"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/96LEDK-A070WV35NB1_Web.pdf,-,96LEDK-A070WV35NB1-ND,96LEDK-A070WV35NB1,Advantech Corp,"7 WVGA, LVDS, 350NITS, 130/110",0,0,"86.45000","0","1","-","Active","Non-Touch","LVDS","800 x 480","7.00"" (177.80mm)"
http://wfcache.advantech.com/www/certified-peripherals/documents/96ledk-a070wv40nb1_datasheet.pdf,-,96LEDK-A070WV40NB1-ND,96LEDK-A070WV40NB1,Advantech Corp,"7 WVGA, LVDS, 400NITS, 160/160",0,0,"93.10000","0","1","-","Active","Non-Touch","LVDS","800 x 480","7.00"" (177.80mm)"
-,-,96LEDK-I057VG50NA2-ND,96LEDK-I057VG50NA2,Advantech Corp,"5.7 VGA, LVDS, 500 NITS, 160/140",0,0,"101.08000","0","1","-","Active","-","-","-","-"
-,-,96LEDK-I070WS50ND1-ND,96LEDK-I070WS50ND1,Advantech Corp,"7 WSVGA, LVDS. 500 NITS, 140/120",0,0,"102.41000","0","1","-","Active","Non-Touch","LVDS","1024 x 600","7.00"" (177.80mm)"
http://wfcache.advantech.com/www/certified-peripherals/documents/96lcdk-v150xg25nx1_datasheet.pdf,-,96LCDK-V150XG25NX1-ND,96LCDK-V150XG25NX1,Advantech Corp,"15 XGA, LVDS, 250NITS, 160/160",0,0,"111.72000","0","1","-","Active","Non-Touch","LVDS","1024 x 768","15.00"" (381.00mm)"
-,-,96LEDK-C156WX30NO1-ND,96LEDK-C156WX30NO1,Advantech Corp,"15.6 HD, LVDS, 300NITS, 160/160",1,0,"115.71000","0","1","-","Active","-","-","-","-"
http://wfcache.advantech.com/www/certified-peripherals/documents/96ledk-a065vg80na1_datasheet.pdf,-,96LEDK-A065VG80NA1-ND,96LEDK-A065VG80NA1,Advantech Corp,"6.5 VGA, LVDS, 800NITS, 160/140",0,0,"115.71000","0","1","-","Active","Non-Touch","LVDS","640 x 480","6.50"" (165.10mm)"
-,-,96LEDK-C150XG25NG1-ND,96LEDK-C150XG25NG1,Advantech Corp,"15 XGA, LVDS, 250NITS, 160/140",0,0,"115.71000","0","1","-","Active","-","-","-","-"
-,-,96LEDK-A101WX30NK1-ND,96LEDK-A101WX30NK1,Advantech Corp,"10.1 WXGA, LVDS 300 NITS, 170/17",0,0,"122.36000","0","1","-","Active","-","-","-","-"
http://wfcache.advantech.com/www/certified-peripherals/documents/96ledk-c104sv40nc1_datasheet.pdf,-,96LEDK-C104SV40NC1-ND,96LEDK-C104SV40NC1,Advantech Corp,"10.4 SVGA, LVDS, 400NITS, 160/14",0,0,"122.36000","0","1","-","Active","Non-Touch","LVDS","800 x 600","10.40"" (264.16mm)"
http://wfcache.advantech.com/www/certified-peripherals/documents/96lcdk-a150xg25nd2_datasheet.pdf,-,96LCDK-A150XG25ND2-ND,96LCDK-A150XG25ND2,Advantech Corp,"15 XGA, LVDS, 250NITS, 160/140",0,0,"131.67000","0","1","-","Active","Non-Touch","LVDS","1024 x 768","15.00"" (381.00mm)"
