Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Contact Type","Mounting Type","Maximum Working Height","Recommended Working Height","Minimum Working Height","Pad Layout Dimension","Operating Force - Initial","Operating Force - Mid Compression","Plunger Size","Features","Mating Cycles","Contact Material","Contact Finish","Contact Finish Thickness"
https://cdn.harwin.com/pdfs/S70-1XX.pdf,//media.digikey.com/Photos/Harwin/MFG_S70-138305045R.jpg,952-3140-2-ND,S70-138305045R,Harwin Inc.,CONTACT SMD GOLD,4000,0,"0.26400","0","2000","Tape & Reel (TR)","-","Active","Contact Pad","Surface Mount","-","-","-","Rectangular - 0.150"" L x 0.118"" W x 0.020"" H (3.80mm x 3.00mm x 0.50mm)","-","-","-","-","-","Beryllium Copper","Gold","Flash"
https://cdn.harwin.com/pdfs/S70-1XX.pdf,//media.digikey.com/Photos/Harwin/MFG_S70-138305045R.jpg,952-3140-1-ND,S70-138305045R,Harwin Inc.,CONTACT SMD GOLD,4426,0,"0.58000","0","1","Cut Tape (CT)","-","Active","Contact Pad","Surface Mount","-","-","-","Rectangular - 0.150"" L x 0.118"" W x 0.020"" H (3.80mm x 3.00mm x 0.50mm)","-","-","-","-","-","Beryllium Copper","Gold","Flash"
https://cdn.harwin.com/pdfs/S70-1XX.pdf,//media.digikey.com/Photos/Harwin/MFG_S70-138305045R.jpg,952-3140-6-ND,S70-138305045R,Harwin Inc.,CONTACT SMD GOLD,4426,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Contact Pad","Surface Mount","-","-","-","Rectangular - 0.150"" L x 0.118"" W x 0.020"" H (3.80mm x 3.00mm x 0.50mm)","-","-","-","-","-","Beryllium Copper","Gold","Flash"
https://www.mill-max.com/assets/pdfs/024.pdf,//media.digikey.com/Photos/Mill-Max%20Mfg%20Photos/MFG_0965-0-15-20-80-14-11-0.jpg,ED1649-ND,0965-0-15-20-80-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,128737,0,"0.43000","0","1","Bulk","0965","Active","Sleeve & Plunger","Surface Mount","0.100"" (2.54mm)","0.088"" (2.24mm)","0.076"" (1.93mm)","Circular - 0.072"" (1.83mm)","25gf","115gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/025.pdf,//media.digikey.com/Photos/Mill-Max%20Mfg%20Photos/0906-0-15-20-76-14-11-0.JPG,ED8180-ND,0906-0-15-20-76-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED T/H GOLD,401246,0,"0.44000","0","1","Bulk","0906","Active","Sleeve & Plunger","Through Hole","0.137"" (3.48mm)","0.118"" (3.00mm)","0.098"" (2.50mm)","Circular - 0.072"" (1.83mm) (TH)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/026.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0910-2-57-20-75-14-11-0.jpg,ED90454TR-ND,0910-1-57-20-75-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,34500,0,"0.44310","0","1500","Tape & Reel (TR)","0910","Active","Sleeve & Plunger","Surface Mount","0.177"" (4.50mm)","0.150"" (3.80mm)","0.122"" (3.10mm)","Circular - 0.072"" (1.83mm)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/026.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0910-2-57-20-75-14-11-0.jpg,ED90454CT-ND,0910-1-57-20-75-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,35542,0,"0.94000","0","1","Cut Tape (CT)","0910","Active","Sleeve & Plunger","Surface Mount","0.177"" (4.50mm)","0.150"" (3.80mm)","0.122"" (3.10mm)","Circular - 0.072"" (1.83mm)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/026.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0910-2-57-20-75-14-11-0.jpg,ED90454DKR-ND,0910-1-57-20-75-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,35542,0,"Digi-Reel","0","1","Digi-Reel®","0910","Active","Sleeve & Plunger","Surface Mount","0.177"" (4.50mm)","0.150"" (3.80mm)","0.122"" (3.10mm)","Circular - 0.072"" (1.83mm)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/023.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0900-1-00-00-00-00-11-0.jpg,ED9001-ND,0900-1-15-20-75-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,16209,0,"0.50000","0","1","Bulk","0900","Active","Sleeve & Plunger","Surface Mount","0.177"" (4.50mm)","0.150"" (3.80mm)","0.122"" (3.10mm)","Circular - 0.072"" (1.83mm)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/023.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0900-0-00-00-00-00-11-0.jpg,ED9000-ND,0900-0-15-20-76-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,14496,0,"0.51000","0","1","Bulk","0900","Active","Sleeve & Plunger","Surface Mount","0.137"" (3.48mm)","0.118"" (3.00mm)","0.098"" (2.50mm)","Circular - 0.072"" (1.83mm)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/023.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0900-3-00-00-00-00-11-0.jpg,ED9003-ND,0900-3-15-20-75-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED SMD GOLD,8398,0,"0.51000","0","1","Bulk","0900","Active","Sleeve & Plunger","Surface Mount","0.217"" (5.51mm)","0.189"" (4.81mm)","0.162"" (4.11mm)","Circular - 0.072"" (1.83mm)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
https://www.mill-max.com/assets/pdfs/025.pdf,//media.digikey.com/photos/Mill-Max%20Mfg%20Photos/0906-1-15-20-75-14-11-0.jpg,ED8181-ND,0906-1-15-20-75-14-11-0,Mill-Max Manufacturing Corp.,CONTACT SPRING LOADED T/H GOLD,47123,0,"0.55000","0","1","Bulk","0906","Active","Sleeve & Plunger","Through Hole","0.177"" (4.50mm)","0.150"" (3.80mm)","0.122"" (3.10mm)","Circular - 0.072"" (1.83mm) (TH)","25gf","60gf","0.042"" (1.07mm) Dia","-","1000000","Copper Alloy","Gold","20.0µin (0.51µm)"
