Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Mounting Type","Termination","Flange Feature","Type","Features","Contact Finish","Contact Finish Thickness"
http://multimedia.3m.com/mws/media/22348O/3mtm-mdr-050-bm-thru-hole-ra-receptacle-shielded-ts0621.pdf,//media.digikey.com/photos/3M%20Photos/10214-55G3PC.JPG,3M1811-ND,10214-55G3PC,3M,CONN RCPT 14POS R/A SOLDER,2874,0,"5.36000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","14","2","Panel Mount, Through Hole, Right Angle","Solder","Housing/Shell (M2.6)","-","Board Lock, Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22260O/3mtmmini-d-ribbonmdr-050-bm-thru-hole-vert-shield-ts0427.pdf,//media.digikey.com/photos/3M%20Photos/10214-6212PC.jpg,3M1812-ND,10214-6212PC,3M,CONN RCPT 14POS PCB SOLDER,1618,0,"6.02000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","14","2","Panel Mount, Through Hole","Solder","Housing/Shell (M2.6)","-","Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22260O/3mtmmini-d-ribbonmdr-050-bm-thru-hole-vert-shield-ts0427.pdf,//media.digikey.com/photos/3M%20Photos/10226-6212PC.jpg,3M1819-ND,10226-6212PC,3M,CONN RCPT 26POS PCB SOLDER,2483,0,"6.03000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","26","2","Panel Mount, Through Hole","Solder","Housing/Shell (M2.6)","-","Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22260O/3mtmmini-d-ribbonmdr-050-bm-thru-hole-vert-shield-ts0427.pdf,//media.digikey.com/photos/3M%20Photos/10220-6212PC.jpg,3M1816-ND,10220-6212PC,3M,CONN RCPT 20POS PCB SOLDER,1647,0,"6.08000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","20","2","Panel Mount, Through Hole","Solder","Housing/Shell (M2.6)","-","Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22260O/3mtmmini-d-ribbonmdr-050-bm-thru-hole-vert-shield-ts0427.pdf,//media.digikey.com/photos/3M%20Photos/10236-6212PC_View1.jpg,3M1822-ND,10236-6212PC,3M,CONN RCPT 36POS PCB SOLDER,2894,0,"6.30000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","36","2","Panel Mount, Through Hole","Solder","Housing/Shell (M2.6)","-","Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22348O/3mtm-mdr-050-bm-thru-hole-ra-receptacle-shielded-ts0621.pdf,//media.digikey.com/photos/3M%20Photos/10250-55H3PC.JPG,3M1766-ND,10250-55H3PC,3M,CONN RCPT 50POS R/A SOLDER,2094,0,"7.12000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","50","2","Panel Mount, Through Hole, Right Angle","Solder","Housing/Shell (4-40); Latchblocks","-","Board Lock, Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22260O/3mtmmini-d-ribbonmdr-050-bm-thru-hole-vert-shield-ts0427.pdf,//media.digikey.com/photos/3M%20Photos/10250-6212PC.jpg,3M1827-ND,10250-6212PC,3M,CONN RCPT 50POS PCB SOLDER,1092,0,"7.16000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","50","2","Panel Mount, Through Hole","Solder","Housing/Shell (M2.6)","-","Shielded","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22572O/3mtm-mdr-050surface-mount-ra-receptacle-shielded-ts0874.pdf,//media.digikey.com/photos/3M%20Photos/10226-1A10PE.JPG,10226-1A10PE-ND,10226-1A10PE,3M,CONN RCPT 26POS R/A SOLDER,3187,0,"7.51000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","26","2","Surface Mount, Right Angle","Solder","Housing/Shell (M2.6)","-","Board Guide, Shielded","Gold","20.0µin (0.51µm)"
http://multimedia.3m.com/mws/media/22367O/3mtm-mdr-050-solder-plug-connector-shielded-ts0669.pdf,//media.digikey.com/photos/3M%20Photos/10114-3000PE.JPG,3M1767-ND,10114-3000PE,3M,CONN PLUG 14POS STR SLDR CUP,451,0,"7.99000","0","1","101, Mini D Ribbon (MDR)","Active","Center Strip Contacts","Plug","14","2","Free Hanging (In-Line)","Solder Cup","-","-","Shielded","Gold","20.0µin (0.51µm)"
http://multimedia.3m.com/mws/media/22367O/3mtm-mdr-050-solder-plug-connector-shielded-ts0669.pdf,//media.digikey.com/photos/3M%20Photos/10120-3000PE.jpg,3M1768-ND,10120-3000PE,3M,CONN PLUG 20POS STR SLDR CUP,1445,0,"8.35000","0","1","101, Mini D Ribbon (MDR)","Active","Center Strip Contacts","Plug","20","2","Free Hanging (In-Line)","Solder Cup","-","-","Shielded","Gold","20.0µin (0.51µm)"
