Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Shell Size, Connector Layout","Contact Type","Mounting Type","Flange Feature","Termination","Features","Shell Material, Finish","Contact Finish","Contact Finish Thickness","Ingress Protection","Material Flammability Rating","Current Rating (Amps)","Operating Temperature"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4884_CO.pdf,//media.digikey.com/Photos/Assmann%20Photos/A-DS09LL-TL-B-R.JPG,AE10972-ND,A-DS 09 LL/Z,Assmann WSW Components,CONN DSUB PLUG 9POS SLDR CUP,65025,0,"0.51000","0","1","Tray","-","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4884_CO.pdf,//media.digikey.com/photos/Assmann%20Photos/A-DF-09-LL%5EZ.JPG,AE11063-ND,A-DF 09 LL/Z,Assmann WSW Components,CONN DSUB RCPT 9POS SLDR CUP,47627,0,"0.54000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","-","Steel","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
https://www.amphenol-icc.com/media/wysiwyg/files/drawing/c-dsub-0064.pdf,//media.digikey.com/photos/FCI%20Photos/DE09S064TLF.jpg,609-1525-ND,DE09S064TLF,Amphenol ICC (FCI),CONN DSUB RCPT 9POS SLDR CUP,11945,0,"0.54000","0","1","Bulk","D","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","-","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 125°C"
https://www.amphenol-icc.com/media/wysiwyg/files/drawing/c-dsub-0064.pdf,//media.digikey.com/photos/Amphenol%20Photos/DE09P064TXLF.jpg,609-1524-ND,DE09P064TXLF,Amphenol ICC (FCI),CONN DSUB PLUG 9POS SLDR CUP,11872,0,"0.54000","0","1","Bulk","D","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 125°C"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf,//media.digikey.com/Photos/Assmann%20Photos/ADF09A-KG-TASB3-R.JPG,AE10921-ND,A-DF 09 A/KG-T2S,Assmann WSW Components,CONN D-SUB RCPT 9POS R/A SOLDER,27792,0,"0.77000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf,//media.digikey.com/Photos/Assmann%20Photos/ADS09A-KG-TASB3-R.JPG,AE10968-ND,A-DS 09 A/KG-T2S,Assmann WSW Components,CONN D-SUB PLUG 9POS R/A SOLDER,19556,0,"0.77000","0","1","Tray","-","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock, Grounding Indents","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf,//media.digikey.com/photos/Assmann%20Photos/ADF09A-KG-TAXB3-R.JPG,AE10924-ND,A-DF 09 A/KG-T4S,Assmann WSW Components,CONN D-SUB RCPT 9POS R/A SOLDER,8954,0,"0.78000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Housing/Shell (4-40)","Solder","Board Lock","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-10YLYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-009-103L001.jpg,209ME-ND,171-009-103L001,NorComp Inc.,CONN D-SUB PLUG 9POS PNL MNT,14854,0,"0.84000","0","1","Tray","171","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Panel Mount","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-20YLYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-009-203L001.jpg,209FE-ND,171-009-203L001,NorComp Inc.,CONN D-SUB RCPT 9POS PNL MNT,30603,0,"0.93000","0","1","Tray","171","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Panel Mount","Housing/Shell (Unthreaded)","Solder Cup","-","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10090769.pdf,//media.digikey.com/Photos/FCI%20Photos/10090769-P154ALF.jpg,609-4042-ND,10090769-P154ALF,Amphenol ICC (FCI),CONN D-SUB HD PLUG 15POS,4757,0,"1.08000","0","1","Tray","10090769","Active","D-Sub, High Density","Plug, Male Pins","15","3","1 (DE, E) High Density","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","2.5A","-55°C ~ 105°C"
