Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Gender","Number of Positions or Pins (Grid)","Pitch","Height","Contact Finish","Contact Finish Thickness","Color","Material Flammability Rating","Dielectric Material","Voltage Rating","Current Rating (Amps)"
https://cdn.harwin.com/pdfs/S1621R.pdf,//media.digikey.com/Photos/Harwin/MFG_S1621-06R.jpg,952-1474-2-ND,S1621-46R,Harwin Inc.,JUMPER TIN SMD,140000,0,"0.08640","0","5000","Tape & Reel (TR)","EZ BoardWare","Active","Non-Insulated","Non-Gendered","2 (1 x 2)","0.319"" (8.10mm)","0.071"" (1.80mm)","Tin","118.1µin (3.00µm)","-","-","-","-","10A"
https://cdn.harwin.com/pdfs/S1621R.pdf,//media.digikey.com/Photos/Harwin/MFG_S1621-06R.jpg,952-1474-1-ND,S1621-46R,Harwin Inc.,JUMPER TIN SMD,144108,0,"0.24000","0","1","Cut Tape (CT)","EZ BoardWare","Active","Non-Insulated","Non-Gendered","2 (1 x 2)","0.319"" (8.10mm)","0.071"" (1.80mm)","Tin","118.1µin (3.00µm)","-","-","-","-","10A"
https://cdn.harwin.com/pdfs/S1621R.pdf,//media.digikey.com/Photos/Harwin/MFG_S1621-06R.jpg,952-1474-6-ND,S1621-46R,Harwin Inc.,JUMPER TIN SMD,144108,0,"Digi-Reel","0","1","Digi-Reel®","EZ BoardWare","Active","Non-Insulated","Non-Gendered","2 (1 x 2)","0.319"" (8.10mm)","0.071"" (1.80mm)","Tin","118.1µin (3.00µm)","-","-","-","-","10A"
https://cdn.harwin.com/pdfs/S1731R.pdf,//media.digikey.com/Photos/Harwin/S1731-46R.jpg,952-1581-2-ND,S1731-46R,Harwin Inc.,JUMPER TIN SMD,52500,0,"0.09405","0","2500","Tape & Reel (TR)","EZ BoardWare","Active","Non-Insulated","Non-Gendered","2 (1 x 2)","0.119"" (3.02mm)","0.100"" (2.54mm)","Tin","118.1µin (3.00µm)","-","-","-","-","10A"
https://cdn.harwin.com/pdfs/S1731R.pdf,//media.digikey.com/Photos/Harwin/S1731-46R.jpg,952-1581-1-ND,S1731-46R,Harwin Inc.,JUMPER TIN SMD,54608,0,"0.25000","0","1","Cut Tape (CT)","EZ BoardWare","Active","Non-Insulated","Non-Gendered","2 (1 x 2)","0.119"" (3.02mm)","0.100"" (2.54mm)","Tin","118.1µin (3.00µm)","-","-","-","-","10A"
https://cdn.harwin.com/pdfs/S1731R.pdf,//media.digikey.com/Photos/Harwin/S1731-46R.jpg,952-1581-6-ND,S1731-46R,Harwin Inc.,JUMPER TIN SMD,54608,0,"Digi-Reel","0","1","Digi-Reel®","EZ BoardWare","Active","Non-Insulated","Non-Gendered","2 (1 x 2)","0.119"" (3.02mm)","0.100"" (2.54mm)","Tin","118.1µin (3.00µm)","-","-","-","-","10A"
https://drawings-pdf.s3.amazonaws.com/11510.pdf,//media.digikey.com/Photos/Sullins%20Photos/QPC02SXGN-RC.JPG,S9337-ND,QPC02SXGN-RC,Sullins Connector Solutions,CONN JUMPER SHORTING .100"" GOLD,144383,0,"0.10000","0","1","Bulk","-","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","Flash","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","-","3A"
https://drawings-pdf.s3.amazonaws.com/11134.pdf,"//media.digikey.com/photos/Sullins%20Photos/STC02SYAN,%20SSC02SYAN,%20SPC02SYAN.jpg",S9000-ND,STC02SYAN,Sullins Connector Solutions,CONN JUMPER SHORTING TIN,253537,0,"0.10000","0","1","Bulk","-","Active","Closed Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.256"" (6.50mm)","Tin","100.0µin (2.54µm)","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A per Contact"
https://drawings-pdf.s3.amazonaws.com/11134.pdf,"//media.digikey.com/photos/Sullins%20Photos/STC02SYAN,%20SSC02SYAN,%20SPC02SYAN.jpg",S9001-ND,SPC02SYAN,Sullins Connector Solutions,CONN JUMPER SHORTING GOLD FLASH,201043,0,"0.10000","0","1","Bulk","-","Active","Closed Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.256"" (6.50mm)","Gold","Flash","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","-","3A per Contact"
https://drawings-pdf.s3.amazonaws.com/11518.pdf,//media.digikey.com/Photos/Sullins%20Photos/NPC02SXON-RC.JPG,S9341-ND,NPC02SXON-RC,Sullins Connector Solutions,CONN JUMPER SHORTING .100"" GOLD,94468,0,"0.11000","0","1","Bulk","-","Active","Open Top, Grip","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.531"" (13.50mm)","Gold","Flash","-","UL94 V-2","Polyamide (PA66), Nylon 6/6","-","3A per Contact"
