Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Number of Positions","Package Accepted","Specifications"
https://www.bivar.com/Files/Datasheets/CI-1XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/CI%20SERIES%202%20HOLE.jpg,492-1039-ND,CI-192-028-SR,Bivar Inc.,INSULATOR CRYSTAL 2HOLE CLEAR,29581,0,"0.14000","0","1","CI","Active","Insulator","Crystals","2","HC-18/U, HC-43/U, HC-49/U","-"
//media.digikey.com/PDF/Data%20Sheets/ECS%20PDFs/700-TFL-9001.pdf,//media.digikey.com/Photos/ECS%20Photos/700-TFL-9001.jpg,XC1750-ND,700-TFL-9001,ECS Inc.,CRYSTAL INSULATOR HC-49U/US,60078,45000,"0.12000","0","1","-","Active","Insulator","Crystals","3","HC-49U/US","-"
http://www.ecsxtal.com/store/pdf/706-TFL-UM1.pdf,//media.digikey.com/Photos/ECS%20Photos/706-TFL-UM1.JPG,XC1804-ND,706-TFL-UM1,ECS Inc.,UM-1 BASE INSULATOR,19269,15000,"0.12000","0","1","UM","Active","Insulator","Crystals","3","-","-"
https://www.bivar.com/Files/Datasheets/CI-1XX-XXX.pdf,//media.digikey.com/Renders/Bivar%20Renders/CI-192-028.jpg,492-1518-ND,CI-192-028,Bivar Inc.,HDWR INS TAB 0.465 X 0.219 CLR,14053,0,"0.14000","0","1","CI","Active","Insulator","Crystals","2","HC-18/U, HC-43/U, HC-49/U","-"
https://www.bivar.com/Files/Datasheets/CI-1XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/CI%20SERIES%203%20HOLE.jpg,492-1040-ND,CI-192-028-3SR,Bivar Inc.,INSULATOR CRYSTAL 3HOLE CLEAR,2607,0,"0.14000","0","1","CI","Active","Insulator","Crystals","3","HC-18/U, HC-43/U, HC-49/U","-"
https://www.bivar.com/Files/Datasheets/CI-1XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/CI-192-028-3.JPG,492-1529-ND,CI-192-028-3,Bivar Inc.,INSULATOR CRYSTAL 3HOLE CLEAR,1031,0,"0.14000","0","1","CI","Active","Insulator","Crystals","3","HC-18/U, HC-43/U, HC-49/U","-"
https://www.arieselec.com/products/data/14005-oscillator-socket.pdf,//media.digikey.com/photos/Aries/1108800.jpg,A463-ND,1108800,Aries Electronics,OSCILLATOR SOCKET HALF SIZE 4PIN,539,0,"0.99000","0","1","-","Active","Socket, Half Size","Oscillators","8","8-DIP, 4 Lead (Half Size)","-"
https://www.bivar.com/Files/Datasheets/CI-1XX-XXX.pdf,//media.digikey.com/Renders/Bivar%20Renders/CI-192-028.jpg,492-1817-ND,CI-192-050,Bivar Inc.,HDWR INS TAB 0.465 X 0.219 CLR,773,0,"0.14000","0","1","CI","Active","Insulator","Crystals","2","HC-25/U, HC-42/U, HC-50/U","-"
https://www.bivar.com/Files/Datasheets/470-474-XXX%20(CM).pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/470-045.JPG,492-1735-ND,470-025,Bivar Inc.,HDWR INS TAB .495 X .245 NYL WHT,877,0,"0.50000","0","1","-","Active","Insulator","Crystals","2","2 Leads","-"
https://www.bivar.com/Files/Datasheets/470-474-XXX%20(CM).pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/470-045.JPG,492-1737-ND,470-045,Bivar Inc.,HDWR INS TAB .495 X .245 NYL WHT,784,0,"0.50000","0","1","-","Active","Insulator","Crystals","2","2 Leads","-"
