Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Load Capacitance","ESR (Equivalent Series Resistance)","Operating Mode","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
https://www.ecsxtal.com/store/pdf/csm-7x.pdf,//media.digikey.com/photos/ECS%20Photos/CSM-7%20CRYSTAL.jpg,XC2080TR-ND,ECS-120-20-5PX-TR,ECS Inc.,CRYSTAL 12.000 MHZ 20PF SMD,7000,11000,"0.14400","0","1000","Tape & Reel (TR)","CSM-7X","Active","MHz Crystal","12MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-10°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.189"" W (11.40mm x 4.80mm)","0.169"" (4.30mm)"
https://www.ecsxtal.com/store/pdf/csm-7x.pdf,//media.digikey.com/photos/ECS%20Photos/CSM-7%20CRYSTAL.jpg,XC2080CT-ND,ECS-120-20-5PX-TR,ECS Inc.,CRYSTAL 12.000 MHZ 20PF SMD,7385,11671,"0.30000","0","1","Cut Tape (CT)","CSM-7X","Active","MHz Crystal","12MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-10°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.189"" W (11.40mm x 4.80mm)","0.169"" (4.30mm)"
https://www.ecsxtal.com/store/pdf/csm-7x.pdf,//media.digikey.com/photos/ECS%20Photos/CSM-7%20CRYSTAL.jpg,XC2080DKR-ND,ECS-120-20-5PX-TR,ECS Inc.,CRYSTAL 12.000 MHZ 20PF SMD,7385,11671,"Digi-Reel","0","1","Digi-Reel®","CSM-7X","Active","MHz Crystal","12MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-10°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.189"" W (11.40mm x 4.80mm)","0.169"" (4.30mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER4252TR-ND,FA-238 24.0000MD30X-W5,EPSON,CRYSTAL 24.00 MHZ 12.0PF SMD,24000,0,"0.16500","0","3000","Tape & Reel (TR)","FA-238","Active","MHz Crystal","24MHz","±30ppm","±30ppm","12pF","60 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER4252CT-ND,FA-238 24.0000MD30X-W5,EPSON,CRYSTAL 24.00 MHZ 12.0PF SMD,24844,0,"0.36000","0","1","Cut Tape (CT)","FA-238","Active","MHz Crystal","24MHz","±30ppm","±30ppm","12pF","60 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER4252DKR-ND,FA-238 24.0000MD30X-W5,EPSON,CRYSTAL 24.00 MHZ 12.0PF SMD,24844,0,"Digi-Reel","0","1","Digi-Reel®","FA-238","Active","MHz Crystal","24MHz","±30ppm","±30ppm","12pF","60 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER4248TR-ND,FA-238 19.9680MA30X-AG5,EPSON,CRYSTAL 19.6608 MHZ 7.0PF SMD,21000,0,"0.16500","0","3000","Tape & Reel (TR)","FA-238","Active","MHz Crystal","19.968MHz","±30ppm","±20ppm","7pF","80 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER4248CT-ND,FA-238 19.9680MA30X-AG5,EPSON,CRYSTAL 19.6608 MHZ 7.0PF SMD,21000,0,"0.36000","0","1","Cut Tape (CT)","FA-238","Active","MHz Crystal","19.968MHz","±30ppm","±20ppm","7pF","80 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER4248DKR-ND,FA-238 19.9680MA30X-AG5,EPSON,CRYSTAL 19.6608 MHZ 7.0PF SMD,21000,0,"Digi-Reel","0","1","Digi-Reel®","FA-238","Active","MHz Crystal","19.968MHz","±30ppm","±20ppm","7pF","80 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
http://www.ecsxtal.com/store/pdf/CSM-3X.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-270-20-3X-EN-TR.jpg,XC1797TR-ND,ECS-245.7-20-3X-EN-TR,ECS Inc.,CRYSTAL 24.5760MHZ 20PF SMD,15000,24000,"0.17250","0","3000","Tape & Reel (TR)","CSM-3X","Active","MHz Crystal","24.576MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.276"" L x 0.161"" W (7.00mm x 4.10mm)","0.091"" (2.30mm)"
http://www.ecsxtal.com/store/pdf/CSM-3X.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-270-20-3X-EN-TR.jpg,XC1797CT-ND,ECS-245.7-20-3X-EN-TR,ECS Inc.,CRYSTAL 24.5760MHZ 20PF SMD,16799,24063,"0.38000","0","1","Cut Tape (CT)","CSM-3X","Active","MHz Crystal","24.576MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.276"" L x 0.161"" W (7.00mm x 4.10mm)","0.091"" (2.30mm)"
