Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Base Resonator","Type","Frequency - Output 1","Frequency - Output 2","Frequency - Output 3","Frequency - Output 4","Function","Output","Voltage - Supply","Frequency Stability","Operating Temperature","Current - Supply (Max)","Size / Dimension","Height","Package / Case"
https://abracon.com/Oscillators/ASEMDHC.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASEMDHC-LR.JPG,535-9431-ND,ASEMDHC-LR,Abracon LLC,MEMS OSC XO 2.25V-3.6V 14VFQFN,797,0,"8.58000","0","1","Tube","ASEMDHC, Pure Silicon™","Active","MEMS","XO (Standard)","100MHz, 106.25MHz, 125MHz, 156.25MHz","25MHz, 50MHz, 100MHz, 125MHz, 156.25MHz","-","-","Enable/Disable","HCSL","2.25V ~ 3.6V","±25ppm","-40°C ~ 85°C","60mA (Typ)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.035"" (0.90mm)","14-VFQFN Exposed Pad"
https://abracon.com/Oscillators/ASEMCLV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASEMCLV%20SERIES.JPG,535-9439-ND,ASEMCLV,Abracon LLC,MEMS OSC XO 2.25V-3.6V 14VFQFN,328,0,"8.77000","0","1","Tube","ASEMCLV, Pure Silicon™","Active","MEMS","XO (Standard)","74.17582MHz, 74.25MHz, 148.35165MHz, 148.5MHz","-","-","-","Enable/Disable","LVDS","2.25V ~ 3.6V","±50ppm","-20°C ~ 70°C","32mA","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.035"" (0.90mm)","14-VFQFN Exposed Pad"
https://abracon.com/Oscillators/ASEMCC.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASEMCCx-ZR.JPG,535-9426-ND,ASEMCC3-LR,Abracon LLC,MEMS OSC XO 2.25V-3.6V 14VFQFN,304,0,"6.91000","0","1","Tube","ASEMCC, Pure Silicon™","Active","MEMS","XO (Standard)","25MHz, 75MHz, 125MHz, 150MHz","-","-","-","Enable/Disable","CMOS","2.25V ~ 3.6V","±25ppm","-40°C ~ 85°C","35mA","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.035"" (0.90mm)","14-VFQFN Exposed Pad"
https://abracon.com/datasheets/AMJD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14620-2-ND,AMJDAFH-A11T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"1.60805","0","1000","Tape & Reel (TR)","AMJD","Active","MEMS","XO (Standard)","50MHz, 100MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
https://abracon.com/datasheets/AMJD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14620-1-ND,AMJDAFH-A11T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"2.62000","0","1","Cut Tape (CT)","AMJD","Active","MEMS","XO (Standard)","50MHz, 100MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
https://abracon.com/datasheets/AMJD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14620-6-ND,AMJDAFH-A11T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"Digi-Reel","0","1","Digi-Reel®","AMJD","Active","MEMS","XO (Standard)","50MHz, 100MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
https://abracon.com/datasheets/AMJD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14621-2-ND,AMJDAFJ-A11T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"1.60805","0","1000","Tape & Reel (TR)","AMJD","Active","MEMS","XO (Standard)","50MHz, 100MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
https://abracon.com/datasheets/AMJD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14621-1-ND,AMJDAFJ-A11T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"2.62000","0","1","Cut Tape (CT)","AMJD","Active","MEMS","XO (Standard)","50MHz, 100MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
https://abracon.com/datasheets/AMJD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14621-6-ND,AMJDAFJ-A11T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"Digi-Reel","0","1","Digi-Reel®","AMJD","Active","MEMS","XO (Standard)","50MHz, 100MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
https://abracon.com/datasheets/AMPD.pdf,"//media.digikey.com/Renders/Abracon%20Renders/AMJM(4SMD,No-Lead)2x1,6x0,9.JPG",535-14624-2-ND,AMPDAFH-A01T,Abracon LLC,MEMS OSC XO 1.71V-3.63V 4VFLGA,1000,0,"1.60805","0","1000","Tape & Reel (TR)","AMPD","Active","MEMS","XO (Standard)","20MHz, 25MHz","-","-","-","-","-","1.71V ~ 3.63V","±25ppm","-40°C ~ 85°C","1.3mA (Typ)","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.035"" (0.89mm)","4-VFLGA"
