Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Base Resonator","Type","Programmable Type","Available Frequency Range","Function","Output","Voltage - Supply","Frequency Stability","Frequency Stability (Total)","Operating Temperature","Spread Spectrum Bandwidth","Current - Supply (Max)","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
-,"//media.digikey.com/photos/Cardinal%20Components%20Photos/CPPX7-A5BC,A7BR,%20CPPLX7-A7BRNP,%20CPPFX-X7-A7BCNP.jpg",LX7TR-ND,CPPLX7-A7BRNP,Cardinal Components Inc.,OSC PROG BLANK 1MHZ-133MHZ,1800,0,"4.01280","0","300","Tape & Reel (TR)","FIPO™ CPPL","Active","Crystal","XO (Standard)","Blank (User Must Program)","1MHz ~ 133MHz","Enable/Disable, Standby","CMOS, TTL","5V","±25ppm","-","-40°C ~ 85°C","-","45mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.075"" (1.90mm)"
-,"//media.digikey.com/photos/Cardinal%20Components%20Photos/CPPX7-A5BC,A7BR,%20CPPLX7-A7BRNP,%20CPPFX-X7-A7BCNP.jpg",LX7CT-ND,CPPLX7-A7BRNP,Cardinal Components Inc.,OSC PROG BLANK 1MHZ-133MHZ,2134,0,"5.04000","0","1","Strip","FIPO™ CPPL","Active","Crystal","XO (Standard)","Blank (User Must Program)","1MHz ~ 133MHz","Enable/Disable, Standby","CMOS, TTL","5V","±25ppm","-","-40°C ~ 85°C","-","45mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.075"" (1.90mm)"
-,"//media.digikey.com/photos/Cardinal%20Components%20Photos/CPPX7-A5BC,A7BR,%20CPPLX7-A7BRNP,%20CPPFX-X7-A7BCNP.jpg",LX7DKR-ND,CPPLX7-A7BRNP,Cardinal Components Inc.,OSC PROG BLANK 1MHZ-133MHZ,2134,0,"Digi-Reel","0","1","Digi-Reel®","FIPO™ CPPL","Active","Crystal","XO (Standard)","Blank (User Must Program)","1MHz ~ 133MHz","Enable/Disable, Standby","CMOS, TTL","5V","±25ppm","-","-40°C ~ 85°C","-","45mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.075"" (1.90mm)"
https://www.sitime.com/datasheet/SiT9121,"//media.digikey.com/Renders/SiTIME/4-SMD,-3.2-x-2.5.jpg",1473-1725-2-ND,SIT9121AI-2B1-XXX000.FP0000X,SiTIME,MEMS OSC PROG BLANK 1MHZ-220MHZ,250,0,"4.73756","0","250","Tape & Reel (TR)","SiT9121","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 220MHz","Enable/Disable, Standby","LVDS","2.5V, 3.3V","-","±20ppm","-40°C ~ 85°C","-","55mA","-","Surface Mount","6-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)"
https://www.sitime.com/datasheet/SiT9121,"//media.digikey.com/Renders/SiTIME/4-SMD,-3.2-x-2.5.jpg",1473-1725-1-ND,SIT9121AI-2B1-XXX000.FP0000X,SiTIME,MEMS OSC PROG BLANK 1MHZ-220MHZ,566,0,"5.95000","0","1","Cut Tape (CT)","SiT9121","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 220MHz","Enable/Disable, Standby","LVDS","2.5V, 3.3V","-","±20ppm","-40°C ~ 85°C","-","55mA","-","Surface Mount","6-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)"
https://www.sitime.com/datasheet/SiT9121,"//media.digikey.com/Renders/SiTIME/4-SMD,-3.2-x-2.5.jpg",1473-1725-6-ND,SIT9121AI-2B1-XXX000.FP0000X,SiTIME,MEMS OSC PROG BLANK 1MHZ-220MHZ,566,0,"Digi-Reel","0","1","Digi-Reel®","SiT9121","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 220MHz","Enable/Disable, Standby","LVDS","2.5V, 3.3V","-","±20ppm","-40°C ~ 85°C","-","55mA","-","Surface Mount","6-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)"
https://www.sitime.com/datasheet/SiT8008,//media.digikey.com/Renders/SiTIME/4-SMD_2.0x1.6.jpg,1473-1525-2-ND,SIT8008BI-71-XXX-000.FP0000E,SiTIME,MEMS OSC PROG BLANK 1MHZ-110MHZ,2000,0,"0.61812","0","1000","Tape & Reel (TR)","SiT8008B","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 110MHz","Enable/Disable","LVCMOS","1.8V, 2.5V ~ 3.3V","-","±20ppm","-40°C ~ 85°C","-","4.5mA","-","Surface Mount","4-SMD, No Lead","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.031"" (0.80mm)"
https://www.sitime.com/datasheet/SiT8008,//media.digikey.com/Renders/SiTIME/4-SMD_2.0x1.6.jpg,1473-1525-1-ND,SIT8008BI-71-XXX-000.FP0000E,SiTIME,MEMS OSC PROG BLANK 1MHZ-110MHZ,2905,0,"1.18000","0","1","Cut Tape (CT)","SiT8008B","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 110MHz","Enable/Disable","LVCMOS","1.8V, 2.5V ~ 3.3V","-","±20ppm","-40°C ~ 85°C","-","4.5mA","-","Surface Mount","4-SMD, No Lead","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.031"" (0.80mm)"
https://www.sitime.com/datasheet/SiT8008,//media.digikey.com/Renders/SiTIME/4-SMD_2.0x1.6.jpg,1473-1525-6-ND,SIT8008BI-71-XXX-000.FP0000E,SiTIME,MEMS OSC PROG BLANK 1MHZ-110MHZ,2905,0,"Digi-Reel","0","1","Digi-Reel®","SiT8008B","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 110MHz","Enable/Disable","LVCMOS","1.8V, 2.5V ~ 3.3V","-","±20ppm","-40°C ~ 85°C","-","4.5mA","-","Surface Mount","4-SMD, No Lead","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.031"" (0.80mm)"
https://www.sitime.com/datasheet/SiT8008,//media.digikey.com/Renders/SiTIME/4-SMD_3.2x2.5.jpg,1473-1544-2-ND,SIT8008BI-21-XXX-000.FP0000G,SiTIME,MEMS OSC PROG BLANK 1MHZ-110MHZ,1500,0,"0.98044","0","250","Tape & Reel (TR)","SiT8008B","Active","MEMS","XO (Standard)","Blank (User Must Program)","1MHz ~ 110MHz","Enable/Disable, Standby","LVCMOS","1.8V, 2.5V ~ 3.3V","-","±20ppm","-40°C ~ 85°C","-","4.5mA","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)"
