Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Features","Capacitance","Impedance","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height"
https://www.murata.com/en/products/productdata/8801161740318/SPEC-CSTNE8M00G550000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17958-2-ND,CSTNE8M00G550000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD,0,0,"0.12600","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161740318/SPEC-CSTNE8M00G550000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17958-1-ND,CSTNE8M00G550000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD,2340,0,"0.28000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161740318/SPEC-CSTNE8M00G550000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17958-6-ND,CSTNE8M00G550000R0,Murata Electronics North America,CER RES 8.0000MHZ 33PF SMD,2340,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","8MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://abracon.com/Resonators/AWSZT-CV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/AWSZT-CV3.7%20SERIES.JPG,535-10028-2-ND,AWSZT-24.00CV-T,Abracon LLC,CER RES 24.0000MHZ SMD,21000,0,"0.19200","0","1000","Tape & Reel (TR)","AWSZT-CV","Active","Ceramic","24MHz","±0.3%","±0.5%","-","-","40 Ohms","-25°C ~ 85°C","Surface Mount","1512 (3731 Metric)","0.146"" L x 0.122"" W (3.70mm x 3.10mm)","0.047"" (1.19mm)"
https://abracon.com/Resonators/AWSZT-CV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/AWSZT-CV3.7%20SERIES.JPG,535-10028-1-ND,AWSZT-24.00CV-T,Abracon LLC,CER RES 24.0000MHZ SMD,22000,0,"0.40000","0","1","Cut Tape (CT)","AWSZT-CV","Active","Ceramic","24MHz","±0.3%","±0.5%","-","-","40 Ohms","-25°C ~ 85°C","Surface Mount","1512 (3731 Metric)","0.146"" L x 0.122"" W (3.70mm x 3.10mm)","0.047"" (1.19mm)"
https://abracon.com/Resonators/AWSZT-CV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/AWSZT-CV3.7%20SERIES.JPG,535-10028-6-ND,AWSZT-24.00CV-T,Abracon LLC,CER RES 24.0000MHZ SMD,22000,0,"Digi-Reel","0","1","Digi-Reel®","AWSZT-CV","Active","Ceramic","24MHz","±0.3%","±0.5%","-","-","40 Ohms","-25°C ~ 85°C","Surface Mount","1512 (3731 Metric)","0.146"" L x 0.122"" W (3.70mm x 3.10mm)","0.047"" (1.19mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-1200-2-ND,CSTCR4M00G53-R0,Murata Electronics North America,CER RES 4.0000MHZ 15PF SMD,9000,0,"0.19290","0","3000","Tape & Reel (TR)","CERALOCK® CSTCR","Active","Ceramic","4MHz","±0.2%","±0.5%","Built in Capacitor","15pF","60 Ohms","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-1200-1-ND,CSTCR4M00G53-R0,Murata Electronics North America,CER RES 4.0000MHZ 15PF SMD,11475,0,"0.42000","0","1","Cut Tape (CT)","CERALOCK® CSTCR","Active","Ceramic","4MHz","±0.2%","±0.5%","Built in Capacitor","15pF","60 Ohms","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-1200-6-ND,CSTCR4M00G53-R0,Murata Electronics North America,CER RES 4.0000MHZ 15PF SMD,11475,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTCR","Active","Ceramic","4MHz","±0.2%","±0.5%","Built in Capacitor","15pF","60 Ohms","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-1204-2-ND,CSTCR6M00G53-R0,Murata Electronics North America,CER RES 6.0000MHZ 15PF SMD,6000,0,"0.19290","0","3000","Tape & Reel (TR)","CERALOCK® CSTCR","Active","Ceramic","6MHz","±0.2%","±0.5%","Built in Capacitor","15pF","50 Ohms","-20°C ~ 80°C","Surface Mount","3-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
