Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Outline L x W x H","Qmax @ Th","Delta Tmax @ Th","Current - Max","Voltage - Max","Resistance","Operating Temperature","Features"
https://www.cui.com/product/resource/digikeypdf/cp60.pdf,//media.digikey.com/Photos/CUI%20Photos/CP60240.JPG,102-1676-ND,CP60240,CUI Inc.,PELTIER MOD 20 X 4MM 6.0A INP,349,0,"15.51000","0","1","CP60","Active","20.00mm x 20.00mm x 4.00mm","13.0W @ 27°C","68°C @ 27°C","6.0A","3.8V","530 mOhms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp60.pdf,//media.digikey.com/Photos/CUI%20Photos/cp60133.JPG,102-1672-ND,CP60133,CUI Inc.,PELTIER MOD 15 X 3.3MM 6.0A INP,273,0,"15.80000","0","1","CP60","Active","15.00mm x 15.00mm x 3.30mm","12.2W @ 27°C","66°C @ 27°C","6.0A","3.8V","500 mOhms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp60.pdf,//media.digikey.com/Photos/CUI%20Photos/CP60233.JPG,102-1673-ND,CP60233,CUI Inc.,PELTIER MOD 20 X 3.3MM 6.0A INP,591,0,"16.94000","0","1","CP60","Active","20.00mm x 20.00mm x 3.30mm","27.9W @ 27°C","66°C @ 27°C","6.0A","8.6V","1.20 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp40.pdf,//media.digikey.com/Photos/CUI%20Photos/CP40236.JPG,102-1670-ND,CP40236,CUI Inc.,PELTIER MOD 20 X 3.6MM 4.0A INP,582,0,"16.94000","0","1","CP40","Active","20.00mm x 20.00mm x 3.61mm","18.7W @ 27°C","66°C @ 27°C","4.0A","8.6V","2.0 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp30.pdf,//media.digikey.com/Photos/CUI%20Photos/CP30238.JPG,102-1667-ND,CP30238,CUI Inc.,PELTIER MOD 20 X 3.8MM 3.0A INP,420,0,"16.94000","0","1","CP30","Active","20.00mm x 20.00mm x 3.80mm","15.0W @ 27°C","66°C @ 27°C","3.0A","8.6V","2.30 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP10-31-05-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430801-504.jpg,926-1023-ND,430801-504,"Laird Thermal Systems, Inc.","PELTIER MOD CP10,31,05,L1,W4.5",389,0,"19.87000","0","1","CP","Active","15.00mm x 15.00mm x 3.20mm","8.2W @ 25°C","67°C @ 25°C","3.9A","3.8V","820 mOhms","80°C","Lead Wires, Non-Sealed"
https://www.cui.com/product/resource/digikeypdf/cp60.pdf,//media.digikey.com/Photos/CUI%20Photos/CP60333.JPG,102-1674-ND,CP60333,CUI Inc.,PELTIER MOD 30 X 3.3MM 6.0A INP,2253,0,"19.89000","0","1","CP60","Active","30.00mm x 30.00mm x 3.30mm","50.5W @ 27°C","66°C @ 27°C","6.0A","15.4V","2.20 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp30.pdf,//media.digikey.com/Photos/CUI%20Photos/CP30338.JPG,102-1668-ND,CP30338,CUI Inc.,PELTIER MOD 30 X 3.8MM 3.0A INP,1237,0,"19.89000","0","1","CP30","Active","30.00mm x 30.00mm x 3.80mm","27.0W @ 27°C","66°C @ 27°C","3.0A","15.4V","4.00 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp40.pdf,//media.digikey.com/Photos/CUI%20Photos/CP40336.JPG,102-1671-ND,CP40336,CUI Inc.,PELTIER MOD 30 X 3.6MM 4.0A INP,151,0,"20.10000","0","1","CP40","Active","30.00mm x 30.00mm x 3.60mm","33.4W @ 27°C","66°C @ 27°C","4.0A","15.4V","3.50 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC6-4.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_RC6-4-01LS.jpg,1681-1064-ND,RC6-4-01LS,"Marlow Industries, Inc.",TEM 23.5X23.5X3.33MM,531,0,"21.19000","0","1","RC6-4","Active","28.00mm x 23.50mm x 3.33mm","20.0W @ 27°C","65°C @ 27°C","3.7A","8.2V","1.80 Ohms","85°C","Lead Wires, Lapped, Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC12-4.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_RC12-4-01LS.jpg,1681-1054-ND,RC12-4-01LS,"Marlow Industries, Inc.",TEM 29.97X29.97X3.33MM,708,0,"22.50000","0","1","RC12-4","Active","34.04mm x 29.97mm x 3.33mm","36.0W @ 27°C","66°C @ 27°C","3.7A","14.7V","3.20 Ohms","85°C","Lead Wires, Lapped, Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP10-63-05-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430036-504.JPG,926-1025-ND,56430-501,"Laird Thermal Systems, Inc.","PELTIER MOD CP10,63,05,L1,W4.5",396,0,"22.78000","0","1","CP","Active","29.72mm x 15.00mm x 3.20mm","16.6W @ 25°C","67°C @ 25°C","3.9A","7.6V","1.66 Ohms","80°C","Lead Wires, Non-Sealed"
https://www.cui.com/product/resource/digikeypdf/cp85.pdf,//media.digikey.com/Photos/CUI%20Photos/CP85438.JPG,102-1682-ND,CP85438,CUI Inc.,PELTIER MOD 40 X 3.8MM 8.5A INP,4203,0,"23.05000","0","1","CP85","Active","40.00mm x 40.00mm x 3.80mm","75.0W @ 27°C","68°C @ 27°C","8.5A","15.4V","1.5 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP10-127-05-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_56460-501.jpg,926-1019-ND,56460-501,"Laird Thermal Systems, Inc.","PELTIER MOD CP10,127,05,L1,W4.5",335,0,"23.90000","0","1","CP","Active","29.72mm x 29.72mm x 3.20mm","34.3W @ 25°C","67°C @ 25°C","3.9A","14.4V","3.36 Ohms","80°C","Lead Wires, Non-Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC12-2.5.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_RC12-2.5-01LS.jpg,1681-1053-ND,RC12-2.5-01LS,"Marlow Industries, Inc.",TEM 30X34X3.93MM,558,0,"24.09000","0","1","RC12-2.5","Active","34.00mm x 30.00mm x 3.93mm","23.0W @ 27°C","66°C @ 27°C","2.5A","14.7V","4.90 Ohms","85°C","Lead Wires, Lapped, Sealed"
https://www.cui.com/product/resource/digikeypdf/cp20.pdf,//media.digikey.com/Photos/CUI%20Photos/CP20351.JPG,102-1665-ND,CP20351,CUI Inc.,PELTIER MOD 30 X 5.1MM 2.0A INP,982,0,"24.71000","0","1","CP20","Active","30.00mm x 30.00mm x 5.10mm","15.2W @ 27°C","66°C @ 27°C","2.0A","15.4V","6.70 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP14-71-10-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/70200-504.JPG,926-1038-ND,56590-502,"Laird Thermal Systems, Inc.","PELTIER MOD CP14,71,10,L1,W4.5",222,0,"25.22000","0","1","CP","Active","29.72mm x 29.72mm x 4.70mm","18.7W @ 25°C","67°C @ 25°C","3.9A","8.6V","1.92 Ohms","80°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP10-63-05-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430036-504.JPG,926-1250-ND,430036-504,"Laird Thermal Systems, Inc.","PELTIER CP10,63,05,L,EP,W4.5",222,0,"25.22000","0","1","CP","Active","29.72mm x 15.00mm x 3.20mm","16.6W @ 25°C","67°C @ 25°C","3.9A","7.6V","1.66 Ohms","80°C","Lead Wires, Sealed - Epoxy"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/XLT6-4.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_XLT6-4-01LS.jpg,1681-1086-ND,XLT6-4-01LS,"Marlow Industries, Inc.",TEM THERMOCYCLER23.5X23.5X3.33MM,500,0,"25.74000","0","1","-","Active","27.99mm x 23.50mm x 3.33mm","20.0W @ 27°C","65°C @ 27°C","3.7A","8.2V","1.80 Ohms","85°C","Lead Wires, Lapped, Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/NL1021T.pdf,//media.digikey.com/photos/Marlow-Industries/NL1021T-01AC.jpg,1681-1029-ND,NL1021T-01AC,"Marlow Industries, Inc.",TEM 6.6X6.6X2.16MM,487,0,"25.84000","0","1","NL1021T","Active","6.60mm x 6.60mm x 2.16mm","2.2W @ 27°C","64°C @ 27°C","1.8A","1.9V","920 mOhms","85°C","Exterior Metallization (Both Sides), Lead Wires"
