Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
https://cdn.sparkfun.com/datasheets/Prototyping/xt60.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10474.jpg,1568-1816-ND,PRT-10474,SparkFun Electronics,XT60 CONNECTORS MALE/FEMALE PAIR,5018,0,"1.50000","0","1","-","Active","Connector","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-11417_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/PRT-11417.jpg,1568-1413-ND,PRT-11417,SparkFun Electronics,ARDUINO STACKABLE HEADER KIT - R,1521,0,"1.50000","0","1","-","Active","Connector","Arduino Boards or other MCU Boards"
-,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_SLSDA001.jpg,SLSDA001A-ND,SLSDA001A,Silicon Labs,DEBUG ADAPT KIT,1173,0,"9.98000","0","1","-","Active","Adapter","-"
-,//media.digikey.com/photos/Microchip%20Tech%20Photos/AC164110.JPG,AC164110-ND,AC164110,Microchip Technology,ADAPTER RJ-11 TO ICSP,423,0,"16.95000","0","1","-","Active","Adapter","ICD2"
//media.digikey.com/pdf/Data%20Sheets/Microchip%20PDFs/TC2030-CLIP-3PACK_Web.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/TC2030-CLIP-3PACK.jpg,TC2030-CLIP-3PACK-ND,TC2030-CLIP-3PACK,Microchip Technology,BOARD CLIP EMULATE TAG-CONNECT,193,0,"18.00000","0","1","Plug-Of-Nails™","Active","Retainer Clip","TC2030-MCP"
https://reference.digilentinc.com/_media/analog_discovery_bnc_adapter_board:discoverybnc_rm.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/410-263P.jpg",1286-1073-ND,410-263,"Digilent, Inc.",ADAPTER BOARD ANLG DISCOVERY BNC,235,0,"19.99000","0","1","-","Active","Adapter Board","Digilent Boards"
-,//media.digikey.com/Photos/Atmel%20Photos/ATATMEL-ICE-CABLE.jpg,ATATMEL-ICE-CABLE-ND,ATATMEL-ICE-CABLE,Microchip Technology,CABLE SAM ICE,393,0,"23.33000","0","1","-","Active","Cable Assembly","Atmel-ICE"
-,//media.digikey.com/Photos/Rabbit%20Semi%20Photos/20-101-1201.jpg,20-101-1201-ND,20-101-1201,Digi International,USB PROGRAMMING CABLE 2MM CONN,106,0,"25.00000","0","1","-","Active","Cable Assembly","-"
http://www.xilinx.com/support/documentation/data_sheets/ds300.pdf,//media.digikey.com/photos/Xilinx%20Photos/HW-USB-FLYLEADS-G.JPG,122-1530-ND,HW-USB-FLYLEADS-G,Xilinx Inc.,BOARD ADAPTER AND FLY LEADS,145,0,"32.20000","0","1","-","Active","Cable Assembly","Xilinx FPGA, CPLDS, Platform Flash PROMs, XC18V00 PROMs, System ACE MPM"
http://ww1.microchip.com/downloads/en/DeviceDoc/TC2030-MCP-NL_PCB_Footprint_RevD.pdf,//media.digikey.com/photos/Microchip%20Tech%20Photos/TC2030-MCP-NL.JPG,TC2030-MCP-NL-ND,TC2030-MCP-NL,Microchip Technology,CABLE TAG-CONNECT IN-CIRCUIT,259,0,"36.00000","0","1","MPLAB®","Active","Adapter Cable","MPLAB®"
//media.digikey.com/pdf/Data%20Sheets/Microchip%20PDFs/TC2030-MCP_Web.pdf,//media.digikey.com/Photos/Tag-Connect/TC2030-MCP.JPG,TC2030-MCP-ND,TC2030-MCP,Microchip Technology,CABLE TAG-CONNECT IN-CIRCUIT LEG,114,0,"36.00000","0","1","MPLAB®","Active","Adapter Cable","MPLAB®"
https://datasheets.maximintegrated.com/en/ds/DS9490-DS9490R.pdf,//media.digikey.com/photos/Maxim%20Photos/DS9490R%23.JPG,DS9490R#-ND,DS9490R#,Maxim Integrated,IC BRIDGE USB TO 1-WIRE RJ11,844,0,"40.69000","0","1","iButton®","Active","USB to 1-Wire® RJ11 Adapter","1-Wire® Devices"
http://www.linear.com/docs/38546,//media.digikey.com/Photos/Linear%20Tech%20Photos/MFG_DC1613A.jpg,DC1613A-ND,DC1613A,Linear Technology/Analog Devices,INTERFACE MOD FOR LTPOWERPLAY,118,465,"50.00000","0","1","-","Active","Interface Module with Cable","LTC2978, LTC3880, LTC2974"
http://ww1.microchip.com/downloads/en/DeviceDoc/I_O_Expansion_Board_Schematics_RevB.pdf,//media.digikey.com/photos/Microchip%20Tech%20Photos/DM320002.JPG,DM320002-ND,DM320002,Microchip Technology,BOARD EXPANSION PIC32 I/O,28,0,"72.00000","0","1","-","Active","Expansion Module","DM320001, DM320003"
-,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-0541.JPG,316-1116-ND,20-101-0541,Digi International,MODULE LCD/KEYPAD PANEL MOUNT,149,0,"99.00000","0","1","-","Active","Keypad/Display Unit","RabbitCore Modules"
-,//media.digikey.com/Photos/Atmel%20Photos/MFG_ATUSB-PCB-80146.jpg,ATUSB-PCB-80146-ND,ATUSB-PCB-80146,Microchip Technology,USB BRIDGE BOARD,58,0,"99.00000","0","1","-","Active","Interface Board","ATtiny10, Hawkeye"
https://www.digi.com/pdf/ds_rabbitnet.pdf,//media.digikey.com/Photos/Rabbit%20Semi%20Photos/20-101-0688.JPG,20-101-0688-ND,20-101-0688,Digi International,CARD D/A EXPANSION RN1300,36,0,"112.00000","0","1","RabbitNet™","Active","RabbitNet D/A Card","RN1300"
https://www.digi.com/pdf/ds_rabbitnet.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/20-101-0612.jpg,602-1555-ND,20-101-0612,Digi International,CARD I/O EXPANSION DGTL RN1100,30,0,"112.00000","0","1","RabbitNet™","Active","RabbitNet I/O Card","RN1100"
http://www.xilinx.com/support/documentation/boards_and_kits/ug537.pdf,//media.digikey.com/Photos/Xilinx%20Photos/HW-FMC-XM105-G.JPG,122-1906-ND,HW-FMC-XM105-G,Xilinx Inc.,FMC XM105 CONNECTIVITY CARD,393,0,"189.80000","0","1","-","Active","Breakout Board","Xilinx FMC-Supported Boards"
//media.digikey.com/pdf/Data%20Sheets/Melexis%20PDFs/MLX_LIN_MASTER.pdf,//media.digikey.com/Photos/Melexis%20Photos/MLX-LIN-MASTER.jpg,MLXLINMASTER-ND,MLX LIN MASTER,Melexis Technologies NV,LIN MASTER FOR BUS-PC USB CONN,44,0,"192.50000","0","1","-","Active","Interface Board","MLX81200"
https://www.melexis.com/-/media/files/documents/datasheets/ptc04-datasheet-melexis.pdf,//media.digikey.com/Photos/Melexis%20Photos/PTC-04-DB-81106.jpg,PTC-04-DB-81106-ND,PTC-04-DB-81106,Melexis Technologies NV,PTC04 DAUGHTERBOARD 81106,48,0,"198.75000","0","1","-","Active","Daughter Board","PTC Devices"
//media.digikey.com/pdf/Data%20Sheets/Microchip%20PDFs/DM320005-5_Web.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DM320005-5.JPG,DM320005-5-ND,DM320005-5,Microchip Technology,MEB-II 4.3"" WQVGA DISPLAY BOARD,37,0,"299.00000","0","1","-","Active","LCD Display","PIC32MZ"
