Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Embedded","Utilized IC / Part","Primary Attributes","Supplied Contents"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bi-Directional-Logic-Level_HookupGuide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-12009.JPG,1568-1209-ND,BOB-12009,SparkFun Electronics,LOGIC LEVEL CONVERTER - BI-DIREC,1188,0,"2.95000","0","1","-","Active","Interface","Logic-Level Translator","No","BSS138","4-Channel (Quad)","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-09118_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-09118.jpg,1568-1279-ND,BOB-09118,SparkFun Electronics,SPARKFUN OPTO-ISOLATOR BREAKOUT,479,0,"4.95000","0","1","-","Active","Interface","Optoisolator","-","ILD213T","-","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/EVAL6235PD_Br.pdf,-,497-10828-ND,EVAL6235PD,STMicroelectronics,EVAL BOARD FOR THE L6235PD,0,0,"Active","0","1","-","Active","Power Management","Motor Controller/Driver","No","L6235","Motors (BLDC)","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-11189_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-11189.JPG,1568-1193-ND,BOB-11189,SparkFun Electronics,TRANSCEIVER BREAKOUT - MAX3232,629,0,"5.95000","0","1","-","Active","Interface","Transceiver, RS-232","No","MAX3232, SP3232","-","Board(s)"
https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC220x_TMC222x_datasheet_Rev1.05.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMC2208_SILENTSTEPSTICK_View-1.jpg,1460-1201-ND,TMC2208 SILENTSTEPSTICK,Trinamic Motion Control GmbH,TMC2208 STEPPER DRIVER BOARD,1342,0,"7.32000","0","1","-","Active","Power Management","Motor Controller/Driver, Stepper","-","TMC2208","-","Board(s)"
https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC2100_datasheet_Rev1.09.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMC-SILENTSTEPSTICK-(top).jpg,1460-1159-ND,TMC SILENTSTEPSTICK,Trinamic Motion Control GmbH,STEPPER MOTOR DRIVER BRD TMC2100,827,0,"7.98000","0","1","-","Active","Power Management","Motor Controller/Driver, Stepper","-","TMC2100","-","Board(s)"
https://github.com/sparkfun/RS-485_Breakout/tree/V_1.0,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-10124.jpg,1568-1589-ND,BOB-10124,SparkFun Electronics,SPARKFUN TRANSCEIVER BREAKOUT -,191,0,"10.95000","0","1","-","Active","Interface","Transceiver, RS-485","-","SP3485","-","Board(s)"
https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC2130_datasheet.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMC-SILENTSTEPSTICK-SPI.jpg,1460-1187-ND,TMC SILENTSTEPSTICK SPI,Trinamic Motion Control GmbH,TMC2130 STEPPER DRIVER BOARD,1956,0,"12.73000","0","1","-","Active","Power Management","Motor Controller/Driver, Stepper","-","TMC2130","-","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-13263_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-13263.jpg,1568-1720-ND,BOB-13263,SparkFun Electronics,SPARKFUN FT231X BREAKOUT,453,0,"12.95000","0","1","USBmadeEZ-FIFO, FT-X, X-Chip","Active","Interface","USB 2.0 to UART","-","FT231X","-","Board(s)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en557585,//media.digikey.com/Photos/Microchip%20Tech%20Photos/ADM00419.jpg,ADM00419-ND,ADM00419,Microchip Technology,BREAKOUT MODULE MCP2210,101,0,"14.99000","0","1","-","Active","Interface","USB to SPI","No","MCP2210","Full Speed (12Mbps)","Board(s), Cable(s)"
https://github.com/sparkfun/OpenLog,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/DEV-13712.jpg,1568-1368-ND,DEV-13712,SparkFun Electronics,OPENLOG,157,0,"15.50000","0","1","-","Active","Memory","Data Logger","Yes, MCU, 8-Bit","ATmega328","-","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-12731_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-12731.JPG,1568-1195-ND,BOB-12731,SparkFun Electronics,USB TO SERIAL BREAKOUT - FT232RL,415,0,"15.95000","0","1","-","Active","Interface","USB 2.0 to UART","No","FT232R","-","Board(s)"
https://github.com/sparkfun/RS232_Shifter_SMD/tree/V_1.5,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/PRT-00449.JPG,1568-1283-ND,PRT-00449,SparkFun Electronics,SPARKFUN RS232 SHIFTER - SMD,302,0,"15.95000","0","1","-","Active","Interface","Transceiver, RS-232","-","-","-","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_UM232H-B.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_UM232H-B.jpg,768-1159-ND,UM232H-B,"FTDI, Future Technology Devices International Ltd",BRD BREAKOUT USB HS FT232H,199,0,"16.49000","0","1","-","Active","Interface","USB 2.0 to Parallel and Serial","No","FT232H","High Speed (480Mbps) Transceiver","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_UB232R.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/UB232R.jpg,768-1022-ND,UB232R,"FTDI, Future Technology Devices International Ltd",MOD USB UART MINI B DEV FT232R,237,0,"17.50000","0","1","-","Active","Interface","USB 2.0 to UART (RS232) Bridge","No","FT232R","Full Speed, 300 Baud to 3 Mbaud, Security ID Number","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_MM232R.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/MM232R.JPG,768-1021-ND,MM232R,"FTDI, Future Technology Devices International Ltd",MOD USB UART MINI DEV FT232R,168,0,"18.00000","0","1","-","Active","Interface","USB 2.0 to UART (RS232/RS422/RS485) Bridge","No","FT232R","Full Speed, Rates of 300 ~ 3 MBaud, Security ID Number","Board(s), Accessories"
https://www.trinamic.com/fileadmin/assets/Products/Eval_Documents/TMC5130A-BOB_datasheet_Rev1.0.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMC5130A-BOB.JPG,1460-1248-ND,TMC5130A-BOB,Trinamic Motion Control GmbH,BREAKOUTBOARD WITH TMC5130A,153,0,"19.95000","0","1","-","Active","Power Management","Motor Controller/Driver, Stepper","-","TMC5130A","Motors (Stepper)","Board(s)"
