Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Module/Board Type","For Use With/Related Products"
http://www.logicalsys.com/datasht/sod6sm18.pdf,//media.digikey.com/Photos/Logical%20Systems%20Photos/MFG_pa-sod6sm18-28.jpg,309-1127-ND,PA-SOD6SM18-28,Logical Systems Inc.,ADAPTER 28SOIC TO 28DIP 600MIL,1281,0,"12.66000","0","1","-","Active","Socket Module - SOIC","-"
http://www.microsemi.com/document-portal/doc_download/129906-ac274-cqfp-to-fbga-adapter-sockets-app-note,//media.digikey.com/photos/Microsemi%20Photos/SK-AX2-CQ352-KITBTM.JPG,1100-1143-ND,SK-AX2-CQ352-KITBTM,Microsemi Corporation,ADAPTER SOCKET CQ352-FG896,26,0,"759.60000","0","1","-","Active","Socket Adapter","RTAX2000S/L-CQ352, AX2000-CQ352, AX2000-FG896"
http://www.microsemi.com/document-portal/doc_download/129906-ac274-cqfp-to-fbga-adapter-sockets-app-note,//media.digikey.com/Photos/Microsemi%20Photos/SK-AX1-AX2-KITTOP.jpg,1100-1142-ND,SK-AX1-AX2-KITTOP,Microsemi Corporation,ADAPTER SOCKET CQ352-FG896,58,0,"873.60000","0","1","-","Active","Socket Adapter","RTAX1000S/L-CQ352, AX1000-CQ352, AX1000-FG896"
http://ww1.microchip.com/downloads/en/AppNotes/Atmel-8170-STK600-Expansion-Routing-and-Socket-Boards_Application-Note_AVR600.pdf,//media.digikey.com/photos/Atmel%20Photos/ATSTK600-UC3A0X-144.JPG,ATSTK600-UC3A0X-144-ND,ATSTK600-UC3A0X-144,Microchip Technology,STK600 SOCKET/EXPANSION 144-TQFP,41,0,"100.33000","0","1","AVR®","Obsolete","Socket Module - TQFP","STK600"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/AC102015.jpg,AC102015-ND,AC102015,Microchip Technology,UNIVERSAL ADAPTER BOARD,13,0,"34.99000","0","1","-","Active","Adapter Board","-"
-,//media.digikey.com/photos/Atmel%20Photos/ATSTK600-ATTINY10.JPG,ATSTK600-ATTINY10-ND,ATSTK600-ATTINY10,Microchip Technology,STK600-ATTINY10 SOCKET PACKAGE,7,0,"34.99000","0","1","AVR®","Active","Socket Module - ATtiny4, 5, 9 and 10","STK600"
https://www.dialog-semiconductor.com/sites/default/files/slg46620r113_04092019.pdf,//media.digikey.com/Photos/Silego/MFG_SLG46620V-SKT.jpg,1827-1019-ND,SLG46620V-SKT,Dialog Semiconductor GmbH,SLG4SA20-20X30 WITH 50 SAMPLES,6,0,"38.25000","0","1","GreenPAK™","Active","Socket Module - QFN","SLG46620"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8756-ATSHA204A-ATAES132A-ATECC108A-ATECC508A-Flyer-E.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_AT88CKSCKTSOIC-XPRO.jpg,AT88CKSCKTSOIC-XPRO-ND,AT88CKSCKTSOIC-XPRO,Microchip Technology,EVALUATION BOARD,35,0,"46.00000","0","1","CryptoAuthentication™","Active","Socket Module - SOIC","ATAES132A, ATECC108A/508A/608A, ATSHA204A"
http://www.logicalsys.com/datasht/16so03.pdf,//media.digikey.com/photos/Logical%20Systems%20Photos/PA8SO1-03-3.jpg,309-1045-ND,PA8SO1-03-3,Logical Systems Inc.,ADAPTER 8-SOIC TO 8-DIP,20,0,"51.00000","0","1","-","Active","Socket Module - SOIC","PIC12(L)C508A, 509A PIC12(L)CE518, 519"
http://www.logicalsys.com/datasht/so108-b.pdf,//media.digikey.com/photos/Logical%20Systems%20Photos/PA28S01-08-3.jpg,309-1023-ND,PA28SO1-08-3,Logical Systems Inc.,ADAPTER 28-SOIC TO 28-DIP,13,0,"59.50000","0","1","-","Active","Socket Module - SOIC","PIC14000  PIC16C55,57,62,63,66,72,73,76,642,773,F872,F873,F876  PIC18C242,252  Z86C(E)(L)30,31,33,34,35,36,83,84  Z86233,733"
