Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Edition","License Length","License - User Details","Operating System","For Use With/Related Products","Media Delivery Type"
-,//media.digikey.com/photos/Raspberry%20Pi/RASPBERRY-PI-NOOBS-16GB.jpg,1690-1002-ND,RASPBERRY PI NOOBS 16GB,Raspberry Pi,16GB SD CARD NOOBS SOFTWARE,178,0,"15.03000","0","1","-","Active","Preloaded","NOOBS","-","-","-","-","Raspberry Pi","SD/microSD/MMC Card"
-,//media.digikey.com/Photos/Initial-State/MFG_InitialStateLogo.jpg,21-10008-ND,21-10008,"Initial State Technologies, Inc.",STD 1 YEAR SERVICE SUBSCRIPTION,192,0,"60.00000","0","1","-","Active","License","-","Standard","1 Year","Unlimited Connections","-","-","Card"
-,//media.digikey.com/Photos/Initial-State/MFG_InitialStateLogo.jpg,21-10011-ND,21-10011,"Initial State Technologies, Inc.",PRO 1 YEAR SERVICE SUBSCRIPTION,80,0,"300.00000","0","1","-","Active","License","-","Professional","1 Year","Unlimited Connections","-","-","Card"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_4057.jpg,1528-2811-ND,4057,Adafruit Industries LLC,ADAFRUIT IO+ 1 YEAR SUBSCRIPTION,99,0,"99.00000","0","1","-","Active","Subscription","-","-","1 Year","-","-","-","Electronically Delivered"
http://www.ccsinfo.com/downloads/PCDReferenceManual.pdf,//media.digikey.com/Photos/Custom%20Computer%20Photos/MFG_Compiler%20with%20screen%20shot.jpg,429-1009-ND,52202-588,Custom Computer Services Inc. (CCS),"PCWHD PIC10,16,18,24, DSPIC",5,0,"537.60000","0","1","-","Active","Compiler","Programming","-","-","1 User","Windows","dsPIC, PIC10, PIC12, PIC16, PIC18, PIC24","CD/DVD"
https://www.analog.com/media/en/dsp-documentation/software-manuals/cces-SWLicensing-guide.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/AD-CCES-NODE-1.jpg,AD-CCES-NODE-1-ND,AD-CCES-NODE-1,Analog Devices Inc.,CORP LIC CCES NODE LOCKED FOR 1,5,164,"1075.40000","0","1","CrossCore® Embedded Studio","Active","Integrated Development Environment (IDE)","Programming","-","No Limit with Exceptions","1 User","Windows XP, Vista, 7, 8","Blackfin®, SHARC®","CD/DVD"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/SW006021-DGL.jpg,SW006021-DGL-ND,SW006021-DGL,Microchip Technology,MPLAB XC8 COMPILER PRO DONGLE LI,5,0,"1495.00000","0","1","-","Active","Compiler","Programming","-","-","-","-","PIC","-"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/SW006022-DGL.JPG,SW006022-DGL-ND,SW006022-DGL,Microchip Technology,MPLAB XC16 COMPILER PRO DONGLE L,5,0,"1495.00000","0","1","-","Active","Compiler","Programming","-","-","-","-","PIC","-"
http://ww1.microchip.com/downloads/en/DeviceDoc/50001686J.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/SW006023-DGL.JPG,SW006023-DGL-ND,SW006023-DGL,Microchip Technology,MPLAB XC32 COMPILER PRO DONGLE L,2,0,"1495.00000","0","1","-","Active","Compiler","Programming","-","-","-","-","PIC","-"
https://www.echelon.com/assets/blt58fedc782f11e44b/Izot_Commissioning_Tool_4.1_Datasheet.pdf,-,1499-1079-ND,38000-401,Echelon Corporation,SOFTWARE COMMISSION TOOL PRO ED,6,0,"1651.98000","0","1","-","Active","Design, Commissioning Tool","Networking","Professional","-","-","-","IzoT","-"
http://www.keil.com/product/brochures/cx51.pdf,//media.digikey.com/Photos/Keil%20Photos/CA51.jpg,CA51-ND,CA51,ARM,KIT COMPILER FOR 8051 MCU FAMILY,2,0,"2000.01000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","-","-","-","Windows Vista, 7, 8","8051","-"
https://www.analog.com/media/en/news-marketing-collateral/product-highlight/644646051VisualDSP___5.0_Product_Highlight.pdf,//media.digikey.com/photos/Analog%20Devices%20Photos/VDSP-BLKFN-PCFULL.jpg,VDSP-BLKFN-PCFULL-ND,VDSP-BLKFN-PC-FULL,Analog Devices Inc.,VDSP BLACKFIN SINGLE PC LICENSE,7,0,"3659.79000","0","1","Visual DSP++™","Active","Integrated Development Environment (IDE)","Programming","-","-","Full","Windows XP, Vista","Blackfin®","CD/DVD"
https://www.analog.com/media/en/news-marketing-collateral/product-highlight/644646051VisualDSP___5.0_Product_Highlight.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/VDSP-SHARC-PC-FULL.jpg,VDSP-SHARC-PC-FULL-ND,VDSP-SHARC-PC-FULL,Analog Devices Inc.,VISUALDSP++ FOR IDE TOOLS SHARC,6,0,"3712.07000","0","1","Visual DSP++™","Active","Integrated Development Environment (IDE)","Programming","-","-","Full","Windows","SHARC®","-"
