Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1)","Resistor - Emitter Base (R2)","DC Current Gain (hFE) (Min) @ Ic, Vce","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Frequency - Transition","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
https://www.rohm.com/datasheet/DTC143EE/dtc143eetl-e,"//media.digikey.com/Renders/Rohm%20Renders/846;SMT3;KA,K;3.jpg",DTC143EKAT146TR-ND,DTC143EKAT146,Rohm Semiconductor,TRANS PREBIAS NPN 200MW SMT3,291000,0,"0.03315","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","30 @ 10mA, 5V","300mV @ 500µA, 10mA","500nA","250MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SMT3"
https://www.rohm.com/datasheet/DTC143EE/dtc143eetl-e,"//media.digikey.com/Renders/Rohm%20Renders/846;SMT3;KA,K;3.jpg",DTC143EKAT146CT-ND,DTC143EKAT146,Rohm Semiconductor,TRANS PREBIAS NPN 200MW SMT3,291943,0,"0.19000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","30 @ 10mA, 5V","300mV @ 500µA, 10mA","500nA","250MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SMT3"
https://www.rohm.com/datasheet/DTC143EE/dtc143eetl-e,"//media.digikey.com/Renders/Rohm%20Renders/846;SMT3;KA,K;3.jpg",DTC143EKAT146DKR-ND,DTC143EKAT146,Rohm Semiconductor,TRANS PREBIAS NPN 200MW SMT3,291943,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","30 @ 10mA, 5V","300mV @ 500µA, 10mA","500nA","250MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SMT3"
https://www.diodes.com/assets/Datasheets/ds30384.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg,DDTD113ZC-7FDITR-ND,DDTD113ZC-7-F,Diodes Incorporated,TRANS PREBIAS NPN 200MW SOT23-3,903000,240000,"0.05313","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","500mA","50V","1 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.diodes.com/assets/Datasheets/ds30384.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg,DDTD113ZC-7FDICT-ND,DDTD113ZC-7-F,Diodes Incorporated,TRANS PREBIAS NPN 200MW SOT23-3,904853,240000,"0.31000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","500mA","50V","1 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.diodes.com/assets/Datasheets/ds30384.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg,DDTD113ZC-7FDIDKR-ND,DDTD113ZC-7-F,Diodes Incorporated,TRANS PREBIAS NPN 200MW SOT23-3,904853,240000,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","500mA","50V","1 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.diodes.com/assets/Datasheets/ds30573.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,DRDNB16WDITR-ND,DRDNB16W-7,Diodes Incorporated,TRANS PREBIAS NPN/DIODE SOT363,27000,0,"0.10395","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased + Diode","600mA","50V","1 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
https://www.diodes.com/assets/Datasheets/ds30573.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,DRDNB16WDICT-ND,DRDNB16W-7,Diodes Incorporated,TRANS PREBIAS NPN/DIODE SOT363,29651,0,"0.38000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased + Diode","600mA","50V","1 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
https://www.diodes.com/assets/Datasheets/ds30573.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,DRDNB16WDIDKR-ND,DRDNB16W-7,Diodes Incorporated,TRANS PREBIAS NPN/DIODE SOT363,29651,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased + Diode","600mA","50V","1 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/digital/dtd123yk.pdf,"//media.digikey.com/Renders/Rohm%20Renders/846;SMT3;KA,K;3.jpg",DTD123YKT146TR-ND,DTD123YKT146,Rohm Semiconductor,TRANS PREBIAS NPN 200MW SMT3,15000,0,"0.10725","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","500mA","50V","2.2 kOhms","10 kOhms","56 @ 50mA, 5V","300mV @ 2.5mA, 50mA","500nA","200MHz","200mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SMT3"
