Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Lamp Type","Lamp Output","Features","Battery Cell Size","Length","Material - Body"
http://data.energizer.com/pdfs/pled23a.pdf,//media.digikey.com/photos/Energizer%20Photos/PLED23AE.jpg,N515-ND,PLED23AEH,Energizer Battery Company,PENLIGHT LED 35LM AAA(2),296,0,"7.80000","0","1","-","Active","Penlight","LED","35 Lumens","Impact Resistant","AAA (Requires 2)","5.72"" (145.3mm)","Aluminum"
-,//media.digikey.com/Photos/Energizer%20Photos/HDBIN32E.jpg,N716-ND,HDBIN32E,Energizer Battery Company,HEADLIGHT LED 150LM AAA(3),110,0,"18.83000","0","1","Vision HD","Active","Headlight","LED","150 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Water Resistant","AAA (Requires 3)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/EVMAG21S.pdf,-,N741-ND,EVMAG21S,Energizer Battery Company,FLASHLIGHT LED 12LM AA(2),143,0,"7.04000","0","1","Eveready®","Active","Standard","LED","50 Lumens","Magnetic","AA (Requires 2)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/PMHH32.pdf,//media.digikey.com/Photos/Energizer%20Photos/EPMHH32E.jpg,N724-ND,EPMHH32E,Energizer Battery Company,FLASHLIGHT LED 75/250 LM AAA(3),35,0,"16.72000","0","1","Vision HD","Active","Standard","LED","75, 250 Lumens","Impact Resistant, Includes Lanyard,  Multiple Modes, Water Resistant","AAA (Requires 3)","3.86"" (98.0mm)","Metal"
https://www.jonard.com/~/media/AB28FB5857AF41FB95DA5C493DB4BEC5.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_FL-2000_0149.jpg,K608-ND,FL-2000,Jonard Tools,FLASHLIGHT LED 120LM AA(1),91,0,"17.57000","0","1","FL","Active","Standard","LED","120 Lumens","Adjustable Brightness, Includes Lanyard","AA (Requires 1)","3.78"" (96.0mm)","Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/TUF2AAPE_Web.pdf,//media.digikey.com/Photos/Energizer%20Photos/MFG_TUF2AAPE.jpg,N516-ND,TUF2AAPE,Energizer Battery Company,FLASHLIGHT LED 20LM AA(2),18,0,"18.36000","0","1","Hard Case Professional®","Active","Standard","LED","250 Lumens","Impact Resistant, Includes Batteries, Shatterproof Lens, Weather Resistant","AA (Requires 2)","6.77"" (172.0mm)","Plastic, Rubber, Steel"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/EPMZH21E.pdf,-,N737-ND,EPMZH21E,Energizer Battery Company,FLASHLIGHT LED 400LM 2AA,84,0,"21.40000","0","1","Vision HD","Active","Standard","LED","400 Lumens","Impact Resistant, Multiple Modes, Water Resistant","AA (Requires 2)","-","Metal"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HCAL41E_Rev2018.pdf,//media.digikey.com/Photos/Energizer%20Photos/MFG_HCAL41E.jpg,N720-ND,HCAL41E,Energizer Battery Company,WORK LIGHT LED 350LM AA(4),32,0,"22.70000","0","1","Hard Case Professional®","Active","Work Light","LED","350 Lumens","Adjustable Brightness, Impact Resistant, Includes Hook, Magnetic, Water Resistant","AA (Requires 4)","11.00"" (279.4mm)","Polymer"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HCHH41E_Rev2018.pdf,//media.digikey.com/Photos/Energizer%20Photos/HCHH41E.jpg,N728-ND,HCHH41E,Energizer Battery Company,FLASHLIGHT LED 400 LUMEN AA(4),22,0,"24.16000","0","1","HardCase® ProjectPro","Active","Standard","LED","400 Lumens","Impact Resistant, Includes Batteries, Waterproof","AA (Requires 4)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HCSW21E_Rev2018.pdf,//media.digikey.com/Photos/Energizer%20Photos/MFG_HCSW21E.JPG,N731-ND,HCSW21E,Energizer Battery Company,FLASHLIGHT LED 300 LUMEN AA(2),27,0,"26.62000","0","1","Hard Case Professional® PivotPro","Active","Standard","LED","300 Lumens","-","AA (Requires 2)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/EPMZH61E.pdf,//media.digikey.com/photos/Energizer%20Photos/MFG_EPMZH61E.JPG,N736-ND,EPMZH61E,Energizer Battery Company,FLASHLIGHT LED 1300LM 6AA,96,0,"26.77000","0","1","Vision HD","Active","Standard","LED","1300 Lumens","Impact Resistant, Multiple Modes, Water Resistant","AA (Requires 6)","-","Metal"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HDD32E.pdf,//media.digikey.com/Photos/Energizer%20Photos/HDD32E.jpg,N718-ND,HDD32E,Energizer Battery Company,HEADLIGHT LED 250LM AAA(3),64,0,"28.73000","0","1","Vision HD+ Focus","Active","Headlight","LED","250 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Water Resistant","AAA (Requires 3)","-","-"
https://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/96470_FlashLights2017_SellSheet_WebReady.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56028.jpg,1742-1223-ND,56028,"Klein Tools, Inc.",FLASHLIGHT WITH WORKLIGHT,33,0,"37.80000","0","1","-","Active","Standard","LED","100, 235 Lumens","Dust Proof, Glow Ring, Impact Resistant, Includes Batteries, Magnetic, Non-Slip, Pocket Clip, Soft Grip, Waterproof","AAA (Requires 3)","4.80"" (122.0mm)","Aluminum"
-,//media.digikey.com/photos/Energizer%20Photos/TUFHD31PE.JPG,N706-ND,TUFHD31PE,Energizer Battery Company,HEADLIGHT LED 325 LUMEN AA(3),58,0,"40.88000","0","1","Hard Case Professional®","Active","Headlight","LED","325 Lumens","Impact Resistant, Includes Batteries, Multiple Modes, Swiveling Head, Water Resistant","AA (Requires 3)","-","Plastic, Rubber, Steel"
-,//media.digikey.com/Photos/Energizer%20Photos/HTKC2BUCS.jpg,N535-ND,HTKC2BUCS,Energizer Battery Company,KEYCHAIN LED 12LUMENS CR2016 (2),35,0,"9.70000","0","1","-","Active","Keychain","LED","12 Lumens","Includes Batteries, Multiple Modes","CR2016 (Requires 2)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/ENCAP22E_Web.pdf,//media.digikey.com/Photos/Energizer%20Photos/ENCAP22E.JPG,N727-ND,ENCAP22E,Energizer Battery Company,HEADLT CLIPON LED 85LM AAA(2),53,0,"11.69000","0","1","-","Active","Headlight, Clip-On","LED","85 Lumens","Includes Batteries, Multiple Modes, Weatherproof","AAA (Requires 2)","-","-"
http://data.energizer.com/pdfs/ms2aaled.pdf,//media.digikey.com/photos/Energizer%20Photos/MS2AALED.jpg,N529-ND,MS2AALED,Energizer Battery Company,FLASHLIGHT CLIPON LED 40LM AA(2),26,0,"13.79000","0","1","Intrinsically Safe™","Active","Standard","LED","40 Lumens","Impact Resistant, Shatterproof Lens, Waterproof","AA (Requires 2)","5.97"" (151.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HDA32E.pdf,//media.digikey.com/Photos/Energizer%20Photos/HDA32E.jpg,N714-ND,HDA32E,Energizer Battery Company,HEADLIGHT LED 80LM AAA(3),43,0,"15.50000","0","1","Vision","Active","Headlight","LED","80 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Swiveling Head","AAA (Requires 3)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HDB32E.pdf,//media.digikey.com/Photos/Energizer%20Photos/HDB32E.JPG,N715-ND,HDB32E,Energizer Battery Company,HEADLIGHT LED 150LM AAA(3),22,0,"18.83000","0","1","Vision HD","Active","Headlight","LED","150 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Shatterproof Lens, Swiveling Head, Water Resistant","AAA (Requires 3)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HDC32E.pdf,//media.digikey.com/Photos/Energizer%20Photos/HDC32E.jpg,N717-ND,HDC32E,Energizer Battery Company,HEADLIGHT LED 200LM AAA(3),10,0,"24.91000","0","1","Vision HD+","Active","Headlight","LED","200 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Water Resistant","AAA (Requires 3)","-","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Illumination.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56221.JPG,1742-1050-ND,56221,"Klein Tools, Inc.",AREA LT 150 LUMEN AAA(3),27,0,"25.20000","0","1","-","Active","Area Light","-","150 Lumens","Impact Resistant, Includes Batteries, Magnetized Clip, Multi-Mode, Non-Slip Grip, Water Resistant","AAA (Requires 3)","-","Rubber"
-,//media.digikey.com/Photos/Energizer%20Photos/HDDIN32E.jpg,N719-ND,HDDIN32E,Energizer Battery Company,HEADLIGHT LED 250LM AAA(3),56,0,"28.73000","0","1","Vision HD+ Focus","Active","Headlight","LED","250 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Water Resistant","AAA (Requires 3)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HD5HP32E.pdf,//media.digikey.com/Photos/Energizer%20Photos/HD5HP32E.jpg,N408-ND,HD5HP32E,Energizer Battery Company,HEADLIGHT LED 200LM AAA(3),51,0,"28.73000","0","1","-","Active","Headlight","LED","200 Lumens","Adjustable Band, Hands Free, Impact Resistant, Includes Batteries, Multiple Modes, Weatherproof","AAA (Requires 3)","-","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Illumination.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56220.JPG,1742-1065-ND,56220,"Klein Tools, Inc.",HEADLIGHT 50/150 LUMEN AAA(3),7,0,"31.50000","0","1","-","Active","Headlight","-","50, 150 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multi-Mode, Swiveling Head","AAA (Requires 3)","-","-"
http://data.energizer.com/pdfs/enffl81e.pdf,//media.digikey.com/Photos/Energizer%20Photos/ENFFL81E.jpg,N711-ND,ENFFL81E,Energizer Battery Company,LANTERN LED 300LM AA(4 OR 8),18,0,"33.66000","0","1","-","Active","Lantern","LED","300 Lumens","Water Resistant","AA (Requires 4 or 8)","7.64"" (194.1mm)","-"
http://data.energizer.com/pdfs/enfat41.pdf,//media.digikey.com/Photos/Energizer%20Photos/ENFAT41E.JPG,N710-ND,ENFAT41E,Energizer Battery Company,AREA LIGHT LED 150LM AA(4),18,0,"33.75000","0","1","-","Active","Standard, Area Light","LED","150 Lumens","Multiple Modes, Swiveling Head, Water Resistant","AA (Requires 4)","7.64"" (194.1mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Energizer%20Battery%20PDFs/HCSP61E_Rev2018.pdf,//media.digikey.com/Photos/Energizer%20Photos/HCSP61E.JPG,N713-ND,HCSP61E,Energizer Battery Company,SPOTLIGHT LED 150/500LM AA(6),21,0,"36.16000","0","1","Hard Case®","Active","Spotlight","LED","150, 500 Lumens","Impact Resistant, Includes Batteries, Multiple Modes, Water Resistant","AA (Requires 6)","12.00"" (304.8mm)","Plastic, Rubber, Steel"
-,//media.digikey.com/Photos/Panasonic%20Photos/BF-AF10B-P%5EA.jpg,P677-ND,BF-AF10B-P/A,Panasonic - BSG,NECK LIGHT LED CR2032 (2),60,0,"15.83000","0","1","-","Active","Neck Light","LED","-","Hands Free, Weatherproof","CR2032 (Requires 2)","10.60"" (269.2mm)","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/82833_CapVisorLight56402_SellSheet_WR.pdf,-,1742-56402-ND,56402,"Klein Tools, Inc.",CAP VISOR LIGHT,50,0,"22.68000","0","1","-","Active","Headlight","LED","125 Lumens","-","AAA (Requires 2)","-","Plastic, Rubber, Steel"
-,-,N742-ND,PMHT2L,Energizer Battery Company,FLASHLIGHT METAL TACTICAL 700 LM,38,0,"32.85000","0","1","-","Active","Standard","LED","-","-","-","-","Aluminum"
-,-,N743-ND,HDE32E,Energizer Battery Company,HEADLIGHT LED 400LM 3AAA,45,0,"36.86000","0","1","-","Active","Headlight","LED","400 Lumens","Adjustable Band, Impact Resistant, Includes Batteries, Multiple Modes, Shatterproof Lens, Swiveling Head, Water Resistant","AAA (Requires 3)","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/82816_ReachgHeadlamp_56034-WebReady.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56034.jpg,1742-1665-ND,56034,"Klein Tools, Inc.",HEADLAMP RECHRG AUTOOFF SLIM,6,0,"47.60000","0","1","*","Active","Headlight","LED","200 Lumens","-","-","2.76"" (70.00mm)","-"
https://dam-assets.fluke.com/s3fs-public/6011167a-en-intrinsically-safe-flashlight-w.pdf,-,614-1489-ND,FL-45 EX,Fluke Electronics,INTRINSICALLY SAFE FLASHLT-45,6,0,"49.99000","0","1","-","Active","Standard","LED","45 Lumens","-","AAA (Requires 2)","5.59"" (142.0mm)","-"
http://multimedia.3m.com/mws/media/1251954O/3mtm-hard-hat-head-lamp-hl100-hl200-hl300is-sell-sheet.pdf,-,3M161627-ND,HL200,3M,150 LUMEN LIGHT WITH FLOOD 1=1PC,10,0,"58.90000","0","1","-","Active","Headlight","-","150 Lumens","Adjustable Band, Includes Batteries, Multiple Modes, Waterproof","AAA (Requires 3)","-","-"
https://dam-assets.fluke.com/s3fs-public/6011167a-en-intrinsically-safe-flashlight-w.pdf,-,614-1490-ND,FL-120 EX,Fluke Electronics,INTRINSICALLY SAFE FLASHLT-120,6,0,"79.99000","0","1","-","Active","Standard","LED","30, 120 Lumens","-","AA (Requires 4)","6.85"" (174.0mm)","-"
https://dam-assets.fluke.com/s3fs-public/6011167a-en-intrinsically-safe-flashlight-w.pdf,-,614-1491-ND,FL-150 EX,Fluke Electronics,INTRINSICALLY SAFE FLASHLT-150,6,0,"99.99000","0","1","-","Active","Standard","LED","60, 150 Lumens","-","AA (Requires 4)","6.77"" (172.0mm)","-"
