Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master-Mite_Brochure.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/10008.jpg,MA1006-ND,10008,Master Appliance Co,HEAT GUN MASTER-MITE 475W,33,0,"111.37000","0","1","Master-Mite®","Active","Heat Gun","-","650°F (343°C)","120V","4.5A","475W","Heat Gun, Stand, Nozzle","-","-","7' Cord","cULus","Canada, United States","Circular - 1.00"" (25.40mm)","3.8 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/6966.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_6966C.jpg,6966C-ND,6966C,Apex Tool Group,HEAT GUN 120V 6966C,101,0,"159.00000","0","1","Weller®","Active","Heat Gun","-","750°F ~ 800°F (399°C ~ 427°C)","120V","-","250W","Heat Gun","-","-","3-Stage Switch, 6' Cord, ESD Safe","cULus","Canada, United States","-","-","Beige"
http://www.steinel.net/customized/uploads/pdfs/UltraheatBrochure.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_34103.jpg,SDL1750-ND,109412902,Steinel America,HEAT GUN VARIABLE TEMP ULTRAHEAT,27,0,"72.60000","0","1","UltraHEAT™ II","Active","Heat Gun","-","140°F ~ 1050°F (60°C ~ 566°C)","120V","-","1400W","Heat Gun","-","-","3-Stage Air Control, 6.5' Cord, Variable Temperature Control","cULus","Canada, United States","-","-","Black"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/photos/steinel%20photos/MFG_34735.jpg,SDL4051-ND,110049738,Steinel America,TOOL HOT AIR HG350ESD,19,0,"128.40000","0","1","-","Active","Heat Gun","-","750°F (399°C)","120V","2.5A","300W","Heat Gun, Nozzle","-","-","6' Cord, Built-In Overhead Hanger, ESD Safe, LED Work Light","cULus","Canada, United States","Circular - 0.75"" (19.05mm)","3.5 CFM","Black"
http://www.steinel.net/Customized/Uploads/ByDate/2016/September_2016/September_15th_2016/Product%20data%20sheet%20HG%202220%20E44502.pdf,//media.digikey.com/Photos/Steinel%20Photos/MFG_HG_2220_E.jpg,SDL4065-ND,110025601,Steinel America,HEATGUN THERMOCOUPLE,8,0,"264.13000","0","1","-","Active","Heat Gun","-","122°F ~ 1112°F (50°C ~ 600°C)","120V","12.5A","1500W","Heat Gun","Heat Shrink Tubing, Plastic Welding, Soldering","-","2-Stage Switch, Adjustable Thumbwheel Temperature Control","cULus","Canada, United States","-","4.0 CFM ~ 12.0 CFM","Black"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1400K.jpg,MA1028-ND,PH-1400K,Master Appliance Co,HEAT GUN PROHEAT LCD DIAL-IN KIT,25,0,"303.43000","0","1","Proheat® LCD PH","Active","Heat Gun Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun, Case, Proloc™ Magnetic Key, 5 Nozzles","-","-","6' Cord, Built-in Base, Safety Lock, Variable LCD Airflow and Temperature Controls/Display with Lock-In","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,//media.digikey.com/Photos/TE%20Connectivity/IR1759-MK4-AT3130-EDCONT.jpg,A132454-ND,IR1759-MK4-AT3130-EDCONT,"TE Connectivity Aerospace, Defense and Marine",IR1759-MK4-AT3130-EDCONT,5,0,"7733.45000","0","1","MiniRay","Active","Infrared Heater Kit","-","932°F (500°C)","21.5V","-","-","Infrared Heater, Non-Timed Control Box, Reflector, Standard V-Block","Infrared Repair Tubing, Shield Terminators and Splicing Products up to 6mm Dia","-","10.2' Cord, 250W Halogen Lamp, Standard Aperture","-","-","-","-","-"
http://cdn.sparkfun.com/datasheets/Tools/Heaterizer-Instructions-02.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-10326.JPG,1568-1602-ND,TOL-10326,SparkFun Electronics,HEATERIZER XL-3000 HEAT GUN,47,0,"13.95000","0","1","-","Active","Heat Gun","-","-","120V","-","300W","Heat Gun","-","-","5.41' Cord","cETLus","Canada, United States","-","-","Black"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/MFG_07062.JPG,SDL1301-ND,07062,Steinel America,NOZZLE REDUCER ATTACHMENT 3/8"",48,0,"15.31000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","Circular - 0.35"" (9.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/07061.jpg,SDL1303-ND,110048646,Steinel America,NOZZLE REDUCER/REFLECTOR 3/8"",11,0,"25.27000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","Circular - 0.35"" (9.00mm)","-","Silver"
