Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Features"
http://documents.mendapump.com/PDF/35175.pdf,//media.digikey.com/photos/Desco%20Photos/35175.JPG,16-1137-ND,35175,MENDA/EasyBraid,KNIFE SLEEVING CUTTER WITH BLADE,409,0,"11.88000","0","1","Menda®","Active","Knife, Sleeving Cutter","Adjustable Stop, Marked Ruler"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/44011.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_44011.jpg,243-1005-ND,44011,Aven Tools,KNIFE PRECISION WITH #11 BLADE,199,0,"6.57000","0","1","Technik","Active","Knife, Precision","Includes #11 Blade, Includes Cover, Soft Grip"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/44205.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_44205.jpg,243-1206-ND,44205,Aven Tools,REPLACEMENT BLADE #11 5PC,217,0,"2.82000","0","1","-","Active","Blade","#11 Blade, Carbon Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/44042.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_44042.jpg,243-1034-ND,44042,Aven Tools,REPLCMT BLADES SCALPEL #11 2 PC,238,0,"3.08000","0","1","Technik","Active","Blade, Scalpel","#11 Blade, Surgical Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/44045.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_44045.jpg,243-1037-ND,44045,Aven Tools,REPLCMT BLADES SCALPEL #23 2 PC,107,0,"3.08000","0","1","Technik","Active","Blade, Scalpel","#23 Blade, Surgical Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/44205S.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_44205S.JPG,243-1015-ND,44205S,Aven Tools,REPLACEMENT BLADE #11 SS 5 PC,131,0,"3.37000","0","1","-","Active","Blade","#11 Blade, Stainless Steel"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/44012.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_44012.jpg,243-1204-ND,44012,Aven Tools,KNIFE PRECISION WITH #11 BLADE,144,0,"3.89000","0","1","Technik","Active","Knife, Precision","Includes #11 Blade, Includes Cover"
http://cdn.techflex.com/assets/pdfs/catalog/cutting-and-install.pdf,//media.digikey.com/photos/Techflex/MFG_SHR0228-AS.jpg,1030-1342-ND,SHR0228-AS,Techflex,CUTTER SHEARS CROSSING BLADES,38,0,"5.16000","0","1","-","Active","Shears (Scissors)","-"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/WK8V.jpg,WK8V-ND,WK8V,Apex Tool Group,KNIFE UTILITY WITH 3 BLADES,44,0,"7.30000","0","1","Wiss®","Active","Knife, Utility","Retractable Blade, Includes Blades"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14508_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-14508.jpg,1568-1807-ND,TOL-14508,SparkFun Electronics,SLICE CRAFT KNIFE,31,0,"13.75000","0","1","-","Active","Knife, Precision","Includes Blades"
https://www.jonard.com/~/media/68B7D74BC11F471184F965C68EFDDFDD.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-186.jpg,K603-ND,JIC-186,Jonard Tools,CUTTER SHEARS TPRD CROSS 6"",87,0,"14.65000","0","1","JIC","Active","Shears (Scissors)","Ergonomic, Serrated Blade, Soft Grips"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinCutleryCatalog_Stamped.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_544.jpg,1742-1390-ND,544,"Klein Tools, Inc.",SCISSOR UTILITY SS 6-3/8"",46,0,"15.52000","0","1","-","Active","Shears (Scissors)","Soft Grips"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinCutleryCatalog_Stamped.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_544KV.jpg,1742-1391-ND,544KV,"Klein Tools, Inc.",SHEAR UTILITY SS 6-3/8"",39,0,"18.03000","0","1","-","Active","Shears (Scissors)","Serrated, Soft Grips"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_KnivesCuttingTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_44130.jpg,1742-1496-ND,44130,"Klein Tools, Inc.",KNIFE UTILITY AUTO LOADING,8,0,"23.92000","0","1","-","Active","Knife, Utility","Auto Loading, Blade Storage, Folding, Quick Release"
http://www.panduit.com/heiler/PartDrawings/C-WDDFCT--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/DFCT.JPG,298-10727-ND,DFCT,Panduit Corp,CUTTER WIRE DUCT STRAIGHT 10.3"",5,0,"128.84000","0","1","-","Active","Wire Duct","-"
http://www.panduit.com/heiler/CatalogCutSheets/DCT%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/DCT.jpg,298-9901-ND,DCT,Panduit Corp,CUTTER WIRE DUCT STRAIGHT 8.31"",12,0,"155.72000","0","1","PANDUCT®","Active","Wire Duct","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Specification+Or+Standard%7F408-35037%7FA%7Fpdf%7FEnglish%7FENG_SS_408-35037_A.pdf,//media.digikey.com/Photos/TE%20Connectivity/MFG_2305570-1.jpg,A130970-ND,2305570-1,TE Application Tooling,"TERMINAL CUTTER, SIDE FEED",19,0,"189.60000","0","1","-","Active","Terminal Cutter","-"
-,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1207585.jpg,277-8230-ND,1207585,Phoenix Contact,CUTTER DIN RAIL STRAIGHT 3.28',2,5,"1825.85000","0","1","PPS","Active","DIN Rail Cutter","Cuts 15mm x 5.5mm, 35mm x 7.5/15mm, DIN Rails"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Cutting_Tools.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9918700000.JPG,281-6203-ND,9918700000,Weidmüller,CUTTER DIN RAIL 10.63"",4,2,"2668.44000","0","1","TSLD","Active","DIN Rail Cutter","Cuts 15mm x 5.5mm, 32mm, 35mm x 7.5/15mm DIN Rails"
