Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Includes","Blade Size","Features"
https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_griplet.pdf,-,609-5576-ND,10131832,Amphenol ICC (FCI),TOOL PUNCHDOWN/INSERTION,6,0,"261.03000","0","1","Griplet™","Active","Punchdown","-","-","-"
-,//media.digikey.com/photos/Conec%20Photos/360X30049X.JPG,626-1335-ND,360X30049X,Conec,TOOL PUNCH DOWN,29,0,"4.49000","0","1","-","Active","Punchdown","Blade, Wire Stripper","-","Fixed Blade"
https://www.jonard.com/~/media/EE06F74DA8894F56A40D661BAA5CC99C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/ENI-110.JPG,K562-ND,ENI-110,Jonard Tools,PUNCHDOWN 110,38,0,"8.48000","0","1","ENI","Active","Punchdown","Blade","110","Reversible"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV001-081.JPG,1742-1125-ND,VDV001-081,"Klein Tools, Inc.",PUNCHDOWN 66/110 W/BLADE AND BIT,10,0,"31.50000","0","1","-","Active","Punchdown","Bits (5), Blade, Nut Driver (2)","66/110","Bit Storage, Reversible, Soft Grip"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/EPD914116.JPG,K567-ND,EPD-914116,Jonard Tools,PUNCHDOWN 66 110 W/BLADE,7,0,"34.59000","0","1","EPD","Active","Punchdown","Blade, Hook/Spludger","66, 110","Blade Storage, Impact Adjustment, Interchangeable Blades"
-,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_EP-16A.jpg,K620-ND,EP-16A,Jonard Tools,PUNCHDOWN BIX W/BLADE,16,0,"44.84000","0","1","EP","Active","Punchdown","Blade","BIX™","Fixed Blade, Impact Adjustment"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-807.JPG,1742-1129-ND,VDV427-807,"Klein Tools, Inc.",PUNCHDOWN 66/110 W/BLADE AND BIT,8,0,"61.18000","0","1","WorkEnds™","Active","Punchdown","Adapter, Bits (4), Blade, Hook, Spudger","66/110","Blade Storage, Impact Adjustment"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/EPD-91466.JPG,K566-ND,EPD-91466,Jonard Tools,PUNCHDOWN 66 W/BLADE,8,0,"34.59000","0","1","EPD","Active","Punchdown","Blade, Hook/Spludger","66","Blade Storage, Impact Adjustment, Interchangeable Blades"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10176000.jpg,1986-1023-ND,10176000,Fluke Networks,110 BLADE,10,0,"19.00000","0","1","-","Active","Blade","Blade","110","-"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10056000.jpg,1986-1028-ND,10056000,Fluke Networks,66 BLADE,10,0,"20.00000","0","1","-","Active","Blade","Blade","66","-"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10176500.jpg,1986-1020-ND,10176500,Fluke Networks,EVERSHARP 110 BLADE,10,0,"25.00000","0","1","*","Active","Blade","Blade","110","-"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/MFG_10056500.jpg,1986-1027-ND,10056500,Fluke Networks,EVERSHARP 66 BLADE,10,0,"25.00000","0","1","*","Active","Blade","Blade","66","-"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10178600.jpg,1986-1021-ND,10178600,Fluke Networks,EVERSHARP 110/66 CUT BLADE,20,0,"36.00000","0","1","*","Active","Blade","Blade","66/110","-"
https://belfuse.com/resources/StewartConnector/CT290005.pdf,//media.digikey.com/photos/Stewart%20Connector%20Photos/2940260-01.JPG,380-1363-ND,2940260-01,Stewart Connector,PUNCH DOWN TOOL FOR SS-60400,10,0,"36.53000","0","1","-","Active","Punchdown","-","110","Blade Storage, Impact Adjustment"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10051501.jpg,1986-1030-ND,10051501,Fluke Networks,D914 IMPACT TOOL 11066ADTL BLD,5,0,"75.00000","0","1","*","Active","Punchdown","-","66, 110","Blade Storage, Impact Adjustment"
http://www.panduit.com/heiler/PartDrawings/C-COGPST-GPSTB--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GPSTB.jpg,298-16281-ND,GPSTB,Panduit Corp,BLADE FOR PUNCHDOWN TOOL,8,0,"81.43000","0","1","GP6™PLUS","Active","Blade","-","-","Reversible"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10061501.jpg,1986-1025-ND,10061501,Fluke Networks,D914S IMPACT TOOL 11066ADTL BL,4,0,"85.00000","0","1","*","Active","Punchdown","-","66, 110","Blade Storage, Impact Adjustment"
https://www.flukenetworks.com/doc_links_pdf/en/edocs/datasheet-jackrapid-termination-tool,-,1986-1006-ND,JR-LEV-2,Fluke Networks,JACKRAPID TERMINATION TOOL (FOR,4,0,"90.00000","0","1","-","Active","Punchdown","Blade, Wire Stripper","-","-"
https://www.flukenetworks.com/doc_links_pdf/en/edocs/datasheet-jackrapid-termination-tool,-,1986-1007-ND,JR-LEV-1,Fluke Networks,JACKRAPID TERMINATION TOOL (FOR,4,0,"90.00000","0","1","-","Active","Punchdown","Blade, Wire Stripper","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV027-813.JPG,1742-1645-ND,VDV027-813,"Klein Tools, Inc.",PUNCHDOWN 66/110 W/BLADE,3,0,"110.06000","0","1","Dura-Blade™","Active","Punchdown","Blade (2), Holster, Marker, Scissors","110, 66/110","Impact Adjustment, Reversible"
http://www.panduit.com/heiler/PartDrawings/C-COPDT110M--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PDT110M.jpg,298-16326-ND,PDT110M,Panduit Corp,FIVE PAIR PUNCHDOWN TOOL,8,0,"203.18000","0","1","Pan-Punch®","Active","Blade","-","110 5-Pair","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/p/pd/pdt/pdt1/pdt110/media/00665-23.PDF,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PDT110.jpg,298-10152-ND,PDT110,Panduit Corp,TOOL PUNCHDOWN & BLADE 110 STYLE,3,0,"251.77000","0","1","-","Active","Punchdown","Blade","110","Blade Storage"
http://www.panduit.com/heiler/PartDrawings/C-COGPDTM-TMB-TMH--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GPDTM.jpg,298-16278-ND,GPDTM,Panduit Corp,PUNCHDOWN MULTI-PAIR W/BLADE,3,0,"262.83000","0","1","GP6™PLUS","Active","Punchdown, Multi-Pair","Blade","-","Reversible"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/46024.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_46024.jpg,46024-ND,46024,Greenlee Communications,BLADE-110,6,0,"23.74000","0","1","-","Discontinued at Digi-Key","Blade","-","110","Reversible"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_3571.jpg,PA3571-ND,PA3571,Greenlee Communications,TOOL SUREPUNCH PDT 110/66 COMBO,31,0,"76.03000","0","1","SurePunch®","Discontinued at Digi-Key","Punchdown","Blade","66/110","Blade Storage, Impact Adjustment, Interchangeable Blades"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,//media.digikey.com/Photos/Greenlee%20Communications/PA3574.jpg,PA3574-ND,PA3574,Greenlee Communications,TOOL SUREPUNCH PDT BIX BLADE,5,0,"88.32000","0","1","Bix®, SurePunch®","Discontinued at Digi-Key","Blade","-","BIX™","-"
https://assets.tripplite.com/product-pdfs/en/n046000.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N046-000.jpg,TL1120-ND,N046-000,Tripp Lite,PUNCH-DOWN CABLE INSTALLAT TOOL,2,0,"30.91000","0","1","-","Active","Punchdown","Blade, Handle","66, 110","Blade Storage, Impact Adjustment, Interchangeable Blades"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/EPD-91461.JPG,K565-ND,EPD-91461,Jonard Tools,PUNCHDOWN 66 110 W/BLADE,5,0,"42.32000","0","1","EPD","Active","Punchdown","Blade, Hook, Spudger","66, 110","Blade Storage, Impact Adjustment, Interchangeable Blades"
http://www.jonard.com/~/media/8CC6CB0148FF402691B9D6F400077E12.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-110.jpg,K735-ND,EPB-110,Jonard Tools,BLADE 110 FOR PUNCHDOWN TOOL,17,0,"10.35000","0","1","EPB","Active","Blade","-","110","Reversible"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/VDV427-014.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427014.JPG,VDV427014-ND,VDV427014,"Klein Tools, Inc.",PUNCHDOWN KRONE W/BLADE,5,0,"11.97000","0","1","-","Active","Punchdown","Blade, Hook, Spludger","Krone®","Impact Adjustment, Panel Sensor"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-104.JPG,VDV427-104-ND,VDV427-104,"Klein Tools, Inc.",BLADE 66/110 FOR PUNCHDOWN TOOL,2,0,"19.40000","0","1","Dura-Blade™","Active","Blade","-","66/110","Reversible"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-015-SEN.JPG,VDV427-015-SEN-ND,VDV427-015-SEN,"Klein Tools, Inc.",BLADE 110 FOR PUNCHDOWN TOOL,2,0,"19.78000","0","1","-","Active","Blade","-","110","Reversible"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-016-SEN.JPG,VDV427-016-SEN-ND,VDV427-016-SEN,"Klein Tools, Inc.",BLADE 66 FOR PUNCHDOWN TOOL,2,0,"19.78000","0","1","-","Active","Blade","-","66","Reversible"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-KRONE.jpg,K736-ND,EPB-KRONE,Jonard Tools,BLADE KRONE FOR PUNCHDOWN TOOL,3,0,"26.87000","0","1","EPB","Active","Blade","-","Krone®","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-800-SEN.JPG,VDV427-800-SEN-ND,VDV427-800-SEN,"Klein Tools, Inc.",PUNCHDOWN 66 W/BLADE,2,0,"48.91000","0","1","-","Active","Punchdown","Blade","66","Blade Storage, Impact Adjustment, Reversible"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-805-SEN.JPG,VDV427-805-SEN-ND,VDV427-805-SEN,"Klein Tools, Inc.",PUNCHDOWN 110 W/BLADE,2,0,"48.91000","0","1","-","Active","Punchdown","Blade","110","Blade Storage, Impact Adjustment, Reversible"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10054000.jpg,1986-1031-ND,10054000,Fluke Networks,D814 IMPACT TOOL,5,0,"49.00000","0","1","*","Active","Punchdown","Blade, Handle","66/110","Blade Storage, Impact Adjustment"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-821.JPG,VDV427-821-ND,VDV427-821,"Klein Tools, Inc.",PUNCHDOWN 66/110 W/BLADE,3,0,"58.74000","0","1","Dura-Blade™","Active","Punchdown","Blade","66/110","Impact Adjustment, Reversible, Soft Grip"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10051000.jpg,1986-1033-ND,10051000,Fluke Networks,D914 IMPACT TOOL,5,0,"59.00000","0","1","*","Active","Punchdown","-","66/110","Blade Storage, Impact Adjustment"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10061810.jpg,1986-1024-ND,10061810,Fluke Networks,D914S IMPACT TOOL 66/110 BLADE,3,0,"65.00000","0","1","*","Active","Punchdown","-","66/110","Blade Storage, Impact Adjustment"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10061000.jpg,1986-1026-ND,10061000,Fluke Networks,D914S IMPACT TOOL,5,0,"69.00000","0","1","*","Active","Punchdown","-","-","Blade Storage, Impact Adjustment"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,//media.digikey.com/Photos/Fluke%20Elect%20Photos/10055501.jpg,1986-1029-ND,10055501,Fluke Networks,D814 IMPACT TOOL 11066ADTL BLD,5,0,"69.00000","0","1","*","Active","Punchdown","Blade, Handle","66, 110","Blade Storage, Impact Adjustment"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV427-822.JPG,VDV427-822-ND,VDV427-822,"Klein Tools, Inc.",PUNCHDOWN 66/110 W/BLADE,2,0,"71.30000","0","1","Dura-Blade™","Active","Punchdown","Blade, Pick, Holster","66/110","Impact Adjustment, Reversible, Soft Grip"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/854-40073.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_PIPT.jpg,PIPT-ND,PIPT,HellermannTyton,PUNCH DOWN INSTALL PLM TL,0,0,"1.63000","0","1","-","Active","Punchdown","-","-","-"
http://www.jonard.com/~/media/011B51C30A97423696360A51DC4BF208.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-116.jpg,EPB-116-ND,EPB-116,Jonard Tools,BLADE 66/110 FOR PUNCHDOWN TOOL,0,0,"10.35000","0","1","EPB","Active","Blade","-","66/110","Reversible"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-66.jpg,EPB-66-ND,EPB-66,Jonard Tools,BLADE 66 FOR PUNCHDOWN TOOL,0,0,"10.35000","0","1","EPB","Active","Blade","-","66","Reversible"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-KR.jpg,EPB-KR-ND,EPB-KR,Jonard Tools,BLADE KRONE FOR PUNCHDOWN TOOL,0,0,"12.12000","0","1","EPB","Active","Blade","-","Krone®","Reversible"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-630.jpg,EPB-630-ND,EPB-630,Jonard Tools,BLADE 630 FOR PUNCHDOWN TOOL,0,0,"13.03000","0","1","EPB","Active","Blade","-","630","Reversible"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Crimping%20Tools.pdf,-,9013960000-ND,9013960000,Weidmüller,ERME 110 PDT (PUNCH DOWN TOOL),0,0,"25.19000","0","1","-","Active","Blade","-","110","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Crimping%20Tools.pdf,-,9013990000-ND,9013990000,Weidmüller,ERME 630 PDT (PUNCH DOWN TOOL),0,0,"25.19000","0","1","-","Active","Blade","-","630","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Crimping%20Tools.pdf,-,9013980000-ND,9013980000,Weidmüller,ERME 66 PDT (PD IMPACT TOOL),0,0,"25.19000","0","1","-","Active","Blade","-","66","-"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/EPD-914.JPG,K563-ND,EPD-914,Jonard Tools,PUNCHDOWN,0,0,"26.61400","0","10","EPD","Active","Punchdown","Hook/Spludger","-","Blade Storage, Impact Adjustment, Interchangeable Blades"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/EPD-914110.JPG,K564-ND,EPD-914110,Jonard Tools,PUNCHDOWN 110 W/BLADE,0,0,"34.59300","0","10","EPD","Active","Punchdown","Blade, Hook/Spludger","110","Blade Storage, Impact Adjustment, Interchangeable Blades"
