Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip Diameter","Shaft Diameter","Length"
http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf,//media.digikey.com/Photos/RAF%20Electronic%20Hardware/P-5-PUNCH.jpg,1772-3348-ND,P-5 PUNCH,RAF Electronic Hardware,PUNCHES,5,18,"137.90000","0","1","-","Active","-","-","-","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_MiningHeavyIndustry.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_4BP10.jpg,4BPSET5-ND,4BPSET5,"Klein Tools, Inc.",BRASS PUNCHES - 5 PC SET,2,0,"160.23000","0","1","-","Active","Parallel Pin Punch, Set of 5","Assorted","Assorted","Assorted"
-,//media.digikey.com/Photos/Wiha/23493.jpg,23493-ND,23493,Wiha,METRIC PARALLEL & TAPERED PUNCH,3,0,"143.46000","0","1","-","Active","Parallel, Tapered Punch, Set of 15","Assorted","Assorted","Assorted"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66310.jpg,66310-ND,66310,"Klein Tools, Inc.",4-1/4 BY 1/4-IN CENTER PUNCH,3,0,"9.61000","0","1","-","Active","Center Punch","-","0.25"" (6.4mm)","4.25"" (108.0mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_SteelConstructionTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_3260.jpg,3260KT-ND,3260,"Klein Tools, Inc.",11/16'' BARREL-TYPE DRIFT PIN,2,0,"9.61000","0","1","-","Active","Drift Pin","0.31"" (7.9mm)","0.69"" (17.5mm)","7.50"" (190.5mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_SteelConstructionTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_3260.jpg,3261KT-ND,3261,"Klein Tools, Inc.",13/16''BARREL-TYPE DRIFT PIN,1,0,"9.84000","0","1","-","Active","Drift Pin","0.44"" (11.1mm)","0.81"" (20.6mm)","8.00"" (203.2mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66310.jpg,66311-ND,66311,"Klein Tools, Inc.",4-1/2 BY 5/16-IN CENTER PUNCH,1,0,"10.11000","0","1","-","Active","Center Punch","-","0.31"" (7.9mm)","4.50"" (114.3mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66323.jpg,66324KT-ND,66324,"Klein Tools, Inc.",PIN PUNCH 5 1/2"" 3/16 DIA,4,0,"10.56000","0","1","-","Active","Parallel Pin Punch","0.19"" (4.8mm)","-","5.50"" (139.7mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66310.jpg,66312-ND,66312,"Klein Tools, Inc.",5 BY 3/8-IN CENTER PUNCH,2,0,"10.56000","0","1","-","Active","Center Punch","-","0.39"" (10.0mm)","5.00"" (127.0mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66323.jpg,66323KT-ND,66323,"Klein Tools, Inc.",PIN PUNCHES,2,0,"10.56000","0","1","-","Active","Parallel Pin Punch","0.16"" (4.0mm)","-","5.25"" (133.4mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66320.jpg,1742-1274-ND,66322,"Klein Tools, Inc.",5-IN PIN PUNCH WITH 1/8-IN POINT,18,0,"11.13000","0","1","-","Active","Parallel Pin Punch","0.13"" (3.2mm)","-","5.00"" (127.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66320.jpg,66325KT-ND,66325,"Klein Tools, Inc.",7-IN LENGTH PIN PUNCH 1/4-IN POI,1,0,"11.13000","0","1","-","Active","Parallel Pin Punch","0.25"" (6.4mm)","-","7.00"" (177.8mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_SteelConstructionTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_3260.jpg,3262-ND,3262,"Klein Tools, Inc.",15/16'' BARREL-TYPE DRIFT PIN,1,0,"11.27000","0","1","-","Active","Drift Pin","0.50"" (12.7mm)","0.94"" (23.8mm)","8.00"" (203.2mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66320.jpg,66321KT-ND,66321,"Klein Tools, Inc.",4-3/4-IN PIN PUNCH WITH 3/32-IN,2,0,"11.76000","0","1","-","Active","Parallel Pin Punch","0.09"" (2.4mm)","-","4.75"" (120.7mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66313.jpg,66313-ND,66313,"Klein Tools, Inc.",CENTER PUNCHES,2,0,"12.22000","0","1","-","Active","Center Punch","-","0.51"" (13.0mm)","6.00"" (152.4mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66320.jpg,66320KT-ND,66320,"Klein Tools, Inc.",4-1/4-IN PIN PUNCH WITH 1/16-IN,1,0,"12.69000","0","1","-","Active","Parallel Pin Punch","0.06"" (1.6mm)","-","4.25"" (108.0mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_SteelConstructionTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_3260.jpg,3263KT-ND,3263,"Klein Tools, Inc.",1-1/16'' BARREL-TYPE DRIFT PIN,1,0,"14.88000","0","1","-","Active","Drift Pin","0.56"" (14.3mm)","1.06"" (27.0mm)","8.00"" (203.2mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66340.jpg,66340KT-ND,66340,"Klein Tools, Inc.",8-IN DRIFT PUNCHES,2,0,"15.50000","0","1","-","Active","Tapered Punch","0.12"" (3.0mm)","-","8.00"" (203.2mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66340.jpg,66342-ND,66342,"Klein Tools, Inc.",9-IN DRIFT PUNCHES,2,0,"17.94000","0","1","-","Active","Tapered Punch","0.20"" (5.0mm)","-","9.00"" (228.60mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66344.jpg,66344-ND,66344,"Klein Tools, Inc.",DRIFT PUNCHES,2,0,"19.89000","0","1","-","Active","Tapered Punch","0.31"" (8.0mm)","-","11.00"" (279.4mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HammersChiselsPunches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66343.jpg,66343-ND,66343,"Klein Tools, Inc.",11-IN DRIFT PUNCH,2,0,"20.63000","0","1","-","Active","Tapered Punch","0.24"" (6.0mm)","-","11.00"" (279.4mm)"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HVAC.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_66400.jpg,66400-ND,66400,"Klein Tools, Inc.",6-IN-1 SWAGING PUNCH,1,0,"29.72000","0","1","-","Active","Swaging Punch","0.19"" ~ 0.63"" (4.8mm ~ 15.9mm)","-","5.20"" (132.1mm)"
