Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Size","Drive Size","Length","Features"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Sockets.pdf,//media.digikey.com/Photos/Wiha/MFG_72001.jpg,431-1375-ND,72001,Wiha,SOCKET IMPACT 6 PT 1/4"" 1.00"",107,0,"7.06000","0","1","-","Active","Socket, Impact","6 Point Socket","1/4""","1/4""","1.00"" (25.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Sockets.pdf,//media.digikey.com/photos/Wiha/mfg713%20fourth%20series.jpg,431-1171-ND,71301,Wiha,SOCKET HEX 1.5MM 1.50"",40,0,"5.22000","0","1","-","Active","Socket","Hex","1.5mm","1/4""","1.50"" (38.1mm)","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/09990000370_100090796DRW004A.pdf,-,1195-8549-ND,09990000370,HARTING,SOCKET HEX SW4 3.94"",10,0,"52.87000","0","1","-","Active","Socket","Hex","SW4","3/8""","3.94"" (100.0mm)","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/09990000371_100090797DRW004A.pdf,//media.digikey.com/Photos/Harting/MFG_09990000371.jpg,1195-8057-ND,09990000371,HARTING,SOCKET HEX SW5 3.94"",8,0,"53.77000","0","1","-","Active","Socket","Hex","SW5","3/8""","3.94"" (100.0mm)","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/09990000372_100090795DRW004A.pdf,//media.digikey.com/Photos/Harting/09990000372.JPG,1195-8550-ND,09990000372,HARTING,SOCKET HEX SW8 4.72"",10,0,"54.33000","0","1","-","Active","Socket","Hex","SW8","3/8""","4.72"" (120.0mm)","-"
https://www.jonard.com/~/media/1F45EB28077945CF94866642D48B9014.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_TWSW-10SK.jpg,K726-ND,TWSW-10SK,Jonard Tools,"TORQUE WR,SWIVEL HEAD, 10IN/LB W",10,0,"63.63000","0","1","*","Active","-","-","-","-","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_3238.jpg,3238KT-ND,3238,"Klein Tools, Inc.",HANDLE BLACK FINISH RATCHET 15"",2,0,"101.71000","0","1","-","Active","Handle","-","-","1/2""","15.00"" (381.0mm)","Black Finish, Ratcheting, Reversible"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_NRHD.jpg,NRHD-ND,NRHD,"Klein Tools, Inc.",SOCKET IMPACT 3IN1 7.75"",8,0,"162.82000","0","1","-","Active","Socket, Impact","-","3/4"", 1"", 1-1/8""","7/16""","7.75"" (196.9mm)","3-in-1, Adapter, Hollow Shaft"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_NRHD4.JPG,NRHD4-ND,NRHD4,"Klein Tools, Inc.","4-IN-1 SQUARE IMPACT SOCKET, 3/4",2,0,"193.75000","0","1","-","Active","Socket, Impact","Square","3/4"", 13/16"", 1"", 1-1/8""","1/2""","1.10"" (27.9mm)","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_NRHD3.jpg,NRHD3-ND,NRHD3,"Klein Tools, Inc.",SOCKET IMPACT 3 SQUARE 3IN1 10"",2,0,"243.89000","0","1","-","Active","Socket, Impact","Square","3/4"", 1"", 1-1/8""","7/16""","10.00"" (254.0mm)","3-in-1, Adapter, Hollow Shaft"
