Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Digi-Key%20PDFs/PCB-RULER-12INCH_Rev_2016.pdf,//media.digikey.com/Photos/Digi-Key%20Photos/PCB-RULER-12INCH.JPG,PCB-RULER-ND,PCB-RULER-12INCH,Digi-Key Electronics,PCB LAYOUT REFERENCE RULER 12"",11126,0,"4.95000","0","1","-","Active","Ruler","Printed Circuit Boards"
//media.digikey.com/PDF/Data%20Sheets/TPI%20PDFs/3C301.pdf,//media.digikey.com/Photos/TPI%20Photos/MFG_3C301-NB.jpg,290-1957-ND,3C301-NB,TPI (Test Products Int),CALIPER 6"" ELECT DGTL STEEL,562,814,"33.97000","0","1","-","Active","Digital Caliper","Measurements"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-13114_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/TOL-13114.JPG,1568-1132-ND,TOL-13114,SparkFun Electronics,TOOL RESISTOR LEAD BENDING,152,0,"4.80000","0","1","-","Active","Lead Forming Tool","Resistors"
http://www.tensility.com/pdffiles/55-00096.pdf,//media.digikey.com/Photos/Tensility%20Intl/MFG_55-00096.JPG,839-1444-ND,55-00096,Tensility International Corp,TOOL FOR PWR PLUG ASSEM,453,0,"5.92000","0","1","-","Active","Assembly Tool","-"
http://documents.desco.com/PDF/35250.pdf,//media.digikey.com/photos/Desco%20Photos/35250.JPG,16-1138-ND,35250,MENDA/EasyBraid,THREADER WIRE FOR HARNESS,182,0,"6.44000","0","1","Menda®","Active","Wire Threader (Spoon)","Wire Harnesses"
http://www.amphenol-industrial.com/images/datasheets/IDS-39%20H4%20Panel%20Connector.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_H4TW0001.jpg,956-1011-ND,H4TW0001,Amphenol Industrial Operations,WRENCH TOOL H4,314,0,"8.05000","0","1","Helios H4","Active","Wrench","Photovoltaic (Solar Panel) Connectors"
https://industrial.omron.us/en/media/Gotcha_Stick_Flyer_EN_201602_S47IE01_tcm849-83496.pdf,//media.digikey.com/Photos/Omron%20Auto/MFG_88050-0090_View1.jpg,Z7828-ND,88050-0090,Omron Automation and Safety,GOTCHA STICK SAFETY TRAINER,477,0,"15.82000","0","1","-","Active","Ruler","Measurements"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3019_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3019.jpg,1528-2298-ND,3019,Adafruit Industries LLC,THIRD HAND PANA HAND WORKSTATION,62,0,"68.69000","0","1","-","Active","Third Hand","PanaVise, PanaVise Jr, Printed Circuit Boards"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1554.JPG,1528-1024-ND,1554,Adafruit Industries LLC,PCB RULER 6"",431,0,"4.95000","0","1","-","Active","Ruler","Printed Circuit Boards"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/WihaCat2004.pdf,//media.digikey.com/Photos/Wiha/MFG_40010.jpg,431-1056-ND,40010,Wiha,MAGNETIZER/DEMAGNETIZER 2""X2""X1"",103,0,"6.10000","0","1","-","Active","Magnetizer/Demagnetizer","Steel Tools, Small Parts"
-,//media.digikey.com/Photos/Amphenol%20Photos/H4TW0002.JPG,956-1041-ND,H4TW0002,Amphenol Industrial Operations,HELIOS H4 SOLAR CONNECTOR WRENCH,204,0,"6.97000","0","1","Helios H4","Active","Wrench","Photovoltaic (Solar Panel) Connectors"
-,-,WM23597-ND,0867730011,Molex,PROTECTIVE TUBING (MU),150,1600,"2.90000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0428_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_PIS-0428_A.jpg,1910-1050-ND,PIS-0428,Pi Supply,RASPIO GPIO RULER,102,0,"9.28000","0","1","-","Active","Ruler","Measurements"
