Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Jaw Opening","Features"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/201%20Drawing.pdf,//media.digikey.com/photos/Panavise%20Photos/201.jpg,201PV-ND,201,Panavise,VISE 2.88"" GROOVED JAWS,200,0,"29.99000","0","1","PV Jr","Active","Vise","2.88"" (73.0mm)","Grooved Jaws"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/301%20Drawing.pdf,//media.digikey.com/photos/Panavise%20Photos/301.jpg,301PV-ND,301,Panavise,VISE 2.25"" NYLON JAWS,108,0,"54.99000","0","1","325","Active","Vise","2.25"" (57.2mm)","Nylon Jaws"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/396%20Drawing.pdf,//media.digikey.com/photos/Panavise%20Photos/396.jpg,396PV-ND,396,Panavise,VISE 6"" RIBBED NEOPRENE JAWS,106,0,"69.99000","0","1","-","Active","Vise","6.00"" (152.4mm)","Ribbed Neoprene Jaws"
-,//media.digikey.com/Photos/Panavise%20Photos/MFG_381.jpg,381PV-ND,381,Panavise,VISE 2.25"" NYLON JAWS VAC PAD,115,0,"74.99000","0","1","-","Active","Vise","2.25"" (57.1mm)","Nylon Jaws, Vacuum Pad"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/Prod%20Cat%202006.pdf#page=22,//media.digikey.com/Photos/Panavise%20Photos/MFG_333.jpg,333PV-ND,333,Panavise,VISE 12"" NOTCHED BLADES,36,0,"97.99000","0","1","-","Active","Vise","12.00"" (304.8mm)","Notched Blades"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/350%20Drawing.pdf,//media.digikey.com/photos/Panavise%20Photos/350.jpg,350PV-ND,350,Panavise,VISE 9"" RIBBED NEOPRENE JAWS,101,0,"99.99000","0","1","-","Active","Vise","9.00"" (228.6mm)","Ribbed Neoprene Jaws"
//media.digikey.com/pdf/Data%20Sheets/PanaVise%20PDFs/Prod%20Cat%202006.pdf#page=16,//media.digikey.com/photos/Panavise%20Photos/324.jpg,324PV-ND,324,Panavise,VISE 12"" PARTS TRAY,27,0,"99.99000","0","1","-","Active","Vise","12.00"" (304.8mm)","Parts Tray"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2459_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2459.jpg,1528-2170-ND,2459,Adafruit Industries LLC,TOGGLE CLAMP - SMALL FLIP-DOWN S,159,0,"3.95000","0","1","-","Active","Toggle Clamp","-","Rubber Tip"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2456_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2456.jpg,1528-2167-ND,2456,Adafruit Industries LLC,TOGGLE CLAMP - MEDIUM FLIP-UP ST,158,0,"3.95000","0","1","-","Active","Toggle Clamp","-","Rubber Tip"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2457_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2457.jpg,1528-2168-ND,2457,Adafruit Industries LLC,TOGGLE CLAMP - LARGE SIZE - 201B,136,0,"4.95000","0","1","-","Active","Toggle Clamp","-","Rubber Tip"
