Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Cut Edge","Length - Overall","Features"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_170MN.jpg,170MN-ND,170MN,Apex Tool Group,CUTTER SIDE TAPERED FLUSH 5"",3314,0,"9.00000","0","1","Xcelite®","Active","Side (Diagonal)","Tapered","Flush","5.00"" (127.0mm)","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D275-5.JPG,1742-1083-ND,D275-5,"Klein Tools, Inc.",CUTTER SIDE TAPERED FLUSH 5"",120,0,"13.41000","0","1","-","Active","Side (Diagonal)","Tapered","Flush","5.00"" (127.0mm)","Ergonomic, Soft Grips"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_1178MN.jpg,1178MN-ND,1178MN,Apex Tool Group,CUTTER SIDE OVAL FLUSH 5.63"",374,0,"15.30000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Flush","5.63"" (143.0mm)","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MS54V.JPG,MS54VN-ND,MS54VN,Apex Tool Group,CUTTER SIDE OVAL SEMI-FLUSH 4"",673,0,"24.20000","0","1","Xcelite®","Active","Side (Diagonal)","Oval","Semi Flush","4.00"" (101.6mm)","ESD Safe"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_MS543JVN.jpg,MS543JVN-ND,MS543JVN,Apex Tool Group,CUTTER SIDE TAPERED FLUSH 4"",342,0,"25.30000","0","1","Xcelite®","Active","Side (Diagonal)","Tapered, Relieved","Flush","4.00"" (101.6mm)","ESD Safe"
http://www.weller.com.pl/public/assets/Weller_2014_en.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/2432E.JPG,2432E-ND,2432E,Apex Tool Group,CUTTER SIDE OVAL SPR FL FLUSH 5"",151,0,"78.00000","0","1","Erem®","Active","Side (Diagonal)","Oval","Super Full Flush","5.00"" (127.0mm)","Ergonomic"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/T776E.JPG,776E-ND,776E,Apex Tool Group,CUTTER SIDE TPRD SPR FULL FLUSH,45,0,"99.00000","0","1","Erem®","Active","Side (Diagonal)","Tapered, Relieved","Super Full Flush","4.25"" (108.0mm)","-"
https://hakko-production-images.s3.amazonaws.com/production/digital_catalog/pub/CHP_Catalog_2016_Web.pdf,//media.digikey.com/Photos/Hakko/MFG_CHP-170.jpg,1691-1037-ND,CHP-170,"American Hakko Products, Inc.",CUTTER SIDE TAPERED FLUSH,2175,0,"4.47000","0","1","CHP","Active","Side (Diagonal)","Tapered","Flush","-","Soft Grips"
http://cnctech.us/pdfs/DL-501.pdf,//media.digikey.com/Photos/CnC%20Tech/DL-501.JPG,1175-1278-ND,DL-501,CNC Tech,CUTTER CABLE OVAL CROSSING 6.7"",117,0,"12.16000","0","1","DL","Active","Cable","Oval","-","6.70"" (170.2mm)","Safety Clips"
-,//media.digikey.com/photos/Swanstrom%20Photos/515.jpg,232-1016-ND,515,Swanstrom Tools USA,CUTTER SIDE TAPERED FLUSH 5"",155,0,"35.80000","0","1","Spartan","Active","Side (Diagonal)","Tapered","Flush","5.00"" (127.0mm)","ESD Safe"
