Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cable Type","Features"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-1626.jpg,K598-ND,JIC-1626,Jonard Tools,WIRE STRIPPER 16-26 AWG,305,0,"9.85000","0","1","JIC","Active","Single Level Stripper, Multiple Presets","16~26 AWG","Spring Loaded"
https://www.jonard.com/~/media/0E659D7A0696452897763215DF8A56AB.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-2030.jpg,K604-ND,JIC-2030,Jonard Tools,WIRE STRIPPER 20-30 AWG,178,0,"9.85000","0","1","JIC","Active","Single Level Stripper, Multiple Presets","20~30 AWG","Spring Loaded"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Strippers_Cutters_Crimpers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_11046.JPG,1742-1146-ND,11046,"Klein Tools, Inc.",WIRE STRIPPER/CUTTER (16-26 AWG,116,0,"18.68000","0","1","-","Active","Stripper and Cutter","16~26 AWG - Stranded","Spring Loaded"
https://www.molex.com/pdm_docs/ats/ATS-638170000.pdf,//media.digikey.com/Photos/Molex/0638170000.JPG,WM9969-ND,0638170000,Molex,TOOL HAND STRIPPER 8-34AWG,78,90,"93.56000","0","1","-","Active","Stripper and Cutter","8~34 AWG","Adjustable Strip Lengths"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/SAS3210.jpg,SAS3210-ND,SAS3210,Apex Tool Group,TOOL WIRE STRIPPER 10-32AWG,136,0,"95.00000","0","1","Xcelite®","Active","Single Level Stripper, Self-Adjusting","10~32 AWG","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/9005000000.pdf,//media.digikey.com/Photos/Weidmuller/9005000000.JPG,281-3042-ND,9005000000,Weidmüller,TOOL WIRE STRIPPER 28-10AWG,111,79,"100.29000","0","1","-","Active","Single Level Stripper, Adjustable","PVC Cable, 10~28 AWG","Fixed Strip Length"
http://www.timesmicrowave.com/documents/resources/Installation%20Tools.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/CST-400.jpg,1946-1019-ND,CST-400,Amphenol Times Microwave Systems,PREP TOOL FOR LMR-400,39,0,"100.57000","0","1","-","Active","Multi-Level Stripper, 3 Step","Coax LMR-400","Spiral Cut"
https://www.jonard.com/~/media/6E36E75911134FD380D72369ED0E805D.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/JIC-1022.jpg,K521-ND,JIC-1022,Jonard Tools,WIRE STRIPPER/CUTTER 10-22AWG,190,0,"9.85000","0","1","JIC","Active","Single Level Stripper, Multiple Presets","10~22 AWG","Adjustable Strip Lengths"
http://www.timesmicrowave.com/documents/resources/Installation%20Tools.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/CST-240A.jpg,1946-1018-ND,CST-240A,Amphenol Times Microwave Systems,PREP TOOL FOR LMR-240,58,0,"98.82000","0","1","-","Active","Multi-Level Stripper, 3 Step","Coax LMR-240","Spiral Cut"
https://www.hakkousa.com/files/index/download/id/17769/,//media.digikey.com/photos/Hakko/G2-1601.JPG,1691-1086-ND,G2-1601,"American Hakko Products, Inc.","BLADE,LONG,STRAIGHT,PAIR,FT-801",61,0,"136.47000","0","1","G2","Active","Accessory, Blade","-","For FT-801 Stripper"
https://www.hakkousa.com/files/index/download/id/17769/,//media.digikey.com/photos/Hakko/G2-1603.JPG,1691-1088-ND,G2-1603,"American Hakko Products, Inc.","BLADE,LONG,26-36 AWG,PAIR,FT-801",50,0,"136.47000","0","1","G2","Active","Accessory, Blade","26~36 AWG Cable","For FT-801 Stripper"
-,//media.digikey.com/photos/Patco%20Service%20Photos/0010-001.jpg,PTS-101-ND,0010-001,Patco Services Inc,REPLACEMENT BLADE FOR PTS-10,127,0,"4.90000","0","1","-","Active","Accessory, Replacement Blade","-","-"
-,//media.digikey.com/photos/Seeed%20Technology%20Ltd/MFG_404080001.jpg,1597-1537-ND,404080001,"Seeed Technology Co., Ltd",WIRE STRIPPERS,197,0,"5.00000","0","1","-","Active","Single Level Stripper, Multiple Presets","20~30 AWG Cable","-"
http://www.molex.com/pdm_docs/ats/638171200-000.pdf,-,WM19362-ND,0638171200,Molex,WIRE STRIPPER RIGHT ANGLE,27,60,"109.15000","0","1","T9999","Active","Single Level Stripper, Adjustable","8~34 AWG","Adjustable Strip Lengths"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_1161.jpg,PA1161-ND,PA1161,Greenlee Communications,TOOL STRIPPER WIRE MULTIPURPOSE,680,0,"8.98000","0","1","-","Discontinued at Digi-Key","Single Level Stripper, Adjustable","10~30 AWG Wire, Fiber Optic Cable","-"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/70057.pdf,//media.digikey.com/Photos/Greenlee%20Communications/PA70057.JPG,PA70057-ND,PA70057,Greenlee Communications,WIRE STRIPPER DATASHARK 30-20AWG,188,0,"12.86000","0","1","Data Shark","Discontinued at Digi-Key","-","-","-"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,//media.digikey.com/photos/Greenlee%20Communications/PA1118.JPG,PA1118-ND,PA1118,Greenlee Communications,TOOL WIRE CUT/STRIPPER 30-20AWG,238,0,"19.32000","0","1","GripP","Discontinued at Digi-Key","Single Level Stripper, Multiple Presets","20~30 AWG Cable","-"
//media.digikey.com/PDF/Data%20Sheets/Paladin%20PDFs/70058.pdf,//media.digikey.com/Photos/Greenlee%20Communications/PA70058.JPG,PA70058-ND,PA70058,Greenlee Communications,"WIRE STRIPPERS 22-10, 30-20AWG",204,0,"21.88000","0","1","-","Discontinued at Digi-Key","Single Level Stripper, Multiple Presets","10~30 AWG Wire","Set (2)"
//media.digikey.com/PDF/Data%20Sheets/Paladin%20PDFs/1123.pdf,//media.digikey.com/Photos/Greenlee%20Communications/PA1123.JPG,PA1123-ND,PA1123,Greenlee Communications,GRIPP 10&20 CUTTER/STRIP BUNDLE,241,0,"33.17000","0","1","GripP","Discontinued at Digi-Key","Single Level Stripper, Multiple Presets","10~30 AWG Wire, ROMEX® Wire","Set (2)"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/PA1113_Web.pdf,//media.digikey.com/Photos/Greenlee%20Communications/PA1113.JPG,PA1113-ND,PA1113,Greenlee Communications,WIRE STRIP/CUTTER PRO6 28-10AWG,33,0,"123.87000","0","1","stripax®","Discontinued at Digi-Key","Single Level Stripper, Adjustable","10~28 AWG","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Strippers_Cutters_Crimpers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_11057.JPG,1742-1270-ND,11057,"Klein Tools, Inc.",WIRE STRIPPER/CUTTER,77,0,"28.04000","0","1","Klein-Kurve®","Active","Stripper and Cutter","20~30 AWG - Solid, 22~32 AWG - Stranded","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/ST-550.jpg,K276-ND,ST-550,Jonard Tools,TOOL ADJ WIRE STRIPPER 18 28 AWG,87,0,"39.14000","0","1","-","Active","Single Level Stripper, Multiple Presets","18~28 AWG Cable","Adjustable Strip Lengths"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Strippers_Cutters_Crimpers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_11063W.JPG,1742-1381-ND,11063W,"Klein Tools, Inc.",WIRE STRIPPER/CUTTER,88,0,"40.23000","0","1","Katapult®","Active","Single Level Stripper, Self-Adjusting","8~20 AWG - Solid, 10~22 AWG - Stranded","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/SAS3210TRB.JPG,SAS3210TRB-ND,SAS3210TRB,Apex Tool Group,REPLACLEMENT BLADE FOR SAS3210,76,0,"40.50000","0","1","Xcelite®","Active","Accessory, Replacement Blade","12~28 AWG","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/ST-450.JPG,K545-ND,ST-450,Jonard Tools,WIRE STRIPPER 26-36AWG,59,0,"44.04000","0","1","-","Active","Single Level Stripper, Adjustable","26~36 AWG Cable","-"
https://www.jonard.com/~/media/1AF242C68DA34BA2AAE5576AF079B08A.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_CST-1900.jpg,K619-ND,CST-1900,Jonard Tools,ROUND CABLE STRIPPER,8,0,"52.87000","0","1","-","Active","Single Level Stripper, Adjustable","4.5mm ~ 29mm Cable Diameter","-"
https://www.jonard.com/~/media/2919B9B377E84D43AF416E34D11E8135.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_WS-5.jpg,K640-ND,WS-5,Jonard Tools,WIRE STRIPPER/CUTTER 10-30 AWG,41,0,"8.33000","0","1","-","Active","Single Level Stripper, Adjustable","10~30 AWG - Solid and Stranded","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Strippers_Cutters_Crimpers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_1003.JPG,1742-1456-ND,1003,"Klein Tools, Inc.",WIRE STRIPPER-CUTTER,50,0,"11.74000","0","1","-","Active","Stripper and Cutter","12~26 AWG - Solid, and Stranded","Compact"
