Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products"
http://www.panduit.com/heiler/PartDrawings/C-CTGTSE--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GTS-E.jpg,298-10589-ND,GTS-E,Panduit Corp,CABLE TIE HAND TOOL,102,0,"194.06000","0","1","-","Active","Gun","Ergonomic, Adjustable Tension, Automatic Tie Cutter","Subminiature, Miniature, Intermediate and Standard Cable Ties"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/07-022-295-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/110-70083.jpg,1436-1478-ND,110-70083,HellermannTyton,EVO 7 MECH TOOL HAND SPAN 3.5"",43,0,"365.34000","0","1","EVO®","Active","Gun","Ergonomic, Tension Lock, Tie Cutter","Cable Ties 18-80 lb; up to 0.189"" (4.80mm) Width"
http://www.panduit.com/heiler/PartDrawings/C-CTGS2B-GSB-00275A-CD-13--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/GS2B.jpg,298-1098-ND,GS2B,Panduit Corp,TOOL CABLE TIE,50,0,"363.00000","0","1","-","Obsolete","Gun","Adjustable Tension, Automatic Tie Cutter","Miniature, Intermediate, and Standard Ties; 0.100"" ~ 0.190"" (2.54mm ~ 4.83mm) Width"
http://www.panduit.com/heiler/PartDrawings/C-CTGTHE--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GTH-E.jpg,298-10711-ND,GTH-E,Panduit Corp,TOOL CABLE TIE GUN,9,0,"299.95000","0","1","-","Active","Gun","Ergonomic, Adjustable Tension, Automatic Tie Cutter","Standard, Heavy Standard, Light Heavy, and Heavy Ties"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/07-022-295-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/110-70084.jpg,1436-1479-ND,110-70084,HellermannTyton,EVO 7SP TOOL SHRT HAND SPAN 3.1"",13,0,"365.34000","0","1","EVO®","Active","Gun","Ergonomic, Short Hand Span, Tension Lock, Tie Cutter","Cable Ties 18-80 lb; up to 0.189"" (4.80mm) Width"
http://wpc.ac62.edgecastcdn.net/00AC62/documents/manuals/EVO_Manual_US_MAN.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/110-80000.JPG,1436-1686-ND,110-80000,HellermannTyton,EVO-9 CABLE TIE TOOL,10,0,"406.59000","0","1","EVO®","Active","Gun","Ergonomic, Tension Lock, Tie Cutter","Cable Ties 50-250 lbs; up to 0.512"" (13.00mm) Width"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/110-95000.pdf,//media.digikey.com/photos/HellermannTyton%20Photos/MK9SST.JPG,1436-1252-ND,MK9SST,HellermannTyton,MARK 9 SS TOOL FOR SS,12,0,"806.47000","0","1","Mark 9","Active","Gun","Ergonomic, Adjustable Tension, Tie Cutter","MBT Stainless Steel Cable Ties"
http://www.panduit.com/heiler/ProductBulletins/D-SSCB01--WW-ENG-SSteel-InstallationTools-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_RT2HT.jpg,298-10730-ND,RT2HT,Panduit Corp,CBL TIE TOOL MLT & MLTFC,5,0,"883.26000","0","1","Pan-Steel®","Active","Gun","Adjustable Tension, Lever Cut-Off","Pan-Steel® MLT; Extra-Heavy and Super-Heavy Ties"
https://www.molex.com/pdm_docs/ats/ATS-192940002.pdf,//media.digikey.com/Photos/Molex/0192940002.jpg,WM5128-ND,0192940002,Molex,CABLE TIE TOOL ETC-5,15,105,"25.52000","0","1","ServiceGrade","Active","Gun","Adjustable Tension, Automatic Tie Cutter","Cable Ties 18-50 lb; 0.087"" ~ 0.189"" (2.20mm ~ 4.80mm) Width"
http://www.panduit.com/heiler/CatalogCutSheets/KGTSTL%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BladeReplaceKit.jpg,298-10734-ND,KGTSBLD,Panduit Corp,"KIT, BLADE * GTS/PTS (NON-TRK)",45,0,"40.43000","0","1","-","Active","Accessory, Blade","-","GTS-ND"
