Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Wire Gauge","Style","Power Supply Type","Features"
https://www.jonard.com/~/media/1004CF8F009240C289A6A0D3ACD814E9.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_WSU-30M.jpg,K105-ND,WSU-30M,Jonard Tools,WIRE WRAP HAND TOOL 30 AWG,133,0,"35.60000","0","1","WSU","Active","Strip, Unwrap, Wrap","30 AWG","Hand, Manual","-","Modified Wrapping"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/UW093R.jpg,K330-ND,UW093R,Jonard Tools,WIRE WRAP HAND TOOL 24 - 32 AWG,36,0,"31.56000","0","1","UW","Active","Unwrap","24 ~ 32 AWG","Hand, Manual","-","Left Handed Unwrapping"
https://www.jonard.com/~/media/26580C6F3EB54F2A87965E6D7FC7C4FB.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_WSU-30.jpg,K104-ND,WSU-30,Jonard Tools,WIRE WRAP HAND TOOL 30 AWG,14,0,"35.60000","0","1","WSU","Active","Strip, Unwrap, Wrap","30 AWG","Hand, Manual","-","Regular Wrapping"
https://www.jonard.com/~/media/ECF62E8B416E4E9CA3265F9CA9CB9B86.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_WSU-26M.jpg,K664-ND,WSU-26M,Jonard Tools,WIRE WRAP HAND TOOL 26 AWG,24,0,"51.11000","0","1","WSU","Active","Strip, Unwrap, Wrap","26 AWG","Hand, Manual","-","Modified Wrapping"
https://www.jonard.com/~/media/F7472802F5EC474E8ED3685DA7524A74.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_WSU-2224.jpg,K107-ND,WSU-2224,Jonard Tools,WIRE WRAP HAND TOOL 22 - 24 AWG,9,0,"51.11000","0","1","WSU","Active","Strip, Unwrap, Wrap","22 ~ 24 AWG","Hand, Manual","-","Regular Wrapping"
https://www.jonard.com/~/media/E470178769C74CF4BC1C5CA49D77975B.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_HW-UW-224-1.jpg,K671-ND,HW-UW-224-1,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,11,0,"91.66000","0","1","HW","Active","Unwrap, Wrap","20 ~ 26 AWG Unwrapping, 22 ~ 24 AWG Wrapping","Hand, Manual","-","Aluminum Body, Regular Wrapping"
https://www.jonard.com/~/media/E470178769C74CF4BC1C5CA49D77975B.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/HW-UW-224.jpg,K464-ND,HW-UW-224,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,10,0,"91.66000","0","1","HW","Active","Unwrap, Wrap","20 ~ 26 AWG Unwrapping, 22 ~ 24 AWG Wrapping","Hand, Manual","-","Aluminum Body, Regular Wrapping"
https://www.jonard.com/~/media/E470178769C74CF4BC1C5CA49D77975B.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/HW-UW-30.jpg,K463-ND,HW-UW-30,Jonard Tools,WIRE WRAP HAND TOOL 24 - 32 AWG,21,0,"105.55000","0","1","HW","Active","Unwrap, Wrap","24 ~ 32 AWG Unwrapping, 30 AWG Wrapping","Hand, Manual","-","Aluminum Body, Modified Wrapping"
https://www.jonard.com/~/media/B9934192C7AD442C903808ECBDAC8732.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_HW-UW-2829M.jpg,K621-ND,HW-UW-2829M,Jonard Tools,WIRE WRAP HAND TOOL 24 - 32 AWG,13,0,"105.55000","0","1","HW","Active","Unwrap, Wrap","24 ~ 32 AWG Unwrapping, 28 ~ 29 AWG Wrapping","Hand, Manual","-","Aluminum Body, Modified Wrapping"
http://www.jonard.com/~/media/075ACF3EAD5542FDAED4BFB586B56702.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/G200^R3278.jpg,K398-ND,G200/R3278,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG,8,0,"125.75000","0","1","-","Active","Wrap","18 ~ 32 AWG","Gun, Manual","-","Plastic Body"
