Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","End - Size","Features","Length"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1055258&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/Tyco%20Amp%20Photos/1055258-1.jpg,1055258-1-ND,1055258-1,TE Application Tooling,WRENCH OPEN END 5/16"" 4.49"",61,0,"341.78000","0","1","-","Active","SMA Torque Wrench","5/16""","8.0 in-lbs (0.9Nm) Torque, Interchangeable Head, Protective Cover","4.49"" (114.0mm)"
https://www.jonard.com/~/media/CE770A7D58C048D6935BF27A82005316.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/ASW-R12.JPG,K702-ND,ASW-R12,Jonard Tools,WRENCH COMBO RATCHET 1/2"" 6.5"",219,0,"15.40000","0","1","ASW","Active","Combination, Ratcheting","1/2""","Polished Chrome Finish","6.50"" (165.1mm)"
https://www.jonard.com/~/media/4F71D86855924D85B7224D1593F73BFD.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_AW-6.JPG,K606-ND,AW-6,Jonard Tools,WRENCH ADJUSTABLE 15/16"" 6"",42,0,"10.35000","0","1","AW","Active","Adjustable","15/16""","Polished Chrome Finish, Soft Grip, Wide Capacity","6.00"" (152.4mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/MKT081817_Wrenches_WebReady%20(003).pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D86932.jpg,1742-1259-ND,D86932,"Klein Tools, Inc.","SLIM JAW ADJUSTABLE WRENCH, 4""",26,0,"35.87000","0","1","-","Active","Adjustable","1/2""","Soft Grip","4.56"" (115.8mm)"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0354-02.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0354-02.jpg,0354-02-ND,0354-02,Greenlee Communications,WRENCH SET COMBO 7MM-15MM,10,0,"93.75000","0","1","-","Active","Wrench Set","7mm ~ 15mm","Set of 7, Polished Chrome Finish, Ratcheting","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_68404.jpg,1742-1622-ND,68404,"Klein Tools, Inc.",WRENCH WRENCH SET 1/4"" - 15/16"",5,0,"182.50000","0","1","-","Active","Wrench Set","1/4"" ~ 15/16""","Set of 12, Chrome Finish, Offset, Vinyl Pouch","Assorted"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-8676&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Photos/1055419-1.JPG,A99929-ND,1055419-1,TE Application Tooling,WRENCH OPEN END 5/16"" 6.97"",23,0,"376.13000","0","1","-","Active","SMA Torque Wrench","5/16""","8.0 in-lbs (0.9Nm) Torque, Interchangeable Head, Protective Cover","6.97"" (177.0mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-8676&DocType=SS&DocLang=EN,//media.digikey.com/Photos/Tyco%20Amp%20Photos/1055546-1.jpg,1055546-1-ND,1055546-1,TE Application Tooling,WRENCH OPEN END 1/4"" & 5/16"",15,0,"382.08000","0","1","-","Active","SMA Torque Wrench","1/4"", 5/16""","8.0 in-lbs (0.9Nm) Torque, Interchangeable Head, Protective Cover","6.97"" (177.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0354-01.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0354-01.jpg,0354-01-ND,0354-01,Greenlee Communications,WRENCH SET COMBINATION 1/4""-5/8"",15,0,"94.68000","0","1","-","Active","Wrench Set","1/4"" ~ 5/8""","Set of 7, Polished Chrome Finish, Ratcheting","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/21187-0516.jpg,243-1274-ND,21187-0516,Aven Tools,WRENCH COMBINATION 5/16"" 5.13"",46,0,"24.23000","0","1","-","Active","Combination","5/16""","Angled 15°","5.13"" (130.3mm)"
