Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications"
https://s3-us-west-2.amazonaws.com/technexion-downloads/datasheets/wb-imx6.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/EDMCONNECTORKIT.jpg,1406-0006-ND,EDMCONNECTORKIT,Wandboard.Org,KIT EDM CONN/STANDOFF/SCREWS,166,0,"68.85000","0","1","-","Active","Kit","EDM Connectors, Standoffs and Screws - 10 Sets"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-MM7-4EBN_VL47B5263A-F8SD-I.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-MM7-4EBN.JPG,1241-1108-ND,VL-MM7-4EBN,VersaLogic Corporation,4GB DDR3 CLASS 2 EXT TEMP ROHS,53,0,"88.00000","0","1","-","Active","Memory Module","4GB (512Mx64) DDR3 SDRAM"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/Copperhead%20EBX%20Sindle%20Board%20Computer.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-MM9-8EBN.JPG,1241-1126-ND,VL-MM9-8EBN,VersaLogic Corporation,"8GB PC3-12800 SODIMM DDR3L, ET",55,0,"89.00000","0","1","-","Active","Memory Module","8GB (1Gx64) DDR3 SDRAM"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-4005.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-CBR-4005_primary.jpg,1241-1329-ND,VL-CBR-4005,VersaLogic Corporation,"I/O CABLE ASSEMBLY, EPM-19, EPM-",23,0,"119.00000","0","1","-","Active","Cable","12"" 2mm Latching 40-Pin to 40-Pin"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/Copperhead%20EBX%20Sindle%20Board%20Computer.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-PS-ATX12-300A.jpg,1241-1121-ND,VL-PS-ATX12-300A,VersaLogic Corporation,1U SIZE ATX12V POWER SUPPLY,36,0,"144.00000","0","1","-","Active","Hardware","ATX12 Power Supply"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-HDW-105.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-HDW-105.jpg,1241-1095-ND,VL-HDW-105,VersaLogic Corporation,"4 SCREWS, NUTS&BRASS STAND-OFFS",115,0,"9.00000","0","1","-","Active","Hardware","15.24mm Standoffs, Metric Thread (4)"
-,//media.digikey.com/photos/VersaLogic%20Photos/VL-CBR-4005A.jpg,1241-1437-ND,VL-CBR-4005A,VersaLogic Corporation,12"" 1 MM 40-PIN TO 40-PIN PICO-C,136,0,"68.00000","0","1","-","Active","Cable","12"" Pico-Clasp 40-Pin to 40-Pin"
https://www.versalogic.com/Products/PDF/DS-MPEs-F1.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-MPES-F1E16.jpg,1241-1446-ND,VL-MPES-F1E16,VersaLogic Corporation,16 GB MSATA DRIVE MINIPCIE IT,37,0,"364.00000","0","1","-","Active","Memory Module","16GB mSATA Drive, Mini PCIe Module, Industrial Temp"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-HDW-101.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-HDW-101.jpg,1241-1053-ND,VL-HDW-101,VersaLogic Corporation,"4 SCREWS, NUTS&STEEL STAND-OFFS",104,0,"5.00000","0","1","-","Active","Hardware","Metric Standoff Package"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CF-CLIP1.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-CF-CLIP1.JPG,1241-1098-ND,VL-CF-CLIP1,VersaLogic Corporation,10 PACK CF RETENSION CLIPS,30,0,"67.00000","0","1","-","Active","Clips","CompactFlash Retention Clip"
