Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Processor","Speed","Number of Cores","Power (Watts)","Cooling Type","Size / Dimension","Form Factor","Expansion Site/Bus","RAM Capacity/Installed","Storage Interface","Video Outputs","Ethernet","USB","RS-232 (422, 485)","Digital I/O Lines","Analog Input:Output","Watchdog Timer","Operating Temperature"
http://ftp1.digi.com/support/documentation/0190067_j.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/101-0357.jpg,316-1080-ND,20-101-0357,Digi International,COMPUTER SINGLE-BOARD BL1810,231,0,"75.00000","0","1","Jackrabbit","Active","Rabbit 2000","14.74MHz","1","-","-","2.50"" x 3.50"" (64mm x 89mm)","-","-","512KB/128KB","-","-","-","-","4","10","1:2","Yes","-40°C ~ 70°C"
https://s3-us-west-2.amazonaws.com/technexion-downloads/datasheets/wb-imx6.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/WB-IMX6S_Bottom.JPG,1406-0009-ND,WB-IMX6S,Wandboard.Org,WB-IMX6S,75,0,"93.64000","0","1","-","Active","ARM® Cortex®-A9, i.MX6Solo","1.0GHz","1","-","-","3.74"" x 3.74"" (95mm x 95mm)","-","GPIO, I²C, SPI, TTL, UART","512MB/512MB","microSD","HDMI","1 Gbps","USB 2.0 (1)","1","-","-","-","0°C ~ 50°C"
http://ftp1.digi.com/support/documentation/0190067_j.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-0356.JPG,316-1079-ND,20-101-0356,Digi International,COMPUTER SINGLE-BOARD BL1800,77,0,"107.00000","0","1","Jackrabbit","Active","Rabbit 2000","29.5MHz","1","1.2W","-","2.50"" x 3.50"" (64mm x 89mm)","-","-","512KB/128KB","-","-","-","-","4","10","1:2","Yes","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/TechNexion%20PDFs/PICO%E2%80%90PI%E2%80%90IMX7_Web.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/MFG_PICO-PI-IMX.jpg,1406-0013-ND,PICO-PI-IMX7,Wandboard.Org,STARTER KIT FOR ANDROID,39,0,"122.55000","0","1","PICO","Active","ARM® Cortex®-A7 + M4, i.MX7Dual","1GHz","2","-","-","-","-","GPIO, I²C, SPI, TTL, UART","512MB/0MB","eMMC","PXP","GbE","USB 2.0 (1), USB 2.0 OTG (1)","-","-","-","-","0°C ~ 60°C"
https://www.netburner.com/download/legacy-sb72-datasheet/?wpdmdl=4155&ind=0,//media.digikey.com/Photos/NetBurner%20Photos/MFG_SB72-301IR.JPG,528-1018-ND,SB72-301IR,NetBurner Inc.,BOARD SERIAL-ETHERNET 512K FLASH,91,0,"139.00000","0","1","SB","Active","ColdFire 5272","62.5MHz","1","-","-","3.25"" x 2"" (82.55mm x 50.8mm)","-","-","8MB/8MB","-","-","10/100 Mbps (1)","-","2","-","-","-","-40°C ~ 85°C"
http://ftp1.digi.com/support/documentation/0900150_j.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/20-101-0525.JPG,316-1115-ND,20-101-0525,Digi International,COMPUTER SINGLE-BOARD LP3500 FOX,46,0,"215.00000","0","1","FOX","Active","Rabbit 3000","7.4MHz","1","-","-","2.60"" x 3.65"" (66mm x 93mm)","-","-","512KB/512KB","-","-","-","-","6","26","8:3","Yes","-40°C ~ 70°C"
https://www.digi.com/pdf/ds_bl4s200.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_20-101-1259.jpg,316-1172-ND,20-101-1259,Digi International,COMPUTER SINGLE-BOARD BL4S210,34,0,"247.00000","0","1","SBC BL4S200","Active","Rabbit 4000","58.98MHz","1","4.5W","-","3.75"" x 5.75"" (96mm x 146mm)","-","-","512KB/512KB","-","-","10 Mbps (1)","-","4","32","8:2","Yes","-20°C ~ 85°C"
https://www.digi.com/pdf/ds_bl4s200.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_20-101-1220.jpg,316-1164-ND,20-101-1220,Digi International,COMPUTER SINGLE-BOARD BL4S200,216,0,"291.00000","0","1","SBC BL4S200","Active","Rabbit 4000","58.98MHz","1","4.5W","-","3.75"" x 5.75"" (96mm x 146mm)","-","-","512KB/512KB","-","-","10/100 Mbps (1)","-","5","32","8:2","Yes","-20°C ~ 85°C"
https://www.digi.com/pdf/ds_op7200.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-0535_top.jpg,316-1154-ND,20-101-0535,Digi International,INTERFACE INTELL OPERATOR OP7200,34,0,"449.00000","0","1","OP7200","Active","Rabbit 2000","22MHz","1","4W","-","4.41"" x 5.67"" (112mm x 144mm)","-","-","128KB/128KB","-","-","10/100 Mbps (1)","-","4","19/8","8:0","Yes","-10°C ~ 65°C"
https://www.versalogic.com/Products/PDF/DS-Tomcat.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_Tomcat.jpg,1241-1019-ND,VL-EPM-16F,VersaLogic Corporation,SBC VORTEX 800 MHZ 256MB,310,0,"464.00000","0","1","Tomcat","Active","Vortex86DX","800MHz","1","3W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus","256MB/256MB","ATA66, CompactFlash","-","10/100 Mbps (1)","USB 2.0 (2)","4","0","0:0","Yes","-40°C ~ 85°C"
