Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Rated","Size / Dimension","Width","Air Flow","Static Pressure","Bearing Type","Fan Type","Features","Noise","Power (Watts)","RPM","Termination","Ingress Protection","Operating Temperature","Approvals","Weight"
http://www.qualtekusa.com/images/Fans/pdf_files/FAA1-12038-A.pdf,//media.digikey.com/Photos/Qualtek%20Photos/FAA1-12038NBMT31.jpg,Q588-ND,FAA1-12038NBHW31-A,Qualtek,FAN AXIAL 119.5X38.5MM 115VAC,925,0,"10.08000","0","1","FAA1-12038","Active","115VAC","Square - 119.5mm L x 119.5mm H","38.50mm","97.0 CFM (2.72m³/min)","0.350 in H2O (87.2 Pa)","Ball","Tubeaxial","-","44.5 dB(A)","14.00W","2900 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, cURus, TUV","1.2 lbs (544.3g)"
https://www.mechatronics.com/pdf/UF12A.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/UF12A12-STHR.jpg,1570-1012-ND,UF12A12-STHR,Mechatronics Fan Group,FAN AXIAL 120X38MM 115VAC,2422,0,"13.10000","0","1","UF12A","Active","115VAC","Square - 120mm L x 120mm H","38.00mm","106.0 CFM (2.97m³/min)","0.350 in H2O (87.2 Pa)","Sleeve","Tubeaxial","-","46.0 dB(A)","12.00W","3100 RPM","2 Terminals","-","-40 ~ 158°F (-40 ~ 70°C)","CE, cUL, TUV, UL","1.2 lbs (544.3g)"
https://www.mechatronics.com/pdf/UF12A.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/UF12A23-STHR.JPG,1570-1020-ND,UF12A23-STHR,Mechatronics Fan Group,FAN AXIAL 120X38MM 230VAC,211,0,"13.10000","0","1","UF12A","Active","230VAC","Square - 120mm L x 120mm H","38.00mm","106.0 CFM (2.97m³/min)","0.350 in H2O (87.2 Pa)","Sleeve","Tubeaxial","-","46.0 dB(A)","15.00W","3100 RPM","2 Terminals","-","-40 ~ 158°F (-40 ~ 70°C)","CE, cUL, TUV, UL","1.2 lbs (544.3g)"
//media.digikey.com/pdf/Data%20Sheets/Sunon%20PDFs/SP100A-1123XST.GN.pdf,"//media.digikey.com/photos/Sunon%20Photos/SP100A-1123XST.GN,SP100A-1123XBT.GN.jpg",259-1386-ND,SP100A-1123XST.GN,Sunon Fans,FAN AXIAL 120X38MM 115VAC TERM,780,0,"14.11000","0","1","SP","Active","115VAC","Square - 120mm L x 120mm H","38.00mm","115.0 CFM (3.22m³/min)","0.380 in H2O (94.6 Pa)","Sleeve","Tubeaxial","-","49.0 dB(A)","20.00W","3100 RPM","2 Terminals","-","14 ~ 158°F (-10 ~ 70°C)","CE, CUR, TUV, UL","1.2 lbs (544.3g)"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/08038PB.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/3115PS-12T-B30-A00.jpg,P12881-ND,3115PS-12T-B30-A00,NMB Technologies Corporation,FAN AXIAL 80X38MM 115VAC TERM,3341,0,"13.56000","0","1","08038PB","Active","115VAC","Square - 80mm L x 80mm H","38.00mm","32.0 CFM (0.896m³/min)","0.200 in H2O (49.8 Pa)","Ball","Tubeaxial","-","38.0 dB","7.00W","3200 RPM","2 Terminals","-","14 ~ 158°F (-10 ~ 70°C)","CE, CSA, TUV, UL, VDE","0.59 lb (267.62g)"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/08038FB.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/3115fs-12w-b30-a00.JPG,P12878-ND,3115FS-12W-B30-A00,NMB Technologies Corporation,FAN AXIAL 80X38MM 115VAC WIRE,2417,0,"13.56000","0","1","08038FB","Active","115VAC","Square - 80mm L x 80mm H","38.00mm","32.0 CFM (0.896m³/min)","0.180 in H2O (44.8 Pa)","Ball","Tubeaxial","-","44.0 dB","8.50W","3250 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, CSA, TUV, UL, VDE","0.74 lb (335.66g)"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/08038FB.pdf,//media.digikey.com/photos/NMB%20Tech%20Photos/3115FS-12T-B30-A00.JPG,P12874-ND,3115FS-12T-B30-A00,NMB Technologies Corporation,FAN AXIAL 80X38MM 115VAC TERM,1435,0,"13.56000","0","1","08038FB","Active","115VAC","Square - 80mm L x 80mm H","38.00mm","32.0 CFM (0.896m³/min)","0.180 in H2O (44.8 Pa)","Ball","Tubeaxial","-","44.0 dB","8.50W","3250 RPM","2 Terminals","-","14 ~ 158°F (-10 ~ 70°C)","CE, CSA, TUV, UL, VDE","0.74 lb (335.66g)"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/08038PB.pdf,//media.digikey.com/photos/NMB%20Tech%20Photos/3115PS12WB30A00.jpg,P12882-ND,3115PS-12W-B30-A00,NMB Technologies Corporation,FAN AXIAL 80X38MM 115VAC WIRE,816,0,"13.56000","0","1","08038PB","Active","115VAC","Square - 80mm L x 80mm H","38.00mm","32.0 CFM (0.896m³/min)","0.200 in H2O (49.8 Pa)","Ball","Tubeaxial","-","38.0 dB","7.00W","3200 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, CSA, TUV, UL, VDE","0.59 lb (267.62g)"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/08038FB.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/3115fs-23w-b30-a00.JPG,P12880-ND,3115FS-23W-B30-A00,NMB Technologies Corporation,FAN AXIAL 80X38MM 230VAC WIRE,795,0,"13.56000","0","1","08038FB","Active","230VAC","Square - 80mm L x 80mm H","38.00mm","33.0 CFM (0.924m³/min)","0.180 in H2O (44.8 Pa)","Ball","Tubeaxial","-","44.0 dB","8.00W","3250 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, CSA, TUV, UL, VDE","0.74 lb (335.66g)"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/08038PB.pdf,//media.digikey.com/photos/NMB%20Tech%20Photos/3115PS23TB30A00.jpg,P12996-ND,3115PS-23T-B30-A00,NMB Technologies Corporation,FAN AXIAL 80X38MM 230VAC TERM,681,0,"13.56000","0","1","08038PB","Active","230VAC","Square - 80mm L x 80mm H","38.00mm","32.0 CFM (0.896m³/min)","0.200 in H2O (49.8 Pa)","Ball","Tubeaxial","-","38.0 dB","8.00W","3200 RPM","2 Terminals","-","14 ~ 158°F (-10 ~ 70°C)","CE, CSA, TUV, UL, VDE","0.59 lb (267.62g)"
