Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Rated","Size / Dimension","Width","Air Flow","Static Pressure","Bearing Type","Fan Type","Features","Noise","Power (Watts)","RPM","Termination","Ingress Protection","Operating Temperature","Approvals","Weight"
http://www.sunon.com/uFiles/file/03_products/08-catalog%20download/Sunon%20DC%20Brushless%20Fan%20&%20Blower_(240-E).pdf,//media.digikey.com/Photos/Sunon%20Photos/MFG_HA40201V4.jpg,259-1791-ND,HA40201V4-1000U-A99,Sunon Fans,40X40X20 12VDC VAPO 5.5CFM,619,0,"4.31000","0","1","MagLev® HA","Active","12VDC","Square - 40mm L x 40mm H","20.00mm","5.5 CFM (0.154m³/min)","0.100 in H2O (24.9 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","12.3 dB(A)","380mW","4500 RPM","2 Wire Leads","-","-","CE, CUR, TUV, UL","0.067 lb (30.39g)"
//media.digikey.com/pdf/Data%20Sheets/Sunon%20PDFs/MF40101VX-1000U-A99_Spec_Ed1_12-05-2016.pdf,//media.digikey.com/Photos/Sunon%20Photos/MFG_MF40100V1_V2_MF40101VX_V1_V2.jpg,259-1798-ND,MF40101VX-1000U-A99,Sunon Fans,40X40X10 12VDC VAPO 9.9CFM,2102,0,"4.19000","0","1","MagLev® MF","Active","12VDC","Square - 40mm L x 40mm H","10.00mm","9.9 CFM (0.277m³/min)","0.250 in H2O (62.3 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","31.4 dB(A)","1.17W","8500 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, CUR, TUV, UL","0.034 lb (15.42g)"
http://portal.sunon.com.tw/pls/portal/sunonap.sunon_html_d_pkg.open_file?input_file_name=7264646F632F3230313630382F3233373936312F28443035303539303130472D3030292D312E706466,//media.digikey.com/Photos/Sunon%20Photos/MB50151V2-000U-A99.jpg,259-1818-ND,MF50151V2-1000U-A99,Sunon Fans,FAN AXIAL 50X15MM VAPO 12VDC,747,0,"4.39000","0","1","MagLev® MF","Active","12VDC","Square - 50mm L x 50mm H","15.00mm","13.0 CFM (0.364m³/min)","0.170 in H2O (42.3 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","29.0 dB(A)","600mW","5000 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, CUR, TUV, UL","0.073 lb (33.11g)"
http://portal.sunon.com.tw/pls/portal/sunonap.sunon_html_d_pkg.open_file?input_file_name=7264646F632F3230313430312F3137363538332F28443038303337383830472D3030292D332E706466,//media.digikey.com/Photos/Sunon%20Photos/HA80251V4-000U-999.jpg,259-1619-ND,HA80251V4-000U-999,Sunon Fans,FAN AXIAL 80X25MM 12VDC WIRE,154,0,"4.39000","0","1","MagLev® HA","Active","12VDC","Square - 80mm L x 80mm H","25.00mm","23.7 CFM (0.664m³/min)","0.050 in H2O (12.4 Pa)","Vapo-Bearing™","Tubeaxial","-","22.1 dB(A)","800mW","2000 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CUR, TUV, UL","0.138 lb (62.6g)"
http://www.sunon.com/uFiles/file/03_products/08-catalog%20download/Sunon%20DC%20Brushless%20Fan%20&%20Blower_(240-E).pdf,//media.digikey.com/Photos/Sunon%20Photos/MFG_MF80251V1_MF80252V1_V2.jpg,259-1804-ND,MF80251V1-1000U-A99,Sunon Fans,80X80X25 12VDC VAPO 41CFM,3627,0,"4.41000","0","1","MagLev® MF","Active","12VDC","Square - 80mm L x 80mm H","25.00mm","41.0 CFM (1.15m³/min)","0.180 in H2O (44.8 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","33.0 dB(A)","1.44W","3200 RPM","2 Wire Leads","-","-","CE, CUR, TUV, UL","0.165 lb (74.84g)"
http://www.sunon.com/uFiles/file/03_products/08-catalog%20download/Sunon%20DC%20Brushless%20Fan%20&%20Blower_(240-E).pdf,//media.digikey.com/Photos/Sunon%20Photos/MFG_MF40100V1_V2_MF40101VX_V1_V2.jpg,259-1794-ND,MF40100V1-1000U-A99,Sunon Fans,40X40X10 5VDC VAPO 7CFM,446,0,"4.90000","0","1","MagLev® MF","Active","5VDC","Square - 40mm L x 40mm H","10.00mm","8.0 CFM (0.224m³/min)","0.190 in H2O (47.3 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","27.3 dB(A)","680mW","7000 RPM","2 Wire Leads","-","-","CE, CUR, TUV, UL","0.034 lb (15.42g)"
//media.digikey.com/pdf/Data%20Sheets/Sunon%20PDFs/MB50100V2-000U-A99.pdf,//media.digikey.com/Photos/Sunon%20Photos/M50-SERIES.jpg,259-1558-ND,MB50100V2-000U-A99,Sunon Fans,FAN AXIAL 50X10MM VAPO 5VDC WIRE,7470,0,"5.02000","0","1","MagLev® MB","Active","5VDC","Square - 50mm L x 50mm H","10.00mm","11.0 CFM (0.308m³/min)","0.110 in H2O (27.4 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","26.0 dB(A)","1.18W","4300 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CUR, TUV, UL","0.046 lb (20.87g)"
http://portal.sunon.com.tw/pls/portal/sunonap.sunon_html_d_pkg.open_file?input_file_name=7264646F632F3230313430312F3137363536372F28443034303737363830472D3030292D332E706466,//media.digikey.com/Photos/Sunon%20Photos/MB45101V2-000U-A99.jpg,259-1567-ND,MB45101V2-000U-A99,Sunon Fans,FAN AXIAL 45X10MM 12VDC WIRE,3824,0,"4.53000","0","1","MagLev® MB","Active","12VDC","Square - 45mm L x 45mm H","10.00mm","9.2 CFM (0.258m³/min)","0.120 in H2O (29.9 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","27.0 dB(A)","1.26W","5000 RPM","2 Wire Leads","-","-","CE, CUR, TUV, UL","0.041 lb (18.6g)"
http://portal.sunon.com.tw/pls/portal/sunonap.sunon_html_d_pkg.open_file?input_file_name=7264646F632F3230313730392F3236303132312F28443039303338393330472D3031292D302E706466,//media.digikey.com/Photos/Sunon%20Photos/DR%28ME%2980-SERIES.jpg,259-1826-ND,MF92252V1-1000U-A99,Sunon Fans,FAN AXIAL 92X25MM VAPO 24VDC,1851,0,"5.70000","0","1","MagLev® MF","Active","24VDC","Square - 92mm L x 92mm H","25.00mm","51.5 CFM (1.44m³/min)","0.150 in H2O (37.3 Pa)","Vapo-Bearing™","Tubeaxial","Auto Restart","34.0 dB(A)","1.80W","3000 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","CE, CUR, TUV, UL","0.203 lb (92.08g)"
https://orionfans.com/productFiles/datasheet/OD4010_sealedsleeve.pdf,//media.digikey.com/Photos/Orion%20Fans/OD4010-24HSS.JPG,1053-1210-ND,OD4010-24HSS,Orion Fans,FAN AXIAL 40X10.5MM 24VDC WIRE,4377,0,"5.22000","0","1","OD4010","Active","24VDC","Square - 40mm L x 40mm H","10.50mm","6.7 CFM (0.188m³/min)","0.100 in H2O (24.9 Pa)","Sealed Sleeve","Tubeaxial","-","25.0 dB","-","6000 RPM","2 Wire Leads","-","14 ~ 158°F (-10 ~ 70°C)","cURus, TUV","-"
