Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/ASSE001-2__28S2022-0P0_Dwg.pdf,//media.digikey.com/photos/Steward%20Photos/ASSE001-2.jpg,240-2345-ND,ASSE001-2,Laird-Signal Integrity Products,CLIP PLAST SPLT RIBBON,5034,0,"0.33000","0","1","-","Active","Clips","Steward Flat/Ribbon Cable"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19810,//media.digikey.com/Photos/Fair-Right/0199001401.JPG,1934-1329-ND,0199001401,Fair-Rite Products Corp.,CLIP FLAT,4675,0,"0.55000","0","1","-","Active","Clips","Flat Cables"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19819,-,1934-1283-ND,0199016551,Fair-Rite Products Corp.,CLIP FLAT,1770,0,"1.37000","0","1","-","Active","Clips","Flat Cables"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271.JPG,732-1498-ND,74271,Wurth Electronics Inc.,STAR-TEC SAFETY KEY,941,0,"0.30000","0","1","-","Active","Key","STAR Snap Ferrites Series"
https://www.schaffner.com/products/download/product/datasheet/fn-3270-compact-3-phase-emcemi-filter-for-industrial-motor-drive-applications/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/ACCESSORIES-PLASTIC%20COVER%201.1.jpg,817-1766-ND,ACCESSORIES-PLASTIC COVER 1.1,Schaffner EMC Inc.,COVER TERM PLAS FN3270 150-600A,3,0,"120.42000","0","1","-","Active","Cover","FN3270 Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=60DBPLSERIES&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/60DBPL3.JPG,CCM1884-ND,5-1609075-0,TE Connectivity Corcom Filters,CONN PLUG 6AWG W/3FT CABLE,27,0,"55.52000","0","1","DB","Active","Cable","DB Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=60DBPLSERIES&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/60DBPL1.jpg,CCM1883-ND,4-1609075-9,TE Connectivity Corcom Filters,CONN PLUG 6AWG W/1FT CABLE,13,0,"73.59000","0","1","DB","Active","Cable","DB Series"
https://www.schaffner.com/products/download/product/datasheet/fn-3359-high-current-3-phase-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/ACCESSORIES-PLASTIC%20COVER%202.2.jpg,817-1769-ND,ACCESSORIES-PLASTIC COVER 2.2,Schaffner EMC Inc.,COVER TERM PLAS FN3359 250A,33,0,"76.59000","0","1","-","Active","Cover","FN3359 Series"
https://www.schaffner.com/products/download/product/datasheet/fn-3359-high-current-3-phase-emcemi-filter/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/ACCESSORIES-PLASTIC%20COVER%202.3.JPG,817-1770-ND,ACCESSORIES-PLASTIC COVER 2.3,Schaffner EMC Inc.,COVER TERM PLAS FN3359 320/400A,19,0,"76.59000","0","1","-","Active","Cover","FN3359 Series"
https://www.schaffner.com/products/download/product/datasheet/fn-3359-high-current-3-phase-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/ACCESSORIES-PLASTIC%20COVER%202.1.jpg,817-1768-ND,ACCESSORIES-PLASTIC COVER 2.1,Schaffner EMC Inc.,COVER TERM PLAS FN3359 150/180A,7,0,"76.59000","0","1","-","Active","Cover","FN3359 Series"
