Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Filter Order","Technology","Number of Channels","Center / Cutoff Frequency","Attenuation Value","Resistance - Channel (Ohms)","Current","Values","ESD Protection","Operating Temperature","Applications","Voltage - Rated","Mounting Type","Package / Case","Size / Dimension","Height"
https://www.murata.com/en-eu/products/productdata/8796731277342/ENFD0006.pdf,//media.digikey.com/photos/Murata%20Photos/NFL21S%20SERIES.jpg,490-2539-2-ND,NFL21SP307X1C3D,Murata Electronics North America,FILTER LC(PI) 45NH/19PF SMD,16000,0,"0.13379","0","4000","Tape & Reel (TR)","EMIFIL®, NFL21","Active","Low Pass","3rd","LC (Pi)","1","300MHz (Cutoff)","-","-","300mA","L = 45nH, C = 19pF","No","-55°C ~ 125°C","General Purpose","16V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.murata.com/en-eu/products/productdata/8796731277342/ENFD0006.pdf,//media.digikey.com/photos/Murata%20Photos/NFL21S%20SERIES.jpg,490-2539-1-ND,NFL21SP307X1C3D,Murata Electronics North America,FILTER LC(PI) 45NH/19PF SMD,20056,0,"0.30000","0","1","Cut Tape (CT)","EMIFIL®, NFL21","Active","Low Pass","3rd","LC (Pi)","1","300MHz (Cutoff)","-","-","300mA","L = 45nH, C = 19pF","No","-55°C ~ 125°C","General Purpose","16V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.murata.com/en-eu/products/productdata/8796731277342/ENFD0006.pdf,//media.digikey.com/photos/Murata%20Photos/NFL21S%20SERIES.jpg,490-2539-6-ND,NFL21SP307X1C3D,Murata Electronics North America,FILTER LC(PI) 45NH/19PF SMD,20056,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFL21","Active","Low Pass","3rd","LC (Pi)","1","300MHz (Cutoff)","-","-","300mA","L = 45nH, C = 19pF","No","-55°C ~ 125°C","General Purpose","16V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://assets.nexperia.com/documents/data-sheet/IP4251_52_53_54-TTL.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-UFDFN.jpg,1727-5678-2-ND,"IP4254CZ8-4-TTL,13",Nexperia USA Inc.,FILTER RC(PI) 100 OHM/30PF SMD,72000,0,"0.14144","0","4000","Tape & Reel (TR)","-","Active","Low Pass","2nd","RC (Pi)","4","-","28dB @ 800MHz ~ 3GHz","100","-","R = 100Ohms, C = 30pF (Total)","Yes","-40°C ~ 85°C","LAN, WAN","-","Surface Mount","8-UFDFN Exposed Pad","0.067"" L x 0.053"" W (1.70mm x 1.35mm)","0.022"" (0.55mm)"
https://assets.nexperia.com/documents/data-sheet/IP4251_52_53_54-TTL.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-UFDFN.jpg,1727-5678-1-ND,"IP4254CZ8-4-TTL,13",Nexperia USA Inc.,FILTER RC(PI) 100 OHM/30PF SMD,75742,0,"0.32000","0","1","Cut Tape (CT)","-","Active","Low Pass","2nd","RC (Pi)","4","-","28dB @ 800MHz ~ 3GHz","100","-","R = 100Ohms, C = 30pF (Total)","Yes","-40°C ~ 85°C","LAN, WAN","-","Surface Mount","8-UFDFN Exposed Pad","0.067"" L x 0.053"" W (1.70mm x 1.35mm)","0.022"" (0.55mm)"
https://assets.nexperia.com/documents/data-sheet/IP4251_52_53_54-TTL.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-UFDFN.jpg,1727-5678-6-ND,"IP4254CZ8-4-TTL,13",Nexperia USA Inc.,FILTER RC(PI) 100 OHM/30PF SMD,75742,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Low Pass","2nd","RC (Pi)","4","-","28dB @ 800MHz ~ 3GHz","100","-","R = 100Ohms, C = 30pF (Total)","Yes","-40°C ~ 85°C","LAN, WAN","-","Surface Mount","8-UFDFN Exposed Pad","0.067"" L x 0.053"" W (1.70mm x 1.35mm)","0.022"" (0.55mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem2012s_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEM2012S.jpg,445-6199-2-ND,MEM2012S25R0T001,TDK Corporation,FILTER LC(T) 25MHZ SMD,72000,0,"0.17000","0","4000","Tape & Reel (TR)","MEM","Active","Low Pass","3rd","LC (T-Type)","1","25MHz (Cutoff)","30dB @ 70MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem2012s_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEM2012S.jpg,445-6199-1-ND,MEM2012S25R0T001,TDK Corporation,FILTER LC(T) 25MHZ SMD,74524,0,"0.39000","0","1","Cut Tape (CT)","MEM","Active","Low Pass","3rd","LC (T-Type)","1","25MHz (Cutoff)","30dB @ 70MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem2012s_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEM2012S.jpg,445-6199-6-ND,MEM2012S25R0T001,TDK Corporation,FILTER LC(T) 25MHZ SMD,74524,0,"Digi-Reel","0","1","Digi-Reel®","MEM","Active","Low Pass","3rd","LC (T-Type)","1","25MHz (Cutoff)","30dB @ 70MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8962-2-ND,MEM1608P25R0,TDK Corporation,FILTER LC(PI) 25MHZ SMD,24000,0,"0.17000","0","4000","Tape & Reel (TR)","MEM","Active","Low Pass","3rd","LC (Pi)","1","25MHz (Cutoff)","20dB @ 70MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
