Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Current","DC Resistance (DCR) (Max)","Operating Temperature","Insertion Loss","Temperature Coefficient","Ratings","Mounting Type","Package / Case","Size / Dimension","Height (Max)","Thread Size"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PS105R0J3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21PS106B0J3D.jpg,490-6974-2-ND,NFM18PS105R0J3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 6.3V 0603,388000,0,"0.07225","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","1µF","±20%","6.3V","2A","30mOhm","-55°C ~ 105°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PS105R0J3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21PS106B0J3D.jpg,490-6974-1-ND,NFM18PS105R0J3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 6.3V 0603,396918,0,"0.16000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","1µF","±20%","6.3V","2A","30mOhm","-55°C ~ 105°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PS105R0J3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21PS106B0J3D.jpg,490-6974-6-ND,NFM18PS105R0J3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 6.3V 0603,396918,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","1µF","±20%","6.3V","2A","30mOhm","-55°C ~ 105°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC104R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6969-2-ND,NFM18PC104R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.1UF 20% 16V 0603,76000,0,"0.08228","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","0.1µF","±20%","16V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC104R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6969-1-ND,NFM18PC104R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.1UF 20% 16V 0603,79013,0,"0.19000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","0.1µF","±20%","16V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC104R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6969-6-ND,NFM18PC104R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.1UF 20% 16V 0603,79013,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","0.1µF","±20%","16V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFMJMPC226R0G3-01.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_NFMJMPC226R0G3D.jpg,490-17334-2-ND,NFMJMPC226R0G3D,Murata Electronics North America,05035 (1209M) 4VDC 22UF +\- 20%,40000,0,"0.08850","0","10000","Tape & Reel (TR)","NFM","Active","22µF","±20%","2.5V","2A","30mOhm","-55°C ~ 105°C","-","-","-","Surface Mount","0504 (1210 Metric)","0.047"" L x 0.035"" W (1.20mm x 0.90mm)","0.032"" (0.80mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFMJMPC226R0G3-01.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_NFMJMPC226R0G3D.jpg,490-17334-1-ND,NFMJMPC226R0G3D,Murata Electronics North America,05035 (1209M) 4VDC 22UF +\- 20%,50110,0,"0.23000","0","1","Cut Tape (CT)","NFM","Active","22µF","±20%","2.5V","2A","30mOhm","-55°C ~ 105°C","-","-","-","Surface Mount","0504 (1210 Metric)","0.047"" L x 0.035"" W (1.20mm x 0.90mm)","0.032"" (0.80mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFMJMPC226R0G3-01.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_NFMJMPC226R0G3D.jpg,490-17334-6-ND,NFMJMPC226R0G3D,Murata Electronics North America,05035 (1209M) 4VDC 22UF +\- 20%,50110,0,"Digi-Reel","0","1","Digi-Reel®","NFM","Active","22µF","±20%","2.5V","2A","30mOhm","-55°C ~ 105°C","-","-","-","Surface Mount","0504 (1210 Metric)","0.047"" L x 0.035"" W (1.20mm x 0.90mm)","0.032"" (0.80mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC104R1E3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-2536-2-ND,NFM21PC104R1E3D,Murata Electronics North America,CAP FEEDTHRU 0.1UF 20% 25V 0805,204000,0,"0.09146","0","4000","Tape & Reel (TR)","EMIFIL®, NFM21","Active","0.1µF","±20%","25V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC104R1E3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-2536-1-ND,NFM21PC104R1E3D,Murata Electronics North America,CAP FEEDTHRU 0.1UF 20% 25V 0805,206825,0,"0.21000","0","1","Cut Tape (CT)","EMIFIL®, NFM21","Active","0.1µF","±20%","25V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC104R1E3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-2536-6-ND,NFM21PC104R1E3D,Murata Electronics North America,CAP FEEDTHRU 0.1UF 20% 25V 0805,206825,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM21","Active","0.1µF","±20%","25V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
