Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Design","Impedance @ Frequency","Material","Inner Dimension","Outer Dimension","Ratings","Mounting Type","Length"
https://katalog.we-online.de/pbs/datasheet/7427727.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7427727.JPG,732-3090-ND,7427727,Wurth Electronics Inc.,FERRITE CORE 100 OHM SOLID,1537,0,"4.15000","0","1","WE-AFB LFS","Active","Round","Solid","100Ohm @ 10MHz","8W5000","0.250"" Dia (6.35mm)","0.559"" Dia (14.20mm)","-","Free Hanging","1.122"" (28.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271112S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271112S.JPG,732-3627-ND,74271112S,Wurth Electronics Inc.,FERRITE CORE 321 OHM HINGED 6MM,6678,0,"4.32000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","321Ohm @ 100MHz","4W620","0.236"" Dia (6.00mm)","0.933"" W x 0.717"" H (23.70mm x 18.20mm)","-","Free Hanging","1.594"" (40.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271111.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271111.JPG,732-3996-ND,74271111,Wurth Electronics Inc.,FERRITE CORE 320 OHM HINGED 5MM,3341,0,"4.32000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","320Ohm @ 100MHz","4W620","0.197"" Dia (5.00mm)","0.933"" W x 0.717"" H (23.70mm x 18.20mm)","-","Free Hanging","1.594"" (40.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271142S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271142S.JPG,732-3420-ND,74271142S,Wurth Electronics Inc.,FERRITE CORE 182 OHM HINGED 5MM,3494,0,"4.46000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","182Ohm @ 100MHz","4W620","0.197"" Dia (5.00mm)","0.519"" W x 0.740"" H (13.20mm x 18.80mm)","-","Free Hanging","1.280"" (32.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271142.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271142.jpg,732-3419-ND,74271142,Wurth Electronics Inc.,FERRITE CORE 182 OHM HINGED 5MM,1246,0,"4.46000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","182Ohm @ 100MHz","4W620","0.197"" Dia (5.00mm)","0.519"" W x 0.740"" H (13.20mm x 18.80mm)","-","Free Hanging","1.280"" (32.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271131.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/WURTH%20ELECTRONICS_74271131.JPG,732-1504-ND,74271131,Wurth Electronics Inc.,FERRITE CORE 246 OHM HINGED,1042,0,"4.69000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","246Ohm @ 100MHz","4W620","0.295"" Dia (7.50mm)","0.965"" W x 0.827"" H (24.50mm x 21.00mm)","-","Free Hanging","1.594"" (40.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271132.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/WURTH%20ELECTRONICS_74271132.JPG,732-1505-ND,74271132,Wurth Electronics Inc.,FERRITE CORE 241 OHM HINGED,1995,0,"5.05000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","241Ohm @ 100MHz","4W620","0.335"" Dia (8.50mm)","0.965"" W x 0.827"" H (24.50mm x 21.00mm)","-","Free Hanging","1.594"" (40.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271132S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271132S.jpg,732-3623-ND,74271132S,Wurth Electronics Inc.,FERRITE CORE 241 OHM HINGED,1833,0,"5.05000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","241Ohm @ 100MHz","4W620","0.335"" Dia (8.50mm)","0.965"" W x 0.827"" H (24.50mm x 21.00mm)","-","Free Hanging","1.594"" (40.50mm)"
https://katalog.we-online.de/pbs/datasheet/74271111S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74271111S.JPG,732-3629-ND,74271111S,Wurth Electronics Inc.,FERRITE CORE 320 OHM HINGED 5MM,892,0,"5.08000","0","1","Star-Tec","Active","Round","Hinged (Snap On), Key Required","320Ohm @ 100MHz","4W620","0.197"" Dia (5.00mm)","0.933"" W x 0.717"" H (23.70mm x 18.20mm)","-","Free Hanging","1.594"" (40.50mm)"
https://katalog.we-online.de/pbs/datasheet/74272733.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74272733.jpg,732-2404-ND,74272733,Wurth Electronics Inc.,FERRITE CORE 62 OHM HINGED 8MM,2715,0,"5.63000","0","1","STAR-FIX LFS","Active","Round","Hinged (Snap On), Key Required","62Ohm @ 10MHz","8W5000","0.315"" Dia (8.00mm)","0.854"" W x 0.716"" H (21.70mm x 18.20mm)","-","Free Hanging","1.382"" (35.10mm)"
