Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Size / Dimension","Height - Seated (Max)"
http://assets.lairdtech.com/home/brandworld/files/MP0512-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0512-200.jpg,240-2262-ND,MP0512-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 13MMX13MMX2MM,25641,0,"0.42000","0","1","-","Active","Ferrite Plate","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.079"" (2.00mm)"
http://assets.lairdtech.com/home/brandworld/files/MP1040-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2267-ND,MP1040-200,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X26.42X1.91,44253,0,"0.73000","0","1","-","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.075"" (1.91mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0315-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0315-200.jpg,240-2259-ND,MP0315-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 8MM X8MM X2MM,5481,0,"0.34000","0","1","-","Active","Ferrite Plate","0.315"" L x 0.315"" W (8.00mm x 8.00mm)","0.079"" (2.00mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0350-000.pdf,//media.digikey.com/photos/Steward%20Photos/MP0350-000.jpg,240-2260-ND,MP0350-000,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X8.89X1.27,10774,0,"0.37000","0","1","-","Active","Ferrite Plate","1.040"" L x 0.350"" W (26.42mm x 8.89mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0433-000.pdf,//media.digikey.com/photos/Steward%20Photos/MP0433-000.jpg,240-2261-ND,MP0433-000,Laird-Signal Integrity Products,FERRITE EMI PLATE 11X11X1.96MM,18803,0,"0.38000","0","1","-","Active","Ferrite Plate","0.433"" L x 0.433"" W (11.00mm x 11.00mm)","0.077"" (1.95mm)"
http://assets.lairdtech.com/home/brandworld/files/MM0650-100.pdf,//media.digikey.com/photos/Steward%20Photos/MM0650-100.jpg,240-2252-ND,MM0650-100,Laird-Signal Integrity Products,FERRITE EMI DISC 16.51MMX1.27MM,13046,0,"0.38000","0","1","-","Active","Ferrite Disk","0.650"" Dia (16.51mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0591-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0591-200.jpg,240-2264-ND,MP0591-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 15MMX15MMX2MM,5486,0,"0.43000","0","1","-","Active","Ferrite Plate","0.591"" L x 0.591"" W (15.00mm x 15.00mm)","0.079"" (2.00mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0760-100.pdf,//media.digikey.com/photos/Steward%20Photos/MP0760-100.JPG,240-2265-ND,MP0760-100,Laird-Signal Integrity Products,FERRITE EMI PLATE 19.3X19.3X1.27,4996,0,"0.46000","0","1","-","Active","Ferrite Plate","0.760"" L x 0.760"" W (19.30mm x 19.30mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MM0787-200.pdf,"//media.digikey.com/photos/Steward%20Photos/HM0787-200,%20MM0787-200.jpg",240-2254-ND,MM0787-200,Laird-Signal Integrity Products,FERRITE EMI DISC 20MM X 1.91MM,3019,0,"0.49000","0","1","-","Active","Ferrite Disk","0.787"" Dia (20.00mm)","0.075"" (1.91mm)"
http://assets.lairdtech.com/home/brandworld/files/MP1040-100.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-100.JPG,240-2266-ND,MP1040-100,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X26.42X1.27,14725,0,"0.63000","0","1","-","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.050"" (1.27mm)"
