Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency - Center","Bandwidth","Selectivity","Ripple","Insertion Loss","Mounting Type"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CHLW,%205CHW,%205CHT.pdf",//media.digikey.com/Photos/Toko%20Photos/477MS-1035A=P3.jpg,TKS5437TR-ND,477MS-1035A=P3,Toko America Inc.,FILTER HELICAL 915MHZ TYPE 5CHLW,6000,0,"3.01560","0","1000","Tape & Reel (TR)","5CHLW","Obsolete","915MHz","25MHz","18dB (+100MHz) 25dB (-100MHz)","1dB","2.5dB","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CHLW,%205CHW,%205CHT.pdf",//media.digikey.com/Photos/Toko%20Photos/477MS-1035A=P3.jpg,TKS5437CT-ND,477MS-1035A=P3,Toko America Inc.,HELICAL FILT 5CHLW TYPE 915 MHZ,6422,0,"4.01000","0","1","Cut Tape (CT)","5CHLW","Obsolete","915MHz","25MHz","18dB (+100MHz) 25dB (-100MHz)","1dB","2.5dB","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CHLW,%205CHW,%205CHT.pdf",//media.digikey.com/Photos/Toko%20Photos/477MS-1036A=P3.jpg,TKS5438TR-ND,477MS-1036A=P3,Toko America Inc.,FILTER HELICAL 933MHZ TYPE 5CHLW,1000,0,"4.76400","0","1000","Tape & Reel (TR)","5CHLW","Obsolete","933MHz","25MHz","18dB (+100MHz) 25dB (-100MHz)","1dB","2.5dB","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CHLW,%205CHW,%205CHT.pdf",//media.digikey.com/Photos/Toko%20Photos/477MS-1036A=P3.jpg,TKS5438CT-ND,477MS-1036A=P3,Toko America Inc.,HELICAL FILTER 5CHLW TYPE 933MHZ,1320,0,"4.01000","0","1","Cut Tape (CT)","5CHLW","Obsolete","933MHz","25MHz","18dB (+100MHz) 25dB (-100MHz)","1dB","2.5dB","Surface Mount"
-,//media.digikey.com/Photos/Toko%20Photos/302HXPK-1035D.jpg,TK3410-ND,302HXPK-1035D,Toko America Inc.,FILTER HELICAL 456MHZ TYPE 7HT,727,0,"4.25000","0","1","Bulk","7HT","Obsolete","456MHz","4.5MHz","22dB (+20MHz) 29dB (-20MHz)","0.5dB","5dB","Through Hole"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CHLW,%205CHW,%205CHT.pdf",//media.digikey.com/Photos/Toko%20Photos/492S-1059A=P3.jpg,TKS5444TR-ND,492S-1059A=P3,Toko America Inc.,FILTER HELICAL 456MHZ TYPE 5CHW,0,0,"Obsolete","0","750","Tape & Reel (TR)","5CHW","Obsolete","456MHz","10MHz","16dB (+50MHz) 12dB (-50MHz)","0.5dB","3.5dB","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CHLW,%205CHW,%205CHT.pdf",//media.digikey.com/Photos/Toko%20Photos/492S-1059A=P3.jpg,TKS5444CT-ND,492S-1059A=P3,Toko America Inc.,HELICAL FILTER 5CHW TYPE 456MHZ,777,0,"4.38000","0","1","Cut Tape (CT)","5CHW","Obsolete","456MHz","10MHz","16dB (+50MHz) 12dB (-50MHz)","0.5dB","3.5dB","Surface Mount"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5HW_5HT.pdf,//media.digikey.com/Photos/Toko%20Photos/5HW-35045A-365.jpg,TK5414-ND,5HW-35045A-365,Toko America Inc.,FILTER HELICAL 365MHZ TYPE 5HW,791,0,"6.77000","0","1","Bulk","5HW","Obsolete","365MHz","6MHz","20dB (+50MHz) 25dB (-50MHz)","1dB","4.5dB","Through Hole"
-,//media.digikey.com/Photos/Toko%20Photos/%23252MXPR-2535A.jpg,#252MXPR-2535A-ND,#252MXPR-2535A,Toko America Inc.,FILTER HELICAL 405MHZ TYPE 7HW,166,0,"10.10000","0","1","Bulk","7HW","Discontinued at Digi-Key","405MHz","-","-","-","-","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5HW_5HT.pdf,//media.digikey.com/Photos/Toko%20Photos/5HT-44020AS-440.jpg,TK5403-ND,5HT-44020AS-440,Toko America Inc.,FILTER HELICAL 440MHZ TYPE 5HT,126,0,"11.64000","0","1","Bulk","5HT","Obsolete","440MHz","14MHz","25dB (+50MHz) 28dB (-50MHz)","1dB","4dB","Through Hole"
