Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Configuration","Voltage - Rated DC","Voltage - Rated AC","Voltage - Rated AC (Phase to Ground/Neutral)","Voltage - Rated AC (Phase to Phase)","Current","Frequency - Operating","Applications","Approvals","Operating Temperature","Mounting Type","Termination Style","Inductance"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L07.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L07A.jpg,603-1256-2-ND,FL75L07A,Delta Electronics,LINE FILTER 75VAC 7A SMD,700,0,"10.58650","0","100","Delphi","Active","DC","Two Stage","-","75V","-","-","7A","-","General Purpose","cUL, UL, VDE","-40°C ~ 115°C","Surface Mount","SMD (SMT) Tab","-"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L07.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L07A.jpg,603-1256-1-ND,FL75L07A,Delta Electronics,LINE FILTER 75VAC 7A SMD,789,0,"16.98000","0","1","Delphi","Active","DC","Two Stage","-","75V","-","-","7A","-","General Purpose","cUL, UL, VDE","-40°C ~ 115°C","Surface Mount","SMD (SMT) Tab","-"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L07.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L07A.jpg,603-1256-6-ND,FL75L07A,Delta Electronics,LINE FILTER 75VAC 7A SMD,789,0,"Digi-Reel","0","1","Delphi","Active","DC","Two Stage","-","75V","-","-","7A","-","General Purpose","cUL, UL, VDE","-40°C ~ 115°C","Surface Mount","SMD (SMT) Tab","-"
https://www.schaffner.com/products/download/product/datasheet/fn-405-pcb-mounting-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN405-0.5-02.JPG,817-1187-ND,FN405-0.5-02,Schaffner EMC Inc.,LINE FILTER 250VAC 500MA TH,559,0,"10.66000","0","1","FN 405","Active","Single Phase","Single Stage","-","250V","-","-","500mA","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","24mH"
https://www.schaffner.com/products/download/product/datasheet/fn-405-pcb-mounting-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN405-1-02.JPG,817-1188-ND,FN405-1-02,Schaffner EMC Inc.,LINE FILTER 250VAC 1A TH,395,0,"10.78000","0","1","FN 405","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","10mH"
https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN406-1-02.JPG,817-1193-ND,FN406-1-02,Schaffner EMC Inc.,LINE FILTER 250VAC 1A TH,3503,1500,"11.06000","0","1","FN 406","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","12mH"
https://www.schaffner.com/products/download/product/datasheet/fn-402-low-cost-pcb-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN402-1-02.JPG,817-1182-ND,FN402-1-02,Schaffner EMC Inc.,LINE FILTER 250VAC 1A TH,679,1000,"11.13000","0","1","FN 402","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","10mH"
https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN406-3-02.JPG,817-1194-ND,FN406-3-02,Schaffner EMC Inc.,LINE FILTER 250VAC 3A TH,1785,0,"11.14000","0","1","FN 406","Active","Single Phase","Single Stage","-","250V","-","-","3A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","2.5mH"
"//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLT007A0Z,A0-SRZ.pdf",//media.digikey.com/Photos/Lineage%20Photos/FLT007A0-SRZ.jpg,555-1154-2-ND,FLT007A0-SRZ,ABB Embedded Power,LINE FILTER 75VDC 7A SMD,2580,0,"11.60493","0","140","FLT","Active","DC","Two Stage","75V","-","-","-","7A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 85°C","Surface Mount","SMD (SMT) Tab","-"
"//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLT007A0Z,A0-SRZ.pdf",//media.digikey.com/Photos/Lineage%20Photos/FLT007A0-SRZ.jpg,555-1154-1-ND,FLT007A0-SRZ,ABB Embedded Power,LINE FILTER 75VDC 7A SMD,2604,0,"19.02000","0","1","FLT","Active","DC","Two Stage","75V","-","-","-","7A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 85°C","Surface Mount","SMD (SMT) Tab","-"
