Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Bandwidth","Filter Type","Ripple","Insertion Loss","Mounting Type","Package / Case","Size / Dimension","Height (Max)"
https://www.johansontechnology.com/datasheets/2450FM07A0029/2450FM07A0029.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0402-(1005-Metric)-Balun.jpg,712-1623-2-ND,2450FM07A0029T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ 0402 SMD,40000,0,"0.09563","0","10000","Tape & Reel (TR)","-","Active","2.4GHz ~ 2.5GHz","100MHz","Low Pass","-","0.8dB","Surface Mount","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://www.johansontechnology.com/datasheets/2450FM07A0029/2450FM07A0029.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0402-(1005-Metric)-Balun.jpg,712-1623-1-ND,2450FM07A0029T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ 0402 SMD,49046,0,"0.28000","0","1","Cut Tape (CT)","-","Active","2.4GHz ~ 2.5GHz","100MHz","Low Pass","-","0.8dB","Surface Mount","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://www.johansontechnology.com/datasheets/2450FM07A0029/2450FM07A0029.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0402-(1005-Metric)-Balun.jpg,712-1623-6-ND,2450FM07A0029T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ 0402 SMD,49046,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.4GHz ~ 2.5GHz","100MHz","Low Pass","-","0.8dB","Surface Mount","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://www.johansontechnology.com/datasheets/2450FM07A0035/2450FM07A0035.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0402-(1005-Metric)-Balun.jpg,712-1644-2-ND,2450FM07A0035T,Johanson Technology Inc.,NRF52 MATCHED FILT 2.4G,30000,0,"0.11250","0","10000","Tape & Reel (TR)","-","Active","2.45GHz","100MHz","Low Pass","-","0.75dB","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://www.johansontechnology.com/datasheets/2450FM07A0035/2450FM07A0035.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0402-(1005-Metric)-Balun.jpg,712-1644-1-ND,2450FM07A0035T,Johanson Technology Inc.,NRF52 MATCHED FILT 2.4G,37050,0,"0.29000","0","1","Cut Tape (CT)","-","Active","2.45GHz","100MHz","Low Pass","-","0.75dB","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://www.johansontechnology.com/datasheets/2450FM07A0035/2450FM07A0035.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0402-(1005-Metric)-Balun.jpg,712-1644-6-ND,2450FM07A0035T,Johanson Technology Inc.,NRF52 MATCHED FILT 2.4G,37050,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.45GHz","100MHz","Low Pass","-","0.75dB","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_lpf_dea162500lt-1217a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA1609.jpg,445-3258-2-ND,DEA162500LT-1217A1,TDK Corporation,FILTER LOWPASS 2.4GHZ W-LAN 0603,24000,0,"0.13702","0","4000","Tape & Reel (TR)","DEA","Active","2.45GHz Center","100MHz","Low Pass","-","0.48dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.024"" W (1.60mm x 0.60mm)","0.035"" (0.90mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_lpf_dea162500lt-1217a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA1609.jpg,445-3258-1-ND,DEA162500LT-1217A1,TDK Corporation,FILTER LOWPASS 2.4GHZ W-LAN 0603,24959,0,"0.31000","0","1","Cut Tape (CT)","DEA","Active","2.45GHz Center","100MHz","Low Pass","-","0.48dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.024"" W (1.60mm x 0.60mm)","0.035"" (0.90mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_lpf_dea162500lt-1217a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA1609.jpg,445-3258-6-ND,DEA162500LT-1217A1,TDK Corporation,FILTER LOWPASS 2.4GHZ W-LAN 0603,24959,0,"Digi-Reel","0","1","Digi-Reel®","DEA","Active","2.45GHz Center","100MHz","Low Pass","-","0.48dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.024"" W (1.60mm x 0.60mm)","0.035"" (0.90mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_bpf_dea202450bt-1294c1-h_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA202450BT-1294C1-H.jpg,445-172335-2-ND,DEA202450BT-1294C1-H,TDK Corporation,FILTER BANDPASS WLAN&BLUETOOTH,96000,0,"0.16440","0","2000","Tape & Reel (TR)","DEA","Active","2.45GHz Center","72MHz","Band Pass","-","1.35dB","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.032"" (0.80mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_bpf_dea202450bt-1294c1-h_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA202450BT-1294C1-H.jpg,445-172335-1-ND,DEA202450BT-1294C1-H,TDK Corporation,FILTER BANDPASS WLAN&BLUETOOTH,98084,0,"0.35000","0","1","Cut Tape (CT)","DEA","Active","2.45GHz Center","72MHz","Band Pass","-","1.35dB","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.032"" (0.80mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_bpf_dea202450bt-1294c1-h_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA202450BT-1294C1-H.jpg,445-172335-6-ND,DEA202450BT-1294C1-H,TDK Corporation,FILTER BANDPASS WLAN&BLUETOOTH,98084,0,"Digi-Reel","0","1","Digi-Reel®","DEA","Active","2.45GHz Center","72MHz","Band Pass","-","1.35dB","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.032"" (0.80mm)"
https://www.johansontechnology.com/datasheets/0915LP15B026/0915LP15B026.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200805(2012)8.jpg,712-1122-2-ND,0915LP15B026E,Johanson Technology Inc.,FILTER LOWPASS GSM/CDMA 915MHZ,48000,0,"0.20910","0","4000","Tape & Reel (TR)","-","Active","915MHz Center","26MHz","Low Pass","-","0.5dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.johansontechnology.com/datasheets/0915LP15B026/0915LP15B026.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200805(2012)8.jpg,712-1122-1-ND,0915LP15B026E,Johanson Technology Inc.,FILTER LOWPASS GSM/CDMA 915MHZ,51128,0,"0.47000","0","1","Cut Tape (CT)","-","Active","915MHz Center","26MHz","Low Pass","-","0.5dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.johansontechnology.com/datasheets/0915LP15B026/0915LP15B026.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200805(2012)8.jpg,712-1122-6-ND,0915LP15B026E,Johanson Technology Inc.,FILTER LOWPASS GSM/CDMA 915MHZ,51128,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","915MHz Center","26MHz","Low Pass","-","0.5dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.johansontechnology.com/datasheets/2450BP07A0100/2450BP07A0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Filter4.jpg,712-1076-2-ND,2450BP07A0100T,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ WIFI,30000,0,"0.21375","0","10000","Tape & Reel (TR)","-","Active","2.45GHz Center","100MHz","Band Pass","-","2.5dB","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.017"" (0.43mm)"
https://www.johansontechnology.com/datasheets/2450BP07A0100/2450BP07A0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Filter4.jpg,712-1076-1-ND,2450BP07A0100T,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ WIFI,41919,0,"0.51000","0","1","Cut Tape (CT)","-","Active","2.45GHz Center","100MHz","Band Pass","-","2.5dB","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.017"" (0.43mm)"
https://www.johansontechnology.com/datasheets/2450BP07A0100/2450BP07A0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Filter4.jpg,712-1076-6-ND,2450BP07A0100T,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ WIFI,41919,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.45GHz Center","100MHz","Band Pass","-","2.5dB","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.017"" (0.43mm)"
https://www.johansontechnology.com/datasheets/3550LP14A300/3550LP14A300.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter6.jpg,712-1134-2-ND,3550LP14A300T,Johanson Technology Inc.,FILTER LOWPASS 3.55GHZ WIMAX,16000,0,"0.21675","0","4000","Tape & Reel (TR)","-","Active","3.55GHz Center","300MHz","Low Pass","-","0.65dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/3550LP14A300/3550LP14A300.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter6.jpg,712-1134-1-ND,3550LP14A300T,Johanson Technology Inc.,FILTER LOWPASS 3.55GHZ WIMAX,17860,0,"0.49000","0","1","Cut Tape (CT)","-","Active","3.55GHz Center","300MHz","Low Pass","-","0.65dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/3550LP14A300/3550LP14A300.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter6.jpg,712-1134-6-ND,3550LP14A300T,Johanson Technology Inc.,FILTER LOWPASS 3.55GHZ WIMAX,17860,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","3.55GHz Center","300MHz","Low Pass","-","0.65dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/2450BP39C100C/2450BP39C100C.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1089-2-ND,2450BP39C100CE,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,9000,0,"0.22440","0","3000","Tape & Reel (TR)","-","Active","2.45GHz Center","100MHz","Band Pass","-","1.5dB","Surface Mount","1008 (2520 Metric), 4 PC Pad","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.johansontechnology.com/datasheets/2450BP39C100C/2450BP39C100C.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1089-1-ND,2450BP39C100CE,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,9935,0,"0.51000","0","1","Cut Tape (CT)","-","Active","2.45GHz Center","100MHz","Band Pass","-","1.5dB","Surface Mount","1008 (2520 Metric), 4 PC Pad","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.johansontechnology.com/datasheets/2450BP39C100C/2450BP39C100C.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1089-6-ND,2450BP39C100CE,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,9935,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.45GHz Center","100MHz","Band Pass","-","1.5dB","Surface Mount","1008 (2520 Metric), 4 PC Pad","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.johansontechnology.com/datasheets/2450BP15B100/2450BP15B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1078-2-ND,2450BP15B100E,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,12000,0,"0.22950","0","4000","Tape & Reel (TR)","-","Active","2.45GHz Center","100MHz","Band Pass","-","2.2dB","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)"
https://www.johansontechnology.com/datasheets/2450BP15B100/2450BP15B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1078-1-ND,2450BP15B100E,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,15968,0,"0.52000","0","1","Cut Tape (CT)","-","Active","2.45GHz Center","100MHz","Band Pass","-","2.2dB","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)"
https://www.johansontechnology.com/datasheets/2450BP15B100/2450BP15B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1078-6-ND,2450BP15B100E,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,15968,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.45GHz Center","100MHz","Band Pass","-","2.2dB","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)"
https://www.johansontechnology.com/datasheets/0900LP15B0063/0900LP15B0063.pdf,-,712-1635-2-ND,0900LP15B0063E,Johanson Technology Inc.,LOW PASS FILTER,12000,0,"0.22950","0","4000","Tape & Reel (TR)","-","Active","911.5MHz","97MHz","Low Pass","-","0.9dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)"
https://www.johansontechnology.com/datasheets/0900LP15B0063/0900LP15B0063.pdf,-,712-1635-1-ND,0900LP15B0063E,Johanson Technology Inc.,LOW PASS FILTER,12000,0,"0.52000","0","1","Cut Tape (CT)","-","Active","911.5MHz","97MHz","Low Pass","-","0.9dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)"
https://www.johansontechnology.com/datasheets/0900LP15B0063/0900LP15B0063.pdf,-,712-1635-6-ND,0900LP15B0063E,Johanson Technology Inc.,LOW PASS FILTER,12000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","911.5MHz","97MHz","Low Pass","-","0.9dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)"
