Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency - Center","Bandwidth","Insertion Loss","Ratings","Applications","Mounting Type","Package / Case","Height (Max)","Size / Dimension"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=F6QA1G581M2QZ &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Saw-Filter-SMT.jpg,587-5643-2-ND,F6QA1G581M2QZ-J,Taiyo Yuden,FILTER SAW 1.581GHZ 5SMD,10000,0,"0.22890","0","5000","Tape & Reel (TR)","F6","Active","1.581GHz","-","1.4dB","-","GPS","Surface Mount","5-SMD, No Lead","0.020"" (0.50mm)","0.043"" L x 0.035"" W (1.10mm x 0.90mm)"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=F6QA1G581M2QZ &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Saw-Filter-SMT.jpg,587-5643-1-ND,F6QA1G581M2QZ-J,Taiyo Yuden,FILTER SAW 1.581GHZ 5SMD,16952,0,"0.55000","0","1","Cut Tape (CT)","F6","Active","1.581GHz","-","1.4dB","-","GPS","Surface Mount","5-SMD, No Lead","0.020"" (0.50mm)","0.043"" L x 0.035"" W (1.10mm x 0.90mm)"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=F6QA1G581M2QZ &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Saw-Filter-SMT.jpg,587-5643-6-ND,F6QA1G581M2QZ-J,Taiyo Yuden,FILTER SAW 1.581GHZ 5SMD,16952,0,"Digi-Reel","0","1","Digi-Reel®","F6","Active","1.581GHz","-","1.4dB","-","GPS","Surface Mount","5-SMD, No Lead","0.020"" (0.50mm)","0.043"" L x 0.035"" W (1.10mm x 0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Taiyo%20Yuden%20PDFs%20URL%20links/F6KA-1G5754-L4AJ_Spec.pdf,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Saw-Filter-SMT.jpg,587-2855-2-ND,F6KA1G575L4AJ-Z,Taiyo Yuden,FILTER SAW 1.575GHZ 5SMD,21000,0,"0.24000","0","3000","Tape & Reel (TR)","F6","Active","1.575GHz","2MHz","0.9dB","-","GPS","Surface Mount","5-SMD, No Lead","0.020"" (0.50mm)","0.055"" L x 0.039"" W (1.40mm x 1.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Taiyo%20Yuden%20PDFs%20URL%20links/F6KA-1G5754-L4AJ_Spec.pdf,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Saw-Filter-SMT.jpg,587-2855-1-ND,F6KA1G575L4AJ-Z,Taiyo Yuden,FILTER SAW 1.575GHZ 5SMD,25353,0,"0.54000","0","1","Cut Tape (CT)","F6","Active","1.575GHz","2MHz","0.9dB","-","GPS","Surface Mount","5-SMD, No Lead","0.020"" (0.50mm)","0.055"" L x 0.039"" W (1.40mm x 1.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Taiyo%20Yuden%20PDFs%20URL%20links/F6KA-1G5754-L4AJ_Spec.pdf,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Saw-Filter-SMT.jpg,587-2855-6-ND,F6KA1G575L4AJ-Z,Taiyo Yuden,FILTER SAW 1.575GHZ 5SMD,25353,0,"Digi-Reel","0","1","Digi-Reel®","F6","Active","1.575GHz","2MHz","0.9dB","-","GPS","Surface Mount","5-SMD, No Lead","0.020"" (0.50mm)","0.055"" L x 0.039"" W (1.40mm x 1.00mm)"
https://en.rf360jv.com/inf/40/ds/mc/B8813.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B39162B8813P810.JPG,495-7022-2-ND,B39162B8813P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,20000,0,"0.42900","0","5000","Tape & Reel (TR)","*","Active","-","-","-","-","-","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://en.rf360jv.com/inf/40/ds/mc/B8813.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B39162B8813P810.JPG,495-7022-1-ND,B39162B8813P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,24373,0,"1.02000","0","1","Cut Tape (CT)","*","Active","-","-","-","-","-","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://en.rf360jv.com/inf/40/ds/mc/B8813.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B39162B8813P810.JPG,495-7022-6-ND,B39162B8813P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,24373,0,"Digi-Reel","0","1","Digi-Reel®","*","Active","-","-","-","-","-","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://abracon.com/Filters/SAW%20FILTERS/AFS14A26-915.00-T3.pdf,"//media.digikey.com/Renders/Abracon%20Renders/5-SMD,%20No%20Lead.jpg",535-12062-2-ND,AFS14A26-915.00-T3,Abracon LLC,FILTER SAW 915MHZ 5SMD,6000,0,"0.44800","0","3000","Tape & Reel (TR)","-","Active","915MHz","26MHz","2.5dB","-","General Purpose","Surface Mount","5-SMD, No Lead","0.028"" (0.70mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
