Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Inner Diameter","Outer Diameter","Width","Material","Static Load Rating","Dynamic Load Rating","Features"
https://www.mechatronics.com/bearing-group/pdf/608-2RS.pdf,-,1995-1010-ND,608-2RS-W/CHEVRONSRI2,Mechatronics Bearing Group,BALL BEARING SEALED 8X22X7MM,4994,0,"1.04000","0","1","600","Active","Ball Bearing","0.315"" (8.00mm)","0.866"" (22.00mm)","0.276"" (7.00mm)","Bearing Steel","305 lbs","570 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/6203-2RS.pdf,-,1995-1022-ND,6203-2RS-GLD,Mechatronics Bearing Group,BALL BEARING SEALED 17X40X12MM,2493,0,"1.62000","0","1","6200","Active","Ball Bearing","0.669"" (17.00mm)","1.575"" (40.00mm)","0.472"" (12.00mm)","Bearing Steel","890 lbs","1500 lbs","Contact Seal (2)"
-,-,1995-1024-ND,6204-2RS-RT,Mechatronics Bearing Group,BALL BEARING SEALED 20X47X14MM,997,0,"2.12000","0","1","6200","Active","Ball Bearing","0.785"" (19.93mm)","1.850"" (47.00mm)","0.551"" (14.00mm)","Bearing Steel","1390 lbs","2220 lbs","Contact Seal (2)"
-,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/DDRI418ZZHA3P25LO1.JPG,1995-1004-ND,DDRI418ZZHA3P25LO1,Mechatronics Bearing Group,SR144ZZ BEARING 1/8X1/4X7/64"",946,0,"2.13000","0","1","-","Active","Ball Bearing","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.109"" (2.78mm)","-","-","-","Shield (2)"
-,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/DDRI814ZZRA3P25LY121.JPG,1995-1003-ND,DDRI814ZZRA3P25LY121,Mechatronics Bearing Group,SR188ZZ BEARING 1/4X1/2X3/16"",972,0,"2.16000","0","1","-","Active","Ball Bearing","0.250"" (6.35mm) 1/4""","0.500"" (12.70mm) 1/2""","-","-","-","-","Shield (2)"
https://www.mechatronics.com/bearing-group/pdf/R14-2RS.pdf,-,1995-1007-ND,R14-2RS,Mechatronics Bearing Group,R SERIES BEARING 0.875X1.875X.5,248,0,"2.48000","0","1","R","Active","Ball Bearing","0.875"" (22.23mm) 7/8""","1.875"" (47.63mm)","0.500"" (12.70mm) 1/2""","Bearing Steel","1110 lbs","1735 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/R16-2RS.pdf,-,1995-1009-ND,R16-2RS,Mechatronics Bearing Group,BALL BEARING SEALED 1X2X0.5,241,0,"2.54000","0","1","R","Active","Ball Bearing","1.000"" (25.40mm) 1""","2.000"" (50.80mm)","0.500"" (12.70mm) 1/2""","Bearing Steel","1110 lbs","1735 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/GEZ12ES.pdf,-,1995-1028-ND,GEZ12ES,Mechatronics Bearing Group,BEARING OPEN 3/4X1-1/4X21/32"",200,0,"2.68000","0","1","Load","Active","Spherical Bearing","0.500"" (12.70mm) 1/2""","0.875"" (22.23mm) 7/8""","0.437"" (11.10mm) 7/16""","-","9337 lbs","3156 lbs","-"
https://www.mechatronics.com/bearing-group/pdf/R16.pdf,-,1995-1008-ND,R16,Mechatronics Bearing Group,BALL BEARING OPEN 1X2X0.5,250,0,"2.76000","0","1","R","Active","Ball Bearing","1.000"" (25.40mm) 1""","2.000"" (50.80mm)","0.375"" (9.53mm)","Bearing Steel","1110 lbs","1735 lbs","Open"
https://www.mechatronics.com/bearing-group/pdf/GEZ19ES.pdf,-,1995-1029-ND,GEZ19ES,Mechatronics Bearing Group,BEARING OPEN 0.75X1.25X0.562"",199,0,"2.81000","0","1","Load","Active","Spherical Bearing","0.750"" (19.05mm) 3/4""","1.250"" (31.75mm)","0.656"" (16.66mm) 21/32""","-","20927 lbs","7089 lbs","-"
