Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9908-250.jpg,492-1074-ND,9908-250,Bivar Inc.,ROUND SPACER #4 NYLON 1/4"",56905,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","Nylon","-","Natural"
http://www.keyelco.com/product-pdf.cfm?p=4805,//media.digikey.com/photos/Keystone%20Elect%20Photos/885.jpg,36-885-ND,885,Keystone Electronics,ROUND SPACER #6 NYLON 3/8"",97787,25700,"0.22000","0","1","-","Active","Round Spacer","Unthreaded","Female, Female","#6","0.144"" (3.66mm)","0.250"" (6.35mm) 1/4""","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Nylon","-","Natural"
http://www.keyelco.com/product-pdf.cfm?p=4424,//media.digikey.com/photos/Keystone%20Elect%20Photos/24434.JPG,36-24434-ND,24434,Keystone Electronics,HEX STANDOFF M3 ALUMINUM 12MM,32530,21800,"0.42000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","M3","-","0.197"" (5.00mm) Hex","0.472"" (12.00mm)","0.472"" (12.00mm)","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=4272,//media.digikey.com/photos/Keystone%20Elect%20Photos/1892.JPG,36-1892-ND,1892,Keystone Electronics,HEX STANDOFF #4-40 ALUMINUM 3/8"",106479,20100,"0.43000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","#4-40","-","0.188"" (4.78mm) 3/16"" Hex","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=4121,//media.digikey.com/photos/Keystone%20Elect%20Photos/2210.jpg,36-2210-ND,2210,Keystone Electronics,HEX STANDOFF #6-32 ALUMINUM 1/2"",94574,92700,"0.44000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","#6-32","-","0.250"" (6.35mm) 1/4"" Hex","0.500"" (12.70mm) 1/2""","0.500"" (12.70mm) 1/2""","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=4279,//media.digikey.com/photos/Keystone%20Elect%20Photos/2203.jpg,36-2203-ND,2203,Keystone Electronics,HEX STANDOFF #4-40 ALUMINUM 1/2"",53321,46800,"0.44000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","#4-40","-","0.250"" (6.35mm) 1/4"" Hex","0.500"" (12.70mm) 1/2""","0.500"" (12.70mm) 1/2""","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=4424,//media.digikey.com/photos/Keystone%20Elect%20Photos/24433.JPG,36-24433-ND,24433,Keystone Electronics,HEX STANDOFF M3 ALUMINUM 10MM,51093,8800,"0.44000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","M3","-","0.197"" (5.00mm) Hex","0.394"" (10.00mm)","0.394"" (10.00mm)","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=5007,//media.digikey.com/photos/Keystone%20Elect%20Photos/8717.jpg,36-8717-ND,8717,Keystone Electronics,HEX STANDOFF #6-32 ALUMINUM 1/4"",55107,49600,"0.46000","0","1","-","Active","Hex Standoff","Threaded","Male, Female","#6-32","-","0.250"" (6.35mm) 1/4"" Hex","0.250"" (6.35mm) 1/4""","0.500"" (12.70mm) 1/2""","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=4121,//media.digikey.com/photos/Keystone%20Elect%20Photos/2209.jpg,36-2209-ND,2209,Keystone Electronics,HEX STANDOFF #6-32 ALUMINUM 3/8"",19884,7100,"0.46000","0","1","-","Active","Hex Standoff","Threaded","Female, Female","#6-32","-","0.250"" (6.35mm) 1/4"" Hex","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Aluminum","Iridite","-"
http://www.keyelco.com/product-pdf.cfm?p=4922,//media.digikey.com/photos/Keystone%20Elect%20Photos/8400.jpg,36-8400-ND,8400,Keystone Electronics,HEX STANDOFF #4-40 ALUMINUM 3/8"",32855,57000,"0.47000","0","1","-","Active","Hex Standoff","Threaded","Male, Female","#4-40","-","0.250"" (6.35mm) 1/4"" Hex","0.375"" (9.53mm) 3/8""","0.563"" (14.30mm) 9/16""","-","Aluminum","Iridite","-"
