Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Usage","Material","Color","Features","Length","Width","Height","Diameter - Outside","Diameter - Inside"
http://www.essentracomponents.com.sg/images-line/pdfs/IEC-TO-220.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_IEC-TO-220-18.jpg,RPC1744-ND,IEC-TO-220-18,Essentra Components,INSULATOR RECT TO220 0.140"",4386,0,"0.17000","0","1","-","Active","Insulator","Rectangular","TO-220","Nylon, Glass Filled","Black","-","0.400"" (10.16mm)","0.610"" (15.49mm)","0.140"" (3.56mm)","-","-"
https://www.bivar.com/Files/Datasheets/116-060.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/116-060.JPG,492-1485-ND,116-060,Bivar Inc.,MOUNT CIRCULAR TO18 0.060"",34781,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.060"" (1.52mm)","0.200"" (5.08mm)","-"
https://www.bivar.com/Files/Datasheets/501-075.pdf,//media.digikey.com/Photos/TE%20Connectivity/501-075.JPG,492-1434-ND,501-075,Bivar Inc.,MOUNT CIRCULAR TO5 0.075"",5634,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-5","Nylon","Natural","-","-","-","0.075"" (1.90mm)","0.345"" (8.76mm)","-"
http://www.essentracomponents.com.sg/images-line/pdfs/IEC-TO-220V.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/IEC-TO-220V-18.JPG,RPC1091-ND,IEC-TO-220V-18,Essentra Components,INSULATOR RECT TO220 0.220"",10048,0,"0.21000","0","1","-","Active","Insulator","Rectangular","TO-220","Nylon, Glass Filled","Black","-","0.480"" (12.19mm)","0.690"" (17.53mm)","0.220"" (5.59mm)","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CER-X.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23192.jpg,RPC1922-ND,CER-4,Essentra Components,SPACER TUBULAR GEN PURP,128941,0,"0.28000","0","1","-","Active","Spacer","Tubular","General Purpose - Axial, Radial","Ceramic","Natural","-","0.118"" (3.00mm)","-","-","0.119"" (3.02mm)","0.040"" (1.02mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/CER-X.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23191.jpg,RPC1082-ND,CER-1,Essentra Components,SPACER TUBULAR GEN PURP,14591,0,"0.35000","0","1","-","Active","Spacer","Tubular","General Purpose - Axial, Radial","Ceramic","Natural","-","0.236"" (6.00mm)","-","-","0.158"" (4.01mm)","0.079"" (2.01mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/CER-X.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23192.jpg,RPC3627-ND,CER-6,Essentra Components,SPACER TUBULAR GEN PURP,2546,0,"0.35000","0","1","-","Active","Spacer","Tubular","General Purpose - Axial, Radial","Ceramic","Natural","-","0.197"" (5.00mm)","-","-","0.119"" (3.02mm)","0.040"" (1.02mm)"
http://www.essentracomponents.com.sg/images-line/pdfs/CER-X.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23192.jpg,RPC3626-ND,CER-5,Essentra Components,SPACER TUBULAR GEN PURP,18368,0,"0.41000","0","1","-","Active","Spacer","Tubular","General Purpose - Axial, Radial","Ceramic","Natural","-","0.177"" (4.50mm)","-","-","0.177"" (4.50mm)","0.071"" (1.80mm)"
https://www.bivar.com/Files/Datasheets/103-080.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/103-080.jpg,492-1703-ND,103-080,Bivar Inc.,MOUNT CIRCULAR TO18 0.080"",7105,0,"0.53000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.075"" (1.90mm)","0.225"" (5.72mm)","0.125"" (3.18mm) 1/8"""
https://www.bivar.com/Files/Datasheets/514-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/514-070.JPG,492-1741-ND,514-070,Bivar Inc.,MOUNT CIRCULAR TO5 0.070"",6642,0,"0.53000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-5","Nylon","White","-","-","-","0.070"" (1.78mm)","0.365"" (9.27mm)","-"
https://www.bivar.com/Files/Datasheets/520-021.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/520-021.JPG,492-1496-ND,520-021,Bivar Inc.,MOUNT CIRCULAR TO5 0.021"",2475,0,"0.53000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-5","Nylon","White","-","-","-","0.021"" (0.53mm)","0.345"" (8.76mm)","-"
https://www.bivar.com/Files/Datasheets/423-424-425-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/423-200.JPG,492-1720-ND,423-200,Bivar Inc.,MOUNT RECT TO202/220 0.200"",3823,0,"0.54000","0","1","PERM-O-PADS®","Active","Mount","Rectangular","TO-202, TO-220","Nylon","Black","-","0.425"" (10.80mm)","0.220"" (5.59mm)","0.200"" (5.08mm)","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CER-X.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23191.jpg,RPC3625-ND,CER-2,Essentra Components,SPACER TUBULAR GEN PURP,8785,0,"0.58000","0","1","-","Active","Spacer","Tubular","General Purpose - Axial, Radial","Ceramic","Natural","-","0.315"" (8.00mm)","-","-","0.177"" (4.50mm)","0.063"" (1.60mm)"
-,//media.digikey.com/Photos/Aavid%20Thermalloy%20Photos/7717-7DAPG.jpg,7717-7DAPG-ND,7717-7DAPG,"Aavid, Thermal Division of Boyd Corporation",MOUNT CIRCULAR TO18 0.125"",15187,0,"0.72000","0","1","-","Active","Mount","Circular","TO-18","Dialyl Phthalate (DAP)","Black","-","-","-","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","-"
-,//media.digikey.com/Photos/Aavid%20Thermalloy%20Photos/7717-18NG.jpg,7717-18NG-ND,7717-18NG,"Aavid, Thermal Division of Boyd Corporation",MOUNT CIRCULAR TO18 0.100"",1484,0,"0.72000","0","1","-","Active","Mount","Circular","TO-18","Nylon","Natural","-","-","-","0.100"" (2.54mm)","0.200"" (5.08mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Nuventix%20PDFs/7717.pdf,//media.digikey.com/Photos/Aavid%20Thermalloy%20Photos/7717-16DAPG.jpg,7717-16DAPG-ND,7717-16DAPG,"Aavid, Thermal Division of Boyd Corporation",MOUNT CIRCULAR TO18 0.020"",7765,0,"0.86000","0","1","-","Active","Mount","Circular","TO-18","Dialyl Phthalate (DAP)","Black","-","-","-","0.020"" (0.51mm)","0.200"" (5.08mm)","-"
-,//media.digikey.com/Photos/Aavid%20Thermalloy%20Photos/7717-5NG.JPG,7717-5NG-ND,7717-5NG,"Aavid, Thermal Division of Boyd Corporation",MOUNT CIRCULAR TO5 0.125"",4939,0,"0.95000","0","1","-","Active","Mount","Circular","TO-5","Nylon","Natural","-","-","-","0.125"" (3.18mm) 1/8""","0.350"" (8.89mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0924_HS.pdf,//media.digikey.com/Photos/Assmann%20Photos/V4555.jpg,AE10875-ND,V4555,Assmann WSW Components,SPACER CIRCULAR GEN PURP 2.5MM,9787,0,"0.10000","0","1","-","Active","Spacer","Circular","General Purpose - Axial, Radial","Polypropylene","-","-","-","-","0.098"" (2.49mm)","0.362"" (9.20mm)","0.200"" (5.08mm)"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0921_HS.pdf,//media.digikey.com/Photos/Assmann%20Photos/V4538R.jpg,AE10909-ND,V4538R,Assmann WSW Components,SPACER CIRCULAR GEN PURP,5917,0,"0.10000","0","1","-","Active","Spacer","Circular","General Purpose - Axial, Radial","Polypropylene","Red","-","-","-","0.098"" (2.49mm)","0.212"" (5.40mm)","0.098"" (2.49mm)"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0923_HS.pdf,//media.digikey.com/Photos/Assmann%20Photos/V4548.jpg,AE10908-ND,V4548,Assmann WSW Components,SPACER CIRCULAR GEN PURP 2.5MM,0,0,"0.10000","0","1","-","Active","Spacer","Circular","General Purpose - Axial, Radial","Polypropylene","Red","-","-","-","0.098"" (2.49mm)","0.212"" (5.40mm)","0.098"" (2.49mm)"
http://www.keyelco.com/product-pdf.cfm?p=2423,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_468x.jpg,36-4681-ND,4681,Keystone Electronics,INSULATOR CIRCULAR GEN PURP,2449,19200,"0.13000","0","1","-","Active","Insulator","Circular","General Purpose","Mica","-","-","-","-","-","0.625"" (15.88mm) 5/8""","0.196"" (4.98mm)"
http://www.keyelco.com/product-pdf.cfm?p=2424,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_468x.jpg,36-4682-ND,4682,Keystone Electronics,INSULATOR CIRCULAR GEN PURP,2649,9000,"0.16000","0","1","-","Active","Insulator","Circular","General Purpose","Mica","-","-","-","-","-","0.750"" (19.05mm) 3/4""","0.260"" (6.60mm)"
https://www.bivar.com/Files/Datasheets/121-032.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/121-032.JPG,492-1487-ND,121-032,Bivar Inc.,MOUNT CIRCULAR TO18 0.032"",5535,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.032"" (0.81mm)","0.188"" (4.78mm) 3/16""","-"
https://www.bivar.com/Files/Datasheets/118-055.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/118-055.jpg,492-1708-ND,118-055,Bivar Inc.,MOUNT CIRCULAR TO18 0.055"",5169,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.040"" (1.02mm)","0.245"" (6.22mm)","-"
https://www.bivar.com/Files/Datasheets/108-021.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/108-021.JPG,492-1482-ND,108-021,Bivar Inc.,MOUNT CIRCULAR TO18 0.021"",4063,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.021"" (0.53mm)","0.225"" (5.72mm)","-"
https://www.bivar.com/Files/Datasheets/110-030.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/110-030.jpg,492-1704-ND,110-030,Bivar Inc.,MOUNT CIRCULAR TO18 0.030"",2768,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.030"" (0.76mm)","0.200"" (5.08mm)","-"
https://www.bivar.com/Files/Datasheets/105-021.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/105-021.JPG,492-1481-ND,105-021,Bivar Inc.,MOUNT CIRCULAR TO18 0.021"",2103,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","Natural","-","-","-","0.021"" (0.53mm)","0.250"" (6.35mm) 1/4""","-"
https://www.bivar.com/Files/Datasheets/102-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/102-100.JPG,492-1701-ND,102-100,Bivar Inc.,MOUNT CIRCULAR TO18 0.100"",1925,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.100"" (2.54mm)","0.245"" (6.22mm)","-"
https://www.bivar.com/Files/Datasheets/115-100.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/115-100.jpg,492-1707-ND,115-100,Bivar Inc.,MOUNT CIRCULAR TO18 0.100"",1885,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.100"" (2.54mm)","0.200"" (5.08mm)","-"
https://www.bivar.com/Files/Datasheets/112-040.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/112-040.jpg,492-1484-ND,112-040,Bivar Inc.,MOUNT CIRCULAR TO18 0.040"",1448,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.040"" (1.02mm)","0.225"" (5.72mm)","-"
https://www.bivar.com/Files/Datasheets/100-095.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/100-095.jpg,492-1699-ND,100-095,Bivar Inc.,MOUNT CIRCULAR TO18 0.094"",1379,0,"0.18000","0","1","PERM-O-PADS®","Active","Mount","Circular","TO-18","Nylon","White","-","-","-","0.094"" (2.40mm)","0.200"" (5.08mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=2422,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_468x.jpg,36-4680-ND,4680,Keystone Electronics,INSULATOR CIRCULAR GEN PURP,2733,6100,"0.19000","0","1","-","Active","Insulator","Circular","General Purpose","Mica","-","-","-","-","-","0.500"" (12.70mm) 1/2""","0.171"" (4.34mm)"
http://www.keyelco.com/product-pdf.cfm?p=2442,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_4616.jpg,36-4616-ND,4616,Keystone Electronics,MOUNT RECTANGULAR TO3 0.437"",1889,5800,"0.24000","0","1","-","Active","Mount","Rectangular","TO-3","Nylon","-","-","1.562"" (39.67mm) 1 9/16""","0.425"" (10.80mm)","0.437"" (11.10mm) 7/16""","-","-"
